id,dealname,pipeline,dealstage,amount,closedate,dealtype,associated_company,associated_contact,createdate,lastmodifieddate
hs-d-0001,Yui Yamamoto inquiry piece 1,pl-collectors,st-quote,31500.0,2026-12-15T09:00:00Z,newbusiness,hs-co-priv-002,hs-c-0001,2026-05-01T09:00:00Z,2026-09-25T09:00:00Z
hs-d-0002,Akira Sato inquiry piece 2,pl-collectors,st-hold,33000.0,2026-12-15T09:00:00Z,newbusiness,hs-co-priv-003,hs-c-0002,2026-05-01T09:00:00Z,2026-09-25T09:00:00Z
hs-d-0003,Ayaka Yoshida inquiry piece 3,pl-collectors,st-won,34500.0,2026-12-15T09:00:00Z,newbusiness,hs-co-priv-004,hs-c-0003,2026-05-01T09:00:00Z,2026-09-25T09:00:00Z
hs-d-0004,Sho Ito inquiry piece 4,pl-collectors,st-lost,36000.0,2026-12-15T09:00:00Z,newbusiness,hs-co-priv-005,hs-c-0004,2026-05-01T09:00:00Z,2026-09-25T09:00:00Z
hs-d-0005,Hiroshi Abe inquiry piece 5,pl-collectors,st-new,37500.0,2026-12-15T09:00:00Z,newbusiness,hs-co-priv-006,hs-c-0005,2026-05-01T09:00:00Z,2026-09-25T09:00:00Z
hs-d-0006,Takumi Nakamura inquiry piece 6,pl-collectors,st-quote,39000.0,2026-12-15T09:00:00Z,newbusiness,hs-co-priv-007,hs-c-0006,2026-05-01T09:00:00Z,2026-09-25T09:00:00Z
hs-d-0007,Hiroshi Matsumoto inquiry piece 7,pl-collectors,st-hold,40500.0,2026-12-15T09:00:00Z,newbusiness,hs-co-priv-008,hs-c-0007,2026-05-01T09:00:00Z,2026-09-25T09:00:00Z
hs-d-0008,Yui Sasaki inquiry piece 8,pl-collectors,st-won,42000.0,2026-12-15T09:00:00Z,newbusiness,hs-co-priv-009,hs-c-0008,2026-05-01T09:00:00Z,2026-09-25T09:00:00Z
hs-d-0009,Ryo Yamazaki inquiry piece 9,pl-collectors,st-lost,43500.0,2026-12-15T09:00:00Z,newbusiness,hs-co-priv-010,hs-c-0009,2026-05-01T09:00:00Z,2026-09-25T09:00:00Z
hs-d-0010,Daichi Kato inquiry piece 10,pl-collectors,st-new,45000.0,2026-12-15T09:00:00Z,newbusiness,hs-co-priv-011,hs-c-0010,2026-05-01T09:00:00Z,2026-09-25T09:00:00Z
