Id,FirstName,LastName,Company,Email,Phone,Status,LeadSource,Industry,Rating
00QLEAD000,Priya,Diaz,Lead Org 0,lead0@example.org,,Open,,,
00QLEAD001,Marcus,Park,Lead Org 1,lead1@example.org,,Open,,,
00QLEAD002,Dana,Stone,Lead Org 2,lead2@example.org,,Open,,,
00QLEAD003,Evan,Anand,Lead Org 3,lead3@example.org,,Open,,,
00QLEAD004,Grace,Vela,Lead Org 4,lead4@example.org,,Open,,,
00QLEAD005,Nadia,Lin,Lead Org 5,lead5@example.org,,Open,,,
00QLEAD006,Sam,Wolfe,Lead Org 6,lead6@example.org,,Open,,,
00QLEAD007,Tomas,Fox,Lead Org 7,lead7@example.org,,Open,,,
00QLEAD008,Wendy,Nair,Lead Org 8,lead8@example.org,,Open,,,
00QLEAD009,Omar,Reed,Lead Org 9,lead9@example.org,,Open,,,
00QLEAD010,Lena,Bell,Lead Org 10,lead10@example.org,,Open,,,
00QLEAD011,Ravi,Ash,Lead Org 11,lead11@example.org,,Open,,,
00QLEAD012,Aisha,Webb,Lead Org 12,lead12@example.org,,Open,,,
00QLEAD013,Diego,Quinn,Lead Org 13,lead13@example.org,,Open,,,
00QLEAD014,Mei,Osei,Lead Org 14,lead14@example.org,,Open,,,
00QLEAD015,Noah,Bello,Lead Org 15,lead15@example.org,,Open,,,
00QLEAD016,Zoe,Frost,Lead Org 16,lead16@example.org,,Open,,,
00QLEAD017,Caleb,Cho,Lead Org 17,lead17@example.org,,Open,,,
00QLEAD018,Ivy,Khan,Lead Org 18,lead18@example.org,,Open,,,
00QLEAD019,Jonah,Hart,Lead Org 19,lead19@example.org,,Open,,,
00QLEAD020,Kira,Rhodes,Lead Org 20,lead20@example.org,,Open,,,
00QLEAD021,Leo,Reyes,Lead Org 21,lead21@example.org,,Open,,,
00QLEAD022,Maya,Cruz,Lead Org 22,lead22@example.org,,Open,,,
00QLEAD023,Nolan,Vance,Lead Org 23,lead23@example.org,,Open,,,
00QLEAD024,Priya,Diaz,Lead Org 24,lead24@example.org,,Open,,,
00QLEAD025,Marcus,Park,Lead Org 25,lead25@example.org,,Open,,,
00QLEAD026,Dana,Stone,Lead Org 26,lead26@example.org,,Open,,,
00QLEAD027,Evan,Anand,Lead Org 27,lead27@example.org,,Open,,,
00QLEAD028,Grace,Vela,Lead Org 28,lead28@example.org,,Open,,,
00QLEAD029,Nadia,Lin,Lead Org 29,lead29@example.org,,Open,,,
00QLEAD030,Sam,Wolfe,Lead Org 30,lead30@example.org,,Open,,,
00QLEAD031,Tomas,Fox,Lead Org 31,lead31@example.org,,Open,,,
00QLEAD032,Wendy,Nair,Lead Org 32,lead32@example.org,,Open,,,
00QLEAD033,Omar,Reed,Lead Org 33,lead33@example.org,,Open,,,
00QLEAD034,Lena,Bell,Lead Org 34,lead34@example.org,,Open,,,
00QLEAD035,Ravi,Ash,Lead Org 35,lead35@example.org,,Open,,,
00QLEAD036,Aisha,Webb,Lead Org 36,lead36@example.org,,Open,,,
00QLEAD037,Diego,Quinn,Lead Org 37,lead37@example.org,,Open,,,
00QLEAD038,Mei,Osei,Lead Org 38,lead38@example.org,,Open,,,
00QLEAD039,Noah,Bello,Lead Org 39,lead39@example.org,,Open,,,
00QLEAD040,Zoe,Frost,Lead Org 40,lead40@example.org,,Open,,,
00QLEAD041,Caleb,Cho,Lead Org 41,lead41@example.org,,Open,,,
00QLEAD042,Ivy,Khan,Lead Org 42,lead42@example.org,,Open,,,
