job_id,customer,vehicle,insurance,status,est_completion,tech_assigned,notes
JOB-2026-041,Thomas Chen,2019 Honda Civic,Allstate ABP-2026-0847,In Progress,2026-10-04,Amit,Rear quarter panel and bumper; $400 ledger discrepancy flagged
JOB-2026-042,Patricia Moore,2020 Ford Escape,State Farm C-7712,Paint,2026-10-03,Carlos,Color match confirmed; clear coat tomorrow
JOB-2026-043,David Kim,2022 Hyundai Tucson,State Farm C-7840,Frame,2026-10-08,Amit,Frame pull complete; supplement approved $700
JOB-2026-044,Sean Murphy,2018 Toyota Camry,Walk-in,Estimating,2026-10-11,Maya,Fender dent; customer deciding
JOB-2026-045,Anthony Reeves,2021 Kia Sorento,Progressive PRG-2026-44821,Waiting Parts,2026-10-15,Miguel,LKQ fender on order; supplement $485 pending
JOB-2026-046,Lisa Tran,2022 Mazda CX-5,USAA,Scheduled,2026-10-14,DeShawn,Front bumper repaint; drop-off Oct 14
JOB-2026-047,Robert Patel,2020 BMW 3 Series,Geico,Complete,2026-09-27,Amit,Picked up Sep 28; paid in full
JOB-2026-048,Maria Santos,2019 Nissan Rogue,State Farm,Estimating,TBD,Maya,Walk-in inquiry; photos taken
JOB-2026-049,James Wilson,2023 Ram 1500,Self-pay,Paint,2026-10-06,Carlos,Custom two-tone; second session scheduled
JOB-2026-050,Arun Desai,2021 Honda Accord,Geico,Complete,2026-09-25,DeShawn,Door ding PDR; same-day
