Item,Detail,Date,Notes
School,Bright Horizons Montessori Preschool,,Edison NJ
Teacher,Ms. Rodriguez,,Main classroom
Hours,8:30 AM - 3:00 PM,,Mon-Fri
Pickup,Nani Mehta (Tue/Thu) or Priya,,Hari backup
Picture Day,,2026-10-05,Need outfit ready
Fall Festival,,2026-10-25,Parent volunteers needed
Parent Conference,,2026-11-08,Both parents requested
Tuition,"$1,100/month",,Auto-pay from checking
Emergency Contact 1,Priya Mehta-Jefferson,(732) 555-0518,
Emergency Contact 2,Hari Jefferson,(732) 555-0400,
Emergency Contact 3,Nani Mehta,(732) 555-0574,
