conversation_id,wa_id,started_at,last_message_at,origin,within_24h_window
wa_conv_fam_group,18085550134,2023-11-24T15:00:00-10:00,2026-10-12T08:15:00-10:00,user_initiated,true
wa_conv_grace_1on1,18085550134,2023-09-15T18:00:00-10:00,2026-10-12T07:45:00-10:00,user_initiated,true
wa_conv_kai_1on1,18085550156,2023-09-20T14:00:00-10:00,2026-10-12T09:45:00-10:00,user_initiated,true
wa_conv_tad_1on1,18085550091,2024-01-10T12:00:00-10:00,2026-10-08T18:00:00-10:00,user_initiated,false
wa_conv_maya_1on1,18085550278,2019-06-01T10:00:00-10:00,2026-10-12T20:11:00-10:00,user_initiated,true
wa_conv_justin_1on1,18085550312,2024-05-14T05:00:00-10:00,2026-10-12T05:20:00-10:00,user_initiated,true
wa_conv_park_1on1,18085550401,2023-09-25T09:00:00-10:00,2026-10-09T17:00:00-10:00,business_initiated,false
wa_conv_studygrp,18085550515,2026-06-01T12:00:00-10:00,2026-10-11T21:00:00-10:00,user_initiated,true
wa_conv_sarah_1on1,18085550515,2026-06-02T13:00:00-10:00,2026-10-11T20:00:00-10:00,user_initiated,true
wa_conv_brian_1on1,18085550523,2026-06-05T17:00:00-10:00,2026-10-11T19:30:00-10:00,user_initiated,true
wa_conv_jenna_1on1,18085550537,2026-06-07T18:00:00-10:00,2026-10-11T20:15:00-10:00,user_initiated,true
wa_conv_leilani_1on1,18085550621,2024-08-20T14:00:00-10:00,2026-10-10T14:00:00-10:00,user_initiated,false
wa_conv_alana_1on1,18085550187,2024-03-15T11:00:00-10:00,2026-10-06T12:00:00-10:00,user_initiated,false
wa_conv_marcus_1on1,18085550193,2024-03-16T11:00:00-10:00,2026-09-28T10:00:00-10:00,user_initiated,false
wa_conv_rachel_1on1,18085550228,2024-02-14T13:00:00-10:00,2026-10-05T19:00:00-10:00,user_initiated,false
wa_conv_landlord,18085550341,2024-08-01T09:00:00-10:00,2026-10-01T09:00:00-10:00,business_initiated,false
wa_conv_ching_dental,18085550715,2024-04-10T09:00:00-10:00,2026-10-02T09:30:00-10:00,business_initiated,true
