invoice_id,invoice_number,type,contact_id,contact_name,date,due_date,status,line_amount_types,sub_total,total_tax,total,amount_due,amount_paid,currency_code,reference
XINV-001,LH-2026-01,ACCPAY,XC-001,Loretta Hayes Care Services,2026-01-15,2026-01-31,PAID,Exclusive,120.00,0.00,120.00,0.00,120.00,USD,Jan companion care
XINV-002,LH-2026-02,ACCPAY,XC-001,Loretta Hayes Care Services,2026-02-15,2026-02-28,PAID,Exclusive,120.00,0.00,120.00,0.00,120.00,USD,Feb companion care
XINV-003,LH-2026-03,ACCPAY,XC-001,Loretta Hayes Care Services,2026-03-15,2026-03-31,PAID,Exclusive,120.00,0.00,120.00,0.00,120.00,USD,Mar companion care
XINV-004,LH-2026-04,ACCPAY,XC-001,Loretta Hayes Care Services,2026-04-15,2026-04-30,PAID,Exclusive,120.00,0.00,120.00,0.00,120.00,USD,Apr companion care
XINV-005,LH-2026-05,ACCPAY,XC-001,Loretta Hayes Care Services,2026-05-15,2026-05-31,PAID,Exclusive,120.00,0.00,120.00,0.00,120.00,USD,May companion care
XINV-006,LH-2026-06,ACCPAY,XC-001,Loretta Hayes Care Services,2026-06-15,2026-06-30,PAID,Exclusive,120.00,0.00,120.00,0.00,120.00,USD,Jun companion care
XINV-007,LH-2026-07,ACCPAY,XC-001,Loretta Hayes Care Services,2026-07-15,2026-07-31,PAID,Exclusive,120.00,0.00,120.00,0.00,120.00,USD,Jul companion care
XINV-008,LH-2026-08,ACCPAY,XC-001,Loretta Hayes Care Services,2026-08-15,2026-08-31,PAID,Exclusive,120.00,0.00,120.00,0.00,120.00,USD,Aug companion care
XINV-009,LH-2026-09,ACCPAY,XC-001,Loretta Hayes Care Services,2026-09-15,2026-09-30,PAID,Exclusive,120.00,0.00,120.00,0.00,120.00,USD,Sep companion care
XINV-010,LH-2026-10,ACCPAY,XC-001,Loretta Hayes Care Services,2026-10-15,2026-10-31,PAID,Exclusive,120.00,0.00,120.00,0.00,120.00,USD,Oct companion care
XINV-011,RX-2026-Q1,ACCPAY,XC-002,Walgreens Pharmacy,2026-03-31,2026-04-15,PAID,Exclusive,150.00,0.00,150.00,0.00,150.00,USD,Q1 macular degeneration eye drops and supplies
XINV-012,RX-2026-Q2,ACCPAY,XC-002,Walgreens Pharmacy,2026-06-30,2026-07-15,PAID,Exclusive,150.00,0.00,150.00,0.00,150.00,USD,Q2 macular degeneration eye drops and supplies
XINV-013,RX-2026-Q3,ACCPAY,XC-002,Walgreens Pharmacy,2026-09-30,2026-10-15,PAID,Exclusive,150.00,0.00,150.00,0.00,150.00,USD,Q3 macular degeneration eye drops and supplies
XINV-014,MED-2026-01,ACCPAY,XC-003,Dr. Anita Redmond - Geriatric Medicine,2026-08-20,2026-09-05,PAID,Exclusive,300.00,0.00,300.00,0.00,300.00,USD,Annual geriatric wellness exam
