id,username,full_name,email,initials
trm_jae,jaechandler,Jae Chandler,jae.chandler@Finthesiss.ai,JC
trm_ryan,ryanomalley,Ryan O'Malley,ryan.omalley.elec@gmail.com,RO
trm_danny,dannyflores,Danny Flores,danny.flores.elec@gmail.com,DF
trm_jake,jakeparsons,Jake Parsons,jake.parsons.apprentice@gmail.com,JP
mem_tyj5hssy,vasporl9,ucc3 av7yb0,joe.hjca@contractor.net,OT
mem_4o8g47x4,vt12znxa,rmyz 1y42y7,john.eg34@yahoo.com,LT
mem_62bmqxoh,mzfdmkjc,bstz 5k1nk4,chris.3dz4@hotmail.com,RF
mem_nn080oov,pwpj73qb,7ha8 kukuzg,bob.ea7z@gmail.com,XR
mem_63f4nnqh,2ft2kl6o,5gq1 1ff6jk,chris.wuel@contractor.net,SA
mem_hprj47p5,b48obaks,ylq9 omrhtq,pat.d11j@outlook.com,0G
mem_ta2kzubt,e6mq3a0l,t5rg nl7qgn,chris.mpg0@hotmail.com,9J
mem_emi4h96g,bvw4mmsl,d6am vhuum9,joe.ny5j@yahoo.com,S0
mem_unxb13r6,k94o8c8n,80pd pfwey3,jane.cj6p@outlook.com,ZC
mem_2zmce07l,qhy868zj,jhkh dzljai,jane.cu9c@yahoo.com,V6
mem_a50m1yri,7zvy3uok,o75j 3vnqyo,john.zhjt@outlook.com,RA
mem_55lgizkn,u5ovad4k,ez8n 20didf,jane.x5r4@gmail.com,BS
mem_ridmktnv,llorcwrb,hqnx kmrdpk,amy.t98t@hotmail.com,6P
mem_6ertmp5j,u1mf7beb,hnll kuz6xf,mike.2jhy@gmail.com,L0
mem_05scpkct,017nzezx,j0mk kzadwr,ann.3snt@yahoo.com,GU
mem_8gthwvnu,gbmkar6w,u0y4 u91rwt,tom.09v2@gmail.com,5F
mem_hzk259k4,2ap54a7i,a2fv 5dpmhn,jane.xtns@gmail.com,1C
mem_m8wgbrfm,uiq3yuh9,n26b z1eizx,amy.qjmi@gmail.com,TN
mem_1f0k1e1x,yx11yjm4,2n0q 0fbovy,lisa.xo51@hotmail.com,5Y
mem_512uj3pc,kw7vfz4g,hy6u k62gbu,ann.87o1@outlook.com,H4
mem_xg2vzcdg,suzg7kh1,cetz l2ia59,amy.0eh8@gmail.com,L5
mem_v6acvmbr,x73fl69a,eud5 ae9187,dan.nk8i@hotmail.com,FU
mem_gsdzxgrt,bfvhk113,0lqh vhywsf,mike.yrka@outlook.com,7W
mem_mi0cot5l,1gsr2tss,juq0 lc1cuv,john.bsp0@yahoo.com,3K
mem_exahz5ln,gltboksc,lqrl qjepnw,bob.illk@gmail.com,61
mem_tefom9yw,j49hwu0t,dtcc 0xyke4,sarah.qz80@contractor.net,IP
mem_b00wh488,r22kt5sp,9vkk 3do9ix,chris.5pwy@hotmail.com,SG
mem_bztcmjxs,8bgnqq3f,iohc q1dp9c,pat.bjdz@hotmail.com,TN
mem_9l3tlq50,zvpgd69g,4zsy 2gtfjo,sue.2eb9@hotmail.com,JA
mem_a1jyxn1u,btgusni1,lxp0 k9ck0z,amy.jsh8@outlook.com,N8
mem_3zp1r2i0,0t27r7on,zpj9 slgxdm,john.xwxp@chandlerelectric.com,7W
mem_yhgxqv20,p5qawhjs,v65u wzyxzq,lisa.o08b@chandlerelectric.com,FC
mem_nbk9s2f1,06g5v8a3,n8l1 rqabr8,sarah.v0ph@hotmail.com,3I
mem_1ig45wh4,7kih47wy,e3cq hmln5l,bob.6zec@outlook.com,9C
mem_c8e2uw4a,da3rxu71,kjnl o1livr,john.sysu@yahoo.com,VR
