id,event_id,ticket_class_id,name,email,status,checked_in,created
att_0000,ev_0004,tc_0000,Guest 0,j22@yahoo.com,Not Attending,true,2026-04-22T19:56:21Z
att_0001,ev_0017,tc_0003,Guest 1,m60@gmail.com,Not Attending,false,2026-02-10T12:48:15Z
att_0002,ev_0012,tc_0002,Guest 2,j32@yahoo.com,Not Attending,true,2026-08-31T07:00:54Z
att_0003,ev_0004,tc_0005,Guest 3,j46@gmail.com,Not Attending,true,2026-07-27T19:01:03Z
att_0004,ev_0000,tc_0000,Guest 4,m19@yahoo.com,Attending,false,2026-03-03T01:37:10Z
att_0005,ev_0016,tc_0002,Guest 5,k37@gmail.com,Not Attending,false,2026-05-25T03:01:14Z
att_0006,ev_0004,tc_0004,Guest 6,m58@gmail.com,Attending,false,2026-02-16T07:55:34Z
att_0007,ev_0010,tc_0003,Guest 7,k99@yahoo.com,Attending,false,2026-01-19T21:21:55Z
att_0008,ev_0003,tc_0001,Guest 8,k83@gmail.com,Attending,true,2026-05-15T08:22:28Z
att_0009,ev_0003,tc_0004,Guest 9,s93@gmail.com,Not Attending,false,2026-08-21T16:58:29Z
att_0010,ev_0013,tc_0001,Guest 10,a70@gmail.com,Not Attending,false,2026-06-25T23:06:40Z
att_0011,ev_0011,tc_0003,Guest 11,j78@yahoo.com,Attending,false,2026-07-28T10:18:18Z
att_0012,ev_0008,tc_0003,Guest 12,m48@yahoo.com,Attending,false,2026-07-14T19:29:53Z
att_0013,ev_0005,tc_0000,Guest 13,a91@gmail.com,Not Attending,true,2026-01-02T18:08:34Z
att_0014,ev_0019,tc_0005,Guest 14,a20@gmail.com,Not Attending,true,2026-02-04T23:02:55Z
att_0015,ev_0003,tc_0004,Guest 15,s58@yahoo.com,Attending,false,2026-07-11T01:48:03Z
att_0016,ev_0009,tc_0004,Guest 16,j65@yahoo.com,Not Attending,true,2026-08-09T21:36:35Z
att_0017,ev_0015,tc_0002,Guest 17,s43@gmail.com,Attending,true,2026-09-13T11:06:50Z
att_0018,ev_0005,tc_0005,Guest 18,a72@yahoo.com,Not Attending,false,2026-09-21T03:32:57Z
att_0019,ev_0004,tc_0004,Guest 19,k39@yahoo.com,Not Attending,true,2026-08-05T14:06:56Z
att_0020,ev_0015,tc_0001,Guest 20,k71@gmail.com,Attending,false,2026-03-30T03:26:33Z
att_0021,ev_0011,tc_0000,Guest 21,a93@yahoo.com,Attending,false,2026-06-14T20:38:08Z
att_0022,ev_0007,tc_0004,Guest 22,k58@yahoo.com,Attending,true,2026-01-21T04:15:34Z
att_0023,ev_0017,tc_0000,Guest 23,a12@gmail.com,Attending,true,2026-04-27T01:07:25Z
att_0024,ev_0000,tc_0002,Guest 24,m88@gmail.com,Not Attending,true,2026-05-24T03:12:01Z
att_0025,ev_0000,tc_0002,Guest 25,a13@yahoo.com,Attending,false,2026-04-19T15:37:03Z
att_0026,ev_0011,tc_0005,Guest 26,s19@yahoo.com,Not Attending,true,2026-08-24T12:19:02Z
att_0027,ev_0006,tc_0004,Guest 27,s96@gmail.com,Attending,true,2026-09-22T05:03:09Z
att_0028,ev_engagement,tc_0004,Guest 28,s24@yahoo.com,Not Attending,true,2026-10-03T06:57:26Z
att_0029,ev_engagement,tc_0001,Guest 29,a29@yahoo.com,Attending,true,2026-09-25T21:10:09Z
att_0030,ev_engagement,tc_0005,Guest 30,s81@yahoo.com,Attending,true,2026-01-13T23:49:43Z
att_0031,ev_0013,tc_0002,Guest 31,j25@gmail.com,Not Attending,false,2026-02-16T21:40:51Z
att_0032,ev_0002,tc_0000,Guest 32,m77@gmail.com,Attending,false,2026-05-20T13:40:06Z
att_0033,ev_0014,tc_0002,Guest 33,j10@gmail.com,Not Attending,false,2026-08-11T01:16:57Z
att_0034,ev_0011,tc_0005,Guest 34,k37@yahoo.com,Not Attending,true,2026-03-26T00:49:35Z
att_0035,ev_0015,tc_0004,Guest 35,m69@yahoo.com,Not Attending,true,2026-07-29T11:19:45Z
att_0036,ev_0010,tc_0005,Guest 36,j36@gmail.com,Not Attending,true,2026-10-01T15:11:37Z
att_0037,ev_0016,tc_0005,Guest 37,k32@yahoo.com,Not Attending,false,2026-10-05T10:07:50Z
att_0038,ev_0012,tc_0001,Guest 38,a13@gmail.com,Not Attending,false,2026-06-12T14:21:34Z
att_0039,ev_0013,tc_0004,Guest 39,m13@yahoo.com,Attending,true,2026-06-26T22:11:34Z
att_0040,ev_0018,tc_0000,Guest 40,j51@gmail.com,Attending,true,2026-04-17T15:20:07Z
att_0041,ev_0007,tc_0005,Guest 41,s74@yahoo.com,Not Attending,false,2026-05-30T23:39:56Z
att_0042,ev_0007,tc_0001,Guest 42,j93@gmail.com,Attending,false,2026-02-04T14:29:30Z
att_0043,ev_0018,tc_0005,Guest 43,k83@yahoo.com,Attending,false,2026-01-01T20:29:55Z
att_0044,ev_0009,tc_0005,Guest 44,j55@yahoo.com,Not Attending,false,2026-07-14T09:53:47Z
att_0045,ev_0010,tc_0000,Guest 45,a61@gmail.com,Attending,true,2026-06-30T01:34:12Z
att_0046,ev_0006,tc_0002,Guest 46,m34@gmail.com,Not Attending,false,2026-05-18T00:33:59Z
att_0047,ev_0010,tc_0005,Guest 47,j97@yahoo.com,Not Attending,false,2026-02-11T00:35:32Z
att_0048,ev_0001,tc_0001,Guest 48,j58@gmail.com,Not Attending,true,2026-04-22T04:44:22Z
att_0049,ev_0006,tc_0005,Guest 49,a90@yahoo.com,Attending,true,2026-02-09T01:03:14Z
att_0050,ev_0003,tc_0002,Guest 50,a67@yahoo.com,Attending,false,2026-04-25T16:05:55Z
att_0051,ev_0004,tc_0001,Guest 51,s28@gmail.com,Not Attending,true,2026-09-18T11:01:52Z
att_0052,ev_0006,tc_0003,Guest 52,m61@yahoo.com,Not Attending,true,2026-07-10T21:26:35Z
att_0053,ev_0010,tc_0004,Guest 53,a65@yahoo.com,Attending,false,2026-07-03T03:28:22Z
att_0054,ev_0004,tc_0004,Guest 54,k30@yahoo.com,Attending,false,2026-03-12T06:43:36Z
att_0055,ev_0005,tc_0004,Guest 55,s88@gmail.com,Not Attending,false,2026-09-13T04:09:01Z
att_0056,ev_0019,tc_0000,Guest 56,s27@gmail.com,Attending,true,2026-07-13T14:51:14Z
att_0057,ev_0002,tc_0004,Guest 57,s36@yahoo.com,Attending,true,2026-06-25T13:03:54Z
att_0058,ev_0003,tc_0004,Guest 58,j30@gmail.com,Not Attending,false,2026-09-09T20:48:35Z
att_0059,ev_0018,tc_0004,Guest 59,a95@gmail.com,Not Attending,false,2026-08-13T20:32:08Z
att_0060,ev_engagement,tc_0001,Guest 60,s60@gmail.com,Attending,true,2026-09-20T00:58:06Z
att_0061,ev_0014,tc_0003,Guest 61,k27@gmail.com,Not Attending,false,2026-04-25T05:50:15Z
att_0062,ev_0011,tc_0004,Guest 62,s78@gmail.com,Attending,false,2026-08-18T04:10:29Z
att_0063,ev_0012,tc_0001,Guest 63,s44@yahoo.com,Not Attending,false,2026-06-08T11:38:17Z
att_0064,ev_0006,tc_0004,Guest 64,s70@yahoo.com,Not Attending,true,2026-09-19T14:39:55Z
att_0065,ev_0009,tc_0001,Guest 65,m52@gmail.com,Not Attending,false,2026-03-06T01:32:46Z
att_0066,ev_0017,tc_0004,Guest 66,a98@yahoo.com,Not Attending,false,2026-05-25T17:02:59Z
att_0067,ev_0015,tc_0005,Guest 67,j48@gmail.com,Not Attending,false,2026-09-25T12:55:21Z
att_0068,ev_0017,tc_0004,Guest 68,a25@gmail.com,Attending,false,2026-03-03T21:34:22Z
att_0069,ev_0006,tc_0004,Guest 69,s12@gmail.com,Not Attending,true,2026-06-11T10:49:32Z
att_0070,ev_0001,tc_0003,Guest 70,k21@yahoo.com,Not Attending,true,2026-01-31T17:24:22Z
att_0071,ev_0000,tc_0004,Guest 71,j46@gmail.com,Attending,false,2026-02-23T01:45:28Z
att_0072,ev_0002,tc_0001,Guest 72,s65@yahoo.com,Not Attending,false,2026-06-17T14:55:36Z
att_0073,ev_0007,tc_0001,Guest 73,s11@gmail.com,Attending,true,2026-01-25T17:40:24Z
att_0074,ev_0017,tc_0005,Guest 74,m32@yahoo.com,Attending,true,2026-09-19T19:03:21Z
att_0075,ev_0000,tc_0000,Guest 75,m28@gmail.com,Attending,true,2026-03-25T10:42:11Z
att_0076,ev_0000,tc_0003,Guest 76,a44@gmail.com,Attending,false,2026-05-25T17:15:54Z
att_0077,ev_0010,tc_0001,Guest 77,k10@yahoo.com,Attending,false,2026-06-08T03:58:24Z
att_0078,ev_engagement,tc_0001,Guest 78,m43@yahoo.com,Not Attending,false,2026-07-02T14:08:15Z
att_0079,ev_0003,tc_0000,Guest 79,a97@yahoo.com,Not Attending,true,2026-05-05T11:46:31Z
att_0080,ev_0004,tc_0002,Guest 80,a67@yahoo.com,Not Attending,true,2026-05-10T11:50:46Z
att_0081,ev_0013,tc_0004,Guest 81,m87@gmail.com,Attending,false,2026-09-03T17:18:45Z
att_0082,ev_0000,tc_0000,Guest 82,k76@gmail.com,Not Attending,true,2026-05-23T00:34:56Z
att_0083,ev_0008,tc_0003,Guest 83,a92@gmail.com,Attending,false,2026-02-08T01:32:38Z
