Jersey	Player	Age	Position	Parent	Phone	Notes	Batting Order	Email
3	Jake Brandt	7	Second base	Matt Brandt	412-555-0218	Coach's grandson, good swing	10	matt.brandt.pgh@gmail.com
5	Mason Kowalski	9	Pitcher	Greg Kowalski	412-555-0391	Strong arm, work on control	3	greg.kowalski@gmail.com
7	Liam O'Hara	8	Shortstop	Kevin O'Hara	412-555-0377		5	kevin.ohara@gmail.com
9	Ava Russo	10	Center field	Tony Russo	412-555-0362	Fastest on the team	1	tony.russo@gmail.com
11	Noah Delgado	9	Catcher	Maria Delgado	412-555-0348	Needs new shin guards	7	maria.delgado@gmail.com
12	Ethan Pulaski	7	Right field	Dave Pulaski	412-555-0319	First year, eager	12	dave.pulaski@gmail.com
14	Owen McBride	10	First base	Sean McBride	412-555-0305	Team captain	2	sean.mcbride@gmail.com
16	Caleb Hoffman	8	Third base	Rick Hoffman	412-555-0288		6	rick.hoffman@gmail.com
18	Lucas Brenner	9	Left field	Amy Brenner	412-555-0273	Carpool with Marsh family	8	amy.brenner@gmail.com
21	Sophia Marsh	8	Second base	John Marsh	412-555-0254		9	john.marsh@gmail.com
22	Henry Vance	7	Right field	Paul Vance	412-555-0231	Allergic to bee stings, epipen in bag	11	paul.vance@gmail.com
24	Tyler Nowak	10	Pitcher	Beth Nowak	412-555-0207	Moving up to majors next year	4	beth.nowak@gmail.com
