user_id,first_name,last_name,email,role,device_access,shared_at
su_eleni,Eleni,Garcia,eleni.garcia.cpa@gmail.com,owner,full,2025-06-01
su_andreas,Andreas,Garcia,andreas.garcia@gmail.com,shared,guest,2025-06-01
su_0000,First0,Last0,m22@gmail.com,owner,full,2026-10-05
su_0001,First1,Last1,j44@yahoo.com,owner,guest,2026-05-09
su_0002,First2,Last2,k22@yahoo.com,shared,guest,2026-03-05
su_0003,First3,Last3,a88@yahoo.com,owner,guest,2026-09-24
su_0004,First4,Last4,s99@yahoo.com,shared,full,2026-06-12
su_0005,First5,Last5,a63@gmail.com,owner,guest,2026-02-06
su_0006,First6,Last6,a38@gmail.com,owner,guest,2026-07-05
su_0007,First7,Last7,s44@yahoo.com,owner,full,2026-01-18
su_0008,First8,Last8,k39@yahoo.com,shared,full,2026-08-23
su_0009,First9,Last9,s51@yahoo.com,shared,full,2026-09-22
su_0010,First10,Last10,m54@gmail.com,shared,guest,2026-10-05
su_0011,First11,Last11,k89@gmail.com,shared,full,2026-03-25
su_0012,First12,Last12,m79@gmail.com,shared,full,2026-05-20
su_0013,First13,Last13,k48@yahoo.com,shared,full,2026-07-24
su_0014,First14,Last14,a19@yahoo.com,owner,guest,2026-09-01
su_0015,First15,Last15,k15@yahoo.com,owner,guest,2026-08-23
su_0016,First16,Last16,j20@yahoo.com,owner,full,2026-02-23
su_0017,First17,Last17,j77@yahoo.com,shared,guest,2026-07-12
su_0018,First18,Last18,a38@yahoo.com,owner,guest,2026-05-08
su_0019,First19,Last19,a57@yahoo.com,owner,guest,2026-10-02
su_0020,First20,Last20,s68@gmail.com,shared,guest,2026-02-11
su_0021,First21,Last21,a11@gmail.com,owner,guest,2026-01-08
su_0022,First22,Last22,s86@yahoo.com,shared,full,2026-07-17
su_0023,First23,Last23,a68@gmail.com,owner,full,2026-01-22
su_0024,First24,Last24,s22@gmail.com,owner,guest,2026-03-04
su_0025,First25,Last25,k99@yahoo.com,owner,guest,2026-08-27
su_0026,First26,Last26,a95@yahoo.com,owner,guest,2026-09-10
su_0027,First27,Last27,k63@gmail.com,owner,guest,2026-07-25
su_0028,First28,Last28,s51@gmail.com,owner,guest,2026-08-06
su_0029,First29,Last29,a49@yahoo.com,shared,guest,2026-05-24
su_0030,First30,Last30,m25@yahoo.com,shared,full,2026-09-27
su_0031,First31,Last31,s63@yahoo.com,shared,full,2026-09-29
su_0032,First32,Last32,s67@yahoo.com,owner,full,2026-09-14
su_0033,First33,Last33,j16@yahoo.com,shared,full,2026-02-05
su_0034,First34,Last34,a75@yahoo.com,owner,full,2026-06-16
su_0035,First35,Last35,k59@gmail.com,owner,guest,2026-10-12
su_0036,First36,Last36,m43@gmail.com,owner,full,2026-06-21
su_0037,First37,Last37,k80@yahoo.com,shared,full,2026-01-17
su_0038,First38,Last38,a28@gmail.com,owner,guest,2026-08-12
su_0039,First39,Last39,m57@gmail.com,shared,full,2026-07-07
su_0040,First40,Last40,m75@yahoo.com,shared,guest,2026-09-05
su_0041,First41,Last41,j28@gmail.com,shared,full,2026-08-23
su_0042,First42,Last42,a33@gmail.com,shared,guest,2026-08-08
su_0043,First43,Last43,k21@yahoo.com,owner,full,2026-05-17
su_0044,First44,Last44,m56@yahoo.com,owner,guest,2026-05-06
su_0045,First45,Last45,a59@gmail.com,shared,guest,2026-08-22
su_0046,First46,Last46,a68@gmail.com,owner,guest,2026-04-01
su_0047,First47,Last47,k71@gmail.com,shared,full,2026-01-14
su_0048,First48,Last48,k62@yahoo.com,shared,full,2026-01-08
su_0049,First49,Last49,m75@yahoo.com,shared,full,2026-01-22
su_0050,First50,Last50,s22@gmail.com,owner,guest,2026-07-28
su_0051,First51,Last51,j57@gmail.com,owner,guest,2026-02-19
su_0052,First52,Last52,j34@yahoo.com,shared,full,2026-03-31
su_0053,First53,Last53,a74@yahoo.com,shared,guest,2026-02-15
su_0054,First54,Last54,s70@yahoo.com,owner,full,2026-01-11
su_0055,First55,Last55,s32@gmail.com,owner,full,2026-08-19
su_0056,First56,Last56,j13@yahoo.com,owner,full,2026-02-02
su_0057,First57,Last57,s61@yahoo.com,owner,guest,2026-02-13
su_0058,First58,Last58,m59@gmail.com,owner,guest,2026-09-11
su_0059,First59,Last59,s81@yahoo.com,shared,guest,2026-04-24
