id,employeeId,type,status,start,end,amount,unit,notes,created
tor-aw-001,bhr-laurel-creek-22841,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002,bhr-laurel-creek-22841,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e001,bhr-laurel-creek-22841-e001,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e001,bhr-laurel-creek-22841-e001,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e002,bhr-laurel-creek-22841-e002,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e002,bhr-laurel-creek-22841-e002,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e003,bhr-laurel-creek-22841-e003,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e003,bhr-laurel-creek-22841-e003,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e004,bhr-laurel-creek-22841-e004,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e004,bhr-laurel-creek-22841-e004,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e005,bhr-laurel-creek-22841-e005,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e005,bhr-laurel-creek-22841-e005,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e006,bhr-laurel-creek-22841-e006,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e006,bhr-laurel-creek-22841-e006,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e007,bhr-laurel-creek-22841-e007,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e007,bhr-laurel-creek-22841-e007,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e008,bhr-laurel-creek-22841-e008,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e008,bhr-laurel-creek-22841-e008,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e009,bhr-laurel-creek-22841-e009,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e009,bhr-laurel-creek-22841-e009,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e010,bhr-laurel-creek-22841-e010,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e010,bhr-laurel-creek-22841-e010,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e011,bhr-laurel-creek-22841-e011,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e011,bhr-laurel-creek-22841-e011,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e012,bhr-laurel-creek-22841-e012,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e012,bhr-laurel-creek-22841-e012,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e013,bhr-laurel-creek-22841-e013,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e013,bhr-laurel-creek-22841-e013,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e014,bhr-laurel-creek-22841-e014,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e014,bhr-laurel-creek-22841-e014,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e015,bhr-laurel-creek-22841-e015,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e015,bhr-laurel-creek-22841-e015,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e016,bhr-laurel-creek-22841-e016,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e016,bhr-laurel-creek-22841-e016,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e017,bhr-laurel-creek-22841-e017,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e017,bhr-laurel-creek-22841-e017,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e018,bhr-laurel-creek-22841-e018,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e018,bhr-laurel-creek-22841-e018,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e019,bhr-laurel-creek-22841-e019,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e019,bhr-laurel-creek-22841-e019,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e020,bhr-laurel-creek-22841-e020,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e020,bhr-laurel-creek-22841-e020,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e021,bhr-laurel-creek-22841-e021,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e021,bhr-laurel-creek-22841-e021,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e022,bhr-laurel-creek-22841-e022,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e022,bhr-laurel-creek-22841-e022,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e023,bhr-laurel-creek-22841-e023,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e023,bhr-laurel-creek-22841-e023,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e024,bhr-laurel-creek-22841-e024,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e024,bhr-laurel-creek-22841-e024,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e025,bhr-laurel-creek-22841-e025,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e025,bhr-laurel-creek-22841-e025,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e026,bhr-laurel-creek-22841-e026,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e026,bhr-laurel-creek-22841-e026,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e027,bhr-laurel-creek-22841-e027,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e027,bhr-laurel-creek-22841-e027,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e028,bhr-laurel-creek-22841-e028,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e028,bhr-laurel-creek-22841-e028,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e029,bhr-laurel-creek-22841-e029,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e029,bhr-laurel-creek-22841-e029,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e030,bhr-laurel-creek-22841-e030,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e030,bhr-laurel-creek-22841-e030,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e031,bhr-laurel-creek-22841-e031,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e031,bhr-laurel-creek-22841-e031,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e032,bhr-laurel-creek-22841-e032,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e032,bhr-laurel-creek-22841-e032,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e033,bhr-laurel-creek-22841-e033,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e033,bhr-laurel-creek-22841-e033,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e034,bhr-laurel-creek-22841-e034,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e034,bhr-laurel-creek-22841-e034,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e035,bhr-laurel-creek-22841-e035,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e035,bhr-laurel-creek-22841-e035,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e036,bhr-laurel-creek-22841-e036,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e036,bhr-laurel-creek-22841-e036,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e037,bhr-laurel-creek-22841-e037,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e037,bhr-laurel-creek-22841-e037,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
tor-aw-001-e038,bhr-laurel-creek-22841-e038,Personal,approved,2026-10-16,2026-10-17,2,days,Wedding - MOH for Jess Reyes,2026-08-10
tor-aw-002-e038,bhr-laurel-creek-22841-e038,Personal,approved,2026-11-14,2026-11-14,1,days,Fall Showcase at Rhythm Dance Studio,2026-08-10
