id,firstName,lastName,workEmail,department,jobTitle,location,hireDate,status,supervisorId
bhr-laurel-creek-22841,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e001,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e002,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e003,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e004,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e005,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e006,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e007,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e008,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e009,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e010,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e011,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e012,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e013,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e014,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e015,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e016,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e017,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e018,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e019,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e020,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e021,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e022,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e023,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e024,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e025,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e026,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e027,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e028,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e029,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e030,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e031,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e032,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e033,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e034,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
bhr-laurel-creek-22841-e035,Amanda,Webb,amanda.webb@laurelcreek.health,Emergency Department,Senior ER RN,Reading PA,2015-06-15,Active,
