page_id,property_name,property_type,value
6ce8ffc6b1e88ede949aed89ec18fe51,Chapter,select,Ch1-3
6ce8ffc6b1e88ede949aed89ec18fe51,Completion %,number,42
6ce8ffc6b1e88ede949aed89ec18fe51,Duration (min),number,48
6ce8ffc6b1e88ede949aed89ec18fe51,Session #,number,1
f803a5b31a86ba9aaac49a2041353ce8,Chapter,select,Ch1
f803a5b31a86ba9aaac49a2041353ce8,Completion %,number,58
f803a5b31a86ba9aaac49a2041353ce8,Duration (min),number,46
f803a5b31a86ba9aaac49a2041353ce8,Session #,number,2
5955909562e2d43c5ba79f4daa34888d,Chapter,select,Ch1-3
5955909562e2d43c5ba79f4daa34888d,Completion %,number,28
5955909562e2d43c5ba79f4daa34888d,Duration (min),number,17
5955909562e2d43c5ba79f4daa34888d,Session #,number,3
a38f3233e06d4b54271c707db1a842c6,Chapter,select,Ch1-3
a38f3233e06d4b54271c707db1a842c6,Completion %,number,81
a38f3233e06d4b54271c707db1a842c6,Duration (min),number,45
a38f3233e06d4b54271c707db1a842c6,Session #,number,4
3446cf1e58998a9cec45695f21b4348b,Chapter,select,Ch1
3446cf1e58998a9cec45695f21b4348b,Completion %,number,90
3446cf1e58998a9cec45695f21b4348b,Duration (min),number,21
3446cf1e58998a9cec45695f21b4348b,Session #,number,5
3077fdaef7507aab1ecf609b7e838eef,Chapter,select,Ch1
3077fdaef7507aab1ecf609b7e838eef,Completion %,number,80
3077fdaef7507aab1ecf609b7e838eef,Duration (min),number,39
3077fdaef7507aab1ecf609b7e838eef,Session #,number,6
ff88f75fe5ddd60e5fa51d7f2036d623,Chapter,select,Ch1-3
ff88f75fe5ddd60e5fa51d7f2036d623,Completion %,number,27
ff88f75fe5ddd60e5fa51d7f2036d623,Duration (min),number,15
ff88f75fe5ddd60e5fa51d7f2036d623,Session #,number,7
54a63e107ea247abb8270d62637dc420,Chapter,select,Ch1
54a63e107ea247abb8270d62637dc420,Completion %,number,36
54a63e107ea247abb8270d62637dc420,Duration (min),number,17
54a63e107ea247abb8270d62637dc420,Session #,number,8
3f751e1e65edf48bddcb842e843489fe,Chapter,select,Ch1
3f751e1e65edf48bddcb842e843489fe,Completion %,number,56
3f751e1e65edf48bddcb842e843489fe,Duration (min),number,31
3f751e1e65edf48bddcb842e843489fe,Session #,number,9
27790a9afe8c5dc8aa9bec9d63e48212,Chapter,select,Ch1
27790a9afe8c5dc8aa9bec9d63e48212,Completion %,number,67
27790a9afe8c5dc8aa9bec9d63e48212,Duration (min),number,20
27790a9afe8c5dc8aa9bec9d63e48212,Session #,number,10
2f93d748b253b43b32c1c87e35dfb413,Chapter,select,Ch1
2f93d748b253b43b32c1c87e35dfb413,Completion %,number,79
2f93d748b253b43b32c1c87e35dfb413,Duration (min),number,46
2f93d748b253b43b32c1c87e35dfb413,Session #,number,11
8e2035fc76cf12bbb770349756fcce8c,Chapter,select,Ch1-3
8e2035fc76cf12bbb770349756fcce8c,Completion %,number,43
8e2035fc76cf12bbb770349756fcce8c,Duration (min),number,29
8e2035fc76cf12bbb770349756fcce8c,Session #,number,12
127abc22017770a03af334318e387aaf,Chapter,select,Ch1-3
127abc22017770a03af334318e387aaf,Completion %,number,89
127abc22017770a03af334318e387aaf,Duration (min),number,25
127abc22017770a03af334318e387aaf,Session #,number,13
7ad19ce1c3d4d25cbc0799bdad023bd1,Chapter,select,Ch1-3
7ad19ce1c3d4d25cbc0799bdad023bd1,Completion %,number,61
7ad19ce1c3d4d25cbc0799bdad023bd1,Duration (min),number,60
7ad19ce1c3d4d25cbc0799bdad023bd1,Session #,number,14
40ac821157c98d038a5d7fdb3854dae5,Chapter,select,Ch1-3
40ac821157c98d038a5d7fdb3854dae5,Completion %,number,42
40ac821157c98d038a5d7fdb3854dae5,Duration (min),number,51
40ac821157c98d038a5d7fdb3854dae5,Session #,number,15
64581b735c5ff884d6b449912dca9719,Chapter,select,Ch1-3
64581b735c5ff884d6b449912dca9719,Completion %,number,52
64581b735c5ff884d6b449912dca9719,Duration (min),number,38
64581b735c5ff884d6b449912dca9719,Session #,number,16
1e483bf5802f763da8f72ae3a6ea6a66,Chapter,select,Ch1
1e483bf5802f763da8f72ae3a6ea6a66,Completion %,number,28
1e483bf5802f763da8f72ae3a6ea6a66,Duration (min),number,57
1e483bf5802f763da8f72ae3a6ea6a66,Session #,number,17
0ace8eb0b59269a5e8e921a95787c352,Chapter,select,Ch1
0ace8eb0b59269a5e8e921a95787c352,Completion %,number,86
0ace8eb0b59269a5e8e921a95787c352,Duration (min),number,24
0ace8eb0b59269a5e8e921a95787c352,Session #,number,18
b59b4006e1b2ec28670fcc99856b538d,Chapter,select,Ch1
b59b4006e1b2ec28670fcc99856b538d,Completion %,number,39
b59b4006e1b2ec28670fcc99856b538d,Duration (min),number,52
b59b4006e1b2ec28670fcc99856b538d,Session #,number,19
cd7d9ee8ad79b145e3304816527c8241,Chapter,select,Ch1
cd7d9ee8ad79b145e3304816527c8241,Completion %,number,80
cd7d9ee8ad79b145e3304816527c8241,Duration (min),number,48
cd7d9ee8ad79b145e3304816527c8241,Session #,number,20
02df43c9c37c9b3cee56c70d9aed6e3b,Chapter,select,Ch1
02df43c9c37c9b3cee56c70d9aed6e3b,Completion %,number,16
02df43c9c37c9b3cee56c70d9aed6e3b,Duration (min),number,29
02df43c9c37c9b3cee56c70d9aed6e3b,Session #,number,21
f866aa170cd1c966437c5b4046312ee6,Chapter,select,Ch1
f866aa170cd1c966437c5b4046312ee6,Completion %,number,42
f866aa170cd1c966437c5b4046312ee6,Duration (min),number,20
f866aa170cd1c966437c5b4046312ee6,Session #,number,22
555c3eb40116b1f382a8c5fb2a9740ea,Chapter,select,Ch1
555c3eb40116b1f382a8c5fb2a9740ea,Completion %,number,61
555c3eb40116b1f382a8c5fb2a9740ea,Duration (min),number,27
555c3eb40116b1f382a8c5fb2a9740ea,Session #,number,23
0b8b89f7d8829158a25af86f0655fab5,Chapter,select,Ch1
0b8b89f7d8829158a25af86f0655fab5,Completion %,number,73
0b8b89f7d8829158a25af86f0655fab5,Duration (min),number,60
0b8b89f7d8829158a25af86f0655fab5,Session #,number,24
c842b5d8af5df0c7a1e15e9d997b3c99,Chapter,select,Ch1-3
c842b5d8af5df0c7a1e15e9d997b3c99,Completion %,number,21
c842b5d8af5df0c7a1e15e9d997b3c99,Duration (min),number,20
c842b5d8af5df0c7a1e15e9d997b3c99,Session #,number,25
25557311188f68bf8a060369fc8ac3b7,Chapter,select,Ch1
25557311188f68bf8a060369fc8ac3b7,Completion %,number,63
25557311188f68bf8a060369fc8ac3b7,Duration (min),number,55
25557311188f68bf8a060369fc8ac3b7,Session #,number,26
8223f94c451048d87dd9a12aacd14864,Chapter,select,Ch1
8223f94c451048d87dd9a12aacd14864,Completion %,number,76
8223f94c451048d87dd9a12aacd14864,Duration (min),number,53
8223f94c451048d87dd9a12aacd14864,Session #,number,27
d033e1b4381055cfaa87065cea603e9f,Chapter,select,Ch1-3
d033e1b4381055cfaa87065cea603e9f,Completion %,number,45
d033e1b4381055cfaa87065cea603e9f,Duration (min),number,18
d033e1b4381055cfaa87065cea603e9f,Session #,number,28
d965d3967a13a113c44016574bea7cb4,Chapter,select,Ch1
d965d3967a13a113c44016574bea7cb4,Completion %,number,30
d965d3967a13a113c44016574bea7cb4,Duration (min),number,60
d965d3967a13a113c44016574bea7cb4,Session #,number,29
9cdb520d8270802b94b99ee7ac98e1cd,Chapter,select,Ch1-3
9cdb520d8270802b94b99ee7ac98e1cd,Completion %,number,82
9cdb520d8270802b94b99ee7ac98e1cd,Duration (min),number,28
9cdb520d8270802b94b99ee7ac98e1cd,Session #,number,30
85c740374a88ee4d232593028335bce6,Chapter,select,Ch1
85c740374a88ee4d232593028335bce6,Completion %,number,79
85c740374a88ee4d232593028335bce6,Duration (min),number,23
85c740374a88ee4d232593028335bce6,Session #,number,31
3604eb285fd3d01da94b348467f1a3c6,Chapter,select,Ch1-3
3604eb285fd3d01da94b348467f1a3c6,Completion %,number,34
3604eb285fd3d01da94b348467f1a3c6,Duration (min),number,25
3604eb285fd3d01da94b348467f1a3c6,Session #,number,32
8a662fee70512676a8b0c10ce7d5482c,Chapter,select,Ch1-3
8a662fee70512676a8b0c10ce7d5482c,Completion %,number,24
8a662fee70512676a8b0c10ce7d5482c,Duration (min),number,22
8a662fee70512676a8b0c10ce7d5482c,Session #,number,33
ab76d4ed4ba41891ab2b957d00233015,Chapter,select,Ch1
ab76d4ed4ba41891ab2b957d00233015,Completion %,number,40
ab76d4ed4ba41891ab2b957d00233015,Duration (min),number,22
ab76d4ed4ba41891ab2b957d00233015,Session #,number,34
928cdfbfc35dc390d07313b867d06060,Chapter,select,Ch1
