id,thread_id,from_addr,to_addr,cc_addr,subject,snippet,body,date,internal_date,size_estimate,labels,is_unread,is_starred
gm000,th-2027-bookings,claire.walsh@gmail.com,carlos.bennett@Finthesiss.ai,,2027 deposit cleared - BK2027-03 Halligan party,"Carlos, deposit for Halligan party (BK2027-03) cleared through the referral link. Date is ","Carlos, deposit for Halligan party (BK2027-03) cleared through the referral link. Date is locked. Roster to follow.",2026-09-05T14:20:00-04:00,1748016000000,5400,"INBOX,Label_orbit",false,true
gm001,th-2027-bookings,claire.walsh@gmail.com,carlos.bennett@Finthesiss.ai,,2027 deposit cleared - BK2027-04 Okafor group,"Carlos, deposit for Okafor group (BK2027-04) cleared through the referral link. Date is lo","Carlos, deposit for Okafor group (BK2027-04) cleared through the referral link. Date is locked. Roster to follow.",2026-10-06T14:21:00-04:00,1748005200000,3200,"INBOX,Label_orbit,Label_followup",false,false
gm002,th-2027-bookings,claire.walsh@gmail.com,carlos.bennett@Finthesiss.ai,,2027 deposit cleared - BK2027-08 GreenTech corp,"Carlos, deposit for GreenTech corp (BK2027-08) cleared through the referral link. Date is ","Carlos, deposit for GreenTech corp (BK2027-08) cleared through the referral link. Date is locked. Roster to follow.",2026-11-07T14:22:00-04:00,1748021400000,1200,"SENT,Label_orbit",false,false
gm003,th-2027-bookings,claire.walsh@gmail.com,carlos.bennett@Finthesiss.ai,,2027 deposit cleared - BK2027-11 Reyes family,"Carlos, deposit for Reyes family (BK2027-11) cleared through the referral link. Date is lo","Carlos, deposit for Reyes family (BK2027-11) cleared through the referral link. Date is locked. Roster to follow.",2026-09-08T14:23:00-04:00,1748056500000,4100,"INBOX,Label_oncall",false,false
gm004,th-2027-bookings,claire.walsh@gmail.com,carlos.bennett@Finthesiss.ai,,2027 deposit cleared - BK2027-12 Danvers charter,"Carlos, deposit for Danvers charter (BK2027-12) cleared through the referral link. Date is","Carlos, deposit for Danvers charter (BK2027-12) cleared through the referral link. Date is locked. Roster to follow.",2026-10-09T14:24:00-04:00,1748145600000,2200,SPAM,false,false
gm005,th-2027-bookings,claire.walsh@gmail.com,carlos.bennett@Finthesiss.ai,,2027 deposit cleared - BK2027-15 Whitfield group,"Carlos, deposit for Whitfield group (BK2027-15) cleared through the referral link. Date is","Carlos, deposit for Whitfield group (BK2027-15) cleared through the referral link. Date is locked. Roster to follow.",2026-11-10T14:25:00-04:00,1748191500000,1900,"INBOX,Label_followup",false,false
gm006,th-2027-bookings,claire.walsh@gmail.com,carlos.bennett@Finthesiss.ai,,2027 deposit cleared - BK2027-16 Sunbelt Realty outing,"Carlos, deposit for Sunbelt Realty outing (BK2027-16) cleared through the referral link. D","Carlos, deposit for Sunbelt Realty outing (BK2027-16) cleared through the referral link. Date is locked. Roster to follow.",2026-09-11T14:26:00-04:00,1748252400000,800,"SENT,Label_orbit",false,false
gm007_8,th-2027-bookings,claire.walsh@gmail.com,carlos.bennett@Finthesiss.ai,,2027 deposit cleared - BK2027-19 Kessler party,"Carlos, deposit for Kessler party (BK2027-19) cleared through the referral link. Date is l","Carlos, deposit for Kessler party (BK2027-19) cleared through the referral link. Date is locked. Roster to follow.",2026-10-12T14:27:00-04:00,1748016000000,5400,"INBOX,Label_orbit",false,true
gm008_9,th-2027-bookings,claire.walsh@gmail.com,carlos.bennett@Finthesiss.ai,,2027 deposit cleared - BK2027-20 Abrego family,"Carlos, deposit for Abrego family (BK2027-20) cleared through the referral link. Date is l","Carlos, deposit for Abrego family (BK2027-20) cleared through the referral link. Date is locked. Roster to follow.",2026-11-13T14:28:00-04:00,1748005200000,3200,"INBOX,Label_orbit,Label_followup",false,false
gm009_10,th-2027-bookings,claire.walsh@gmail.com,carlos.bennett@Finthesiss.ai,,2027 deposit cleared - BK2027-23 Nolan referral,"Carlos, deposit for Nolan referral (BK2027-23) cleared through the referral link. Date is ","Carlos, deposit for Nolan referral (BK2027-23) cleared through the referral link. Date is locked. Roster to follow.",2026-09-14T14:29:00-04:00,1748021400000,1200,"SENT,Label_orbit",false,false
