Entry Date	Source Type	Source Title / Record	Repository or Location	Person(s) Concerned	Record Date	Notes	Status
2025-10-16	Census	1940 United States Federal Census, Chicago, Cook County, IL, ED 103-2284	National Archives via library access, scanned copy in family file	Walter Roberts, Margaret Roberts, Raymond Roberts	1940-11-08	Household at 2236 S Sawyer Ave. Walter listed as molder, foundry. Raymond age 15, in school. Matches Dad's stories about Sawyer Avenue.	Verified
2025-10-23	Census	1930 United States Federal Census, Chicago, Cook County, IL	National Archives via library access	Walter Roberts, Margaret Roberts	1930-11-12	Same Sawyer Ave address. Walter's occupation given as iron molder. Margaret keeping house.	Verified
2025-10-30	Vital Record	Marriage record, Walter Roberts and Margaret Doyle	Cook County Clerk, Bureau of Vital Records	Walter Roberts, Margaret Doyle	1922-11-10	License no. 912447. Witnesses include a P. Doyle, likely Margaret's brother. Order certified copy.	Copy ordered
2025-11-06	Church Record	Baptismal register, St. Agnes of Bohemia Parish, Chicago	Parish office correspondence	Raymond Roberts	1925-02-20	Raymond born 1925-01-30, baptized February. Godparents named Doyle, confirms the Doyle connection.	Verified
2025-11-13	Immigration	SS Britannic passenger manifest, Liverpool to New York	National Archives microfilm index	Thomas Roberts	1891-11-02	Thomas Roberts, age 22, occupation ironworker, origin listed Merthyr Tydfil, Wales. Strongest candidate found so far. Need corroboration before accepting.	Probable, needs second source
2025-11-20	Vital Record	Death certificate, Thomas Roberts	Cook County Clerk, Bureau of Vital Records	Thomas Roberts	1936-12-14	Cause pneumonia. Birthplace given only as Wales. Father listed as David Roberts, new name for the file.	Verified
2025-12-04	Newspaper	Obituary, Raymond J. Roberts	Chicago Tribune archive, scanned clipping in family file	Raymond Roberts	1998-11-19	Machinist, Army veteran, survived by wife Eleanor, son Andrew. Clipping kept in the family records file.	Verified
2025-12-11	City Directory	Chicago city directory entries, Roberts at S Sawyer Ave	Newberry Library, Chicago	Walter Roberts	1928 to 1952	Walter appears at the Sawyer Ave address across multiple years. Photocopies made on the December research trip.	Verified
2026-01-08	Employment	Crane Co. foundry employment ledger index	DuPage County Historical Society reference desk referral to Pullman archive	Walter Roberts	1921 to 1958	Society colleague suggested the Pullman State Historic Site archive for foundry employment records. Inquiry letter drafted, not yet sent.	Lead, not started
2026-01-15	Oral History	Interview with Frank Kowalski on Naperville factory work	Personal recording, DuPage County Historical Society project	Context for trades research	2026-01-15	Not Roberts family directly, but firsthand detail on Midwestern foundry and factory life in the same era as Walter and Raymond. MP3 in the family file.	Recorded
2026-01-22	Vital Record	Marriage record, Raymond Roberts and Eleanor Hayes	Cook County Clerk, Bureau of Vital Records	Raymond Roberts, Eleanor Hayes	1951-11-24	Certified copy received and filed. Eleanor's parents listed, opens the Hayes line for later.	Verified
2026-02-05	Land Record	Deed search, 2236 S Sawyer Ave	Cook County Recorder of Deeds online index	Walter Roberts	1926	Index shows a 1926 conveyance to W. Roberts. Full document image requires an in-person visit or paid order. Deferred until the weather turns.	Lead, deferred
2026-02-12	Church Record	Burial register inquiry, Resurrection Cemetery	Cemetery office, written inquiry	Thomas Roberts, Alice Roberts	1936 / 1940	Asked for plot records for Thomas and Alice. Office says four to six weeks for a reply.	Awaiting reply
2026-02-19	Family Source	Carol's notes on the Foster family Bible	Home, kitchen shelf with the garden planner	Foster line context	Various	Carol had started a page of Foster names years ago. Set aside respectfully for a possible Foster line project later. Not Roberts scope.	Filed for later
