id,meeting_id,email,first_name,last_name,status,join_time,create_time
reg-0001,84200191001,arjun@lagosbrewingco.ng,Arjun,Gonzales,approved,,
reg-0002,84200191001,office@nwosufamilyoffice.com,Chief,Adekunle Nwosu,approved,,
reg-0003,84200191002,arjun@lagosbrewingco.ng,Arjun,Gonzales,approved,,
reg-0004,84200191002,braukon.sales@braukon.de,Klaus,Weber,approved,,
reg-0005,84200191003,arjun@lagosbrewingco.ng,Arjun,Gonzales,approved,,
reg-0006,84200191003,priya.gonzales@gmail.com,Priya,Gonzales,approved,,
reg-0007,84200191004,arjun@lagosbrewingco.ng,Arjun,Gonzales,approved,2026-11-05T18:02:00+00:00,
reg-0008,84200191004,meera@meeraskitchen.ng,Meera,Gonzales,approved,2026-11-05T18:04:00+00:00,
reg-0009,84200191005,arjun@lagosbrewingco.ng,Arjun,Gonzales,approved,2026-11-08T21:03:00+00:00,
reg-0010,84200191006,arjun@lagosbrewingco.ng,Arjun,Gonzales,approved,2026-11-03T17:00:00+01:00,
reg-0011,84200191006,meera@meeraskitchen.ng,Meera,Gonzales,approved,2026-11-03T17:00:00+01:00,
reg-0012,84200191006,principal@greenfieldacademy.ng,Dr,Chike Okonkwo,approved,2026-11-03T17:00:00+01:00,
reg-0013,84200191007,yemi@lagosbrewingco.ng,Yemi,Adebayo,approved,,
reg-0014,84200191007,orders@weyermann.de,Weyermann,Sales,approved,,
reg-0015,84200191008,arjun@lagosbrewingco.ng,Arjun,Gonzales,approved,,
