id,employee_id,job_title,rate,payment_unit,flsa_status,effective_date
gcomp_emp_hari,emp_hari,Owner,80000.0,Year,Exempt,2015-03-01
gcomp_emp_amit,emp_amit,Foreman,52000.0,Year,Exempt,2016-01-15
gcomp_emp_maya,emp_maya,Office Manager,38000.0,Year,Exempt,2017-06-01
gcomp_emp_miguel,emp_miguel,Technician,20.19,Hour,Nonexempt,2019-03-15
gcomp_emp_deshawn,emp_deshawn,Technician,19.23,Hour,Nonexempt,2020-01-06
gcomp_emp_carlos,emp_carlos,Technician,17.31,Hour,Nonexempt,2026-07-05
comp_bg_000,emp_amit,Foreman,31.24,Hour,Nonexempt,2026-09-01
comp_bg_001,emp_maya,Office Manager,35.53,Hour,Nonexempt,2026-06-01
comp_bg_002,emp_carlos,Painter,26.7,Hour,Nonexempt,2026-07-01
comp_bg_003,emp_miguel,Body Tech,23.56,Hour,Nonexempt,2026-08-01
comp_bg_004,emp_deshawn,Body Tech,27.93,Hour,Nonexempt,2026-05-01
comp_bg_005,emp_hari,Owner,33.42,Hour,Exempt,2026-06-01
comp_bg_006,emp_amit,Foreman,37.33,Hour,Nonexempt,2026-05-01
comp_bg_007,emp_maya,Office Manager,32.99,Hour,Nonexempt,2026-04-01
comp_bg_008,emp_carlos,Painter,29.23,Hour,Nonexempt,2026-07-01
comp_bg_009,emp_miguel,Body Tech,36.59,Hour,Nonexempt,2026-01-01
comp_bg_010,emp_deshawn,Body Tech,30.06,Hour,Nonexempt,2026-07-01
comp_bg_011,emp_hari,Owner,30.72,Hour,Exempt,2026-01-01
comp_bg_012,emp_amit,Foreman,25.27,Hour,Nonexempt,2026-03-01
comp_bg_013,emp_maya,Office Manager,30.25,Hour,Nonexempt,2026-07-01
comp_bg_014,emp_carlos,Painter,31.78,Hour,Nonexempt,2026-05-01
comp_bg_015,emp_miguel,Body Tech,26.9,Hour,Nonexempt,2026-06-01
comp_bg_016,emp_deshawn,Body Tech,36.9,Hour,Nonexempt,2026-09-01
comp_bg_017,emp_hari,Owner,27.86,Hour,Exempt,2026-06-01
comp_bg_018,emp_amit,Foreman,23.43,Hour,Nonexempt,2026-08-01
comp_bg_019,emp_maya,Office Manager,30.91,Hour,Nonexempt,2026-07-01
comp_bg_020,emp_carlos,Painter,37.54,Hour,Nonexempt,2026-06-01
comp_bg_021,emp_miguel,Body Tech,26.11,Hour,Nonexempt,2026-02-01
comp_bg_022,emp_deshawn,Body Tech,28.11,Hour,Nonexempt,2026-08-01
comp_bg_023,emp_hari,Owner,37.82,Hour,Exempt,2026-04-01
comp_bg_024,emp_amit,Foreman,35.98,Hour,Nonexempt,2026-01-01
comp_bg_025,emp_maya,Office Manager,22.56,Hour,Nonexempt,2026-08-01
comp_bg_026,emp_carlos,Painter,29.76,Hour,Nonexempt,2026-09-01
comp_bg_027,emp_miguel,Body Tech,28.09,Hour,Nonexempt,2026-04-01
comp_bg_028,emp_deshawn,Body Tech,28.69,Hour,Nonexempt,2026-04-01
comp_bg_029,emp_hari,Owner,33.27,Hour,Exempt,2026-01-01
comp_bg_030,emp_amit,Foreman,31.61,Hour,Nonexempt,2026-04-01
comp_bg_031,emp_maya,Office Manager,34.72,Hour,Nonexempt,2026-09-01
comp_bg_032,emp_carlos,Painter,29.83,Hour,Nonexempt,2026-03-01
comp_bg_033,emp_miguel,Body Tech,26.93,Hour,Nonexempt,2026-07-01
comp_bg_034,emp_deshawn,Body Tech,28.68,Hour,Nonexempt,2026-03-01
comp_bg_035,emp_hari,Owner,24.48,Hour,Exempt,2026-01-01
comp_bg_036,emp_amit,Foreman,23.91,Hour,Nonexempt,2026-02-01
comp_bg_037,emp_maya,Office Manager,27.79,Hour,Nonexempt,2026-02-01
comp_bg_038,emp_carlos,Painter,27.39,Hour,Nonexempt,2026-05-01
comp_bg_039,emp_miguel,Body Tech,26.24,Hour,Nonexempt,2026-07-01
comp_bg_040,emp_deshawn,Body Tech,37.98,Hour,Nonexempt,2026-09-01
comp_bg_041,emp_hari,Owner,27.24,Hour,Exempt,2026-04-01
comp_bg_042,emp_amit,Foreman,29.1,Hour,Nonexempt,2026-06-01
comp_bg_043,emp_maya,Office Manager,25.05,Hour,Nonexempt,2026-02-01
comp_bg_044,emp_carlos,Painter,31.21,Hour,Nonexempt,2026-09-01
comp_bg_045,emp_miguel,Body Tech,26.47,Hour,Nonexempt,2026-05-01
comp_bg_046,emp_deshawn,Body Tech,33.27,Hour,Nonexempt,2026-08-01
comp_bg_047,emp_hari,Owner,30.44,Hour,Exempt,2026-09-01
comp_bg_048,emp_amit,Foreman,37.36,Hour,Nonexempt,2026-01-01
comp_bg_049,emp_maya,Office Manager,36.14,Hour,Nonexempt,2026-02-01
comp_bg_050,emp_carlos,Painter,36.81,Hour,Nonexempt,2026-02-01
comp_bg_051,emp_miguel,Body Tech,32.94,Hour,Nonexempt,2026-09-01
comp_bg_052,emp_deshawn,Body Tech,24.2,Hour,Nonexempt,2026-09-01
comp_bg_053,emp_hari,Owner,29.72,Hour,Exempt,2026-06-01
comp_bg_054,emp_amit,Foreman,29.16,Hour,Nonexempt,2026-05-01
comp_bg_055,emp_maya,Office Manager,36.17,Hour,Nonexempt,2026-04-01
comp_bg_056,emp_carlos,Painter,34.53,Hour,Nonexempt,2026-05-01
comp_bg_057,emp_miguel,Body Tech,29.76,Hour,Nonexempt,2026-07-01
comp_bg_058,emp_deshawn,Body Tech,31.12,Hour,Nonexempt,2026-09-01
comp_bg_059,emp_hari,Owner,35.89,Hour,Exempt,2026-05-01
comp_bg_060,emp_amit,Foreman,31.69,Hour,Nonexempt,2026-06-01
comp_bg_061,emp_maya,Office Manager,29.59,Hour,Nonexempt,2026-06-01
comp_bg_062,emp_carlos,Painter,24.11,Hour,Nonexempt,2026-08-01
comp_bg_063,emp_miguel,Body Tech,32.2,Hour,Nonexempt,2026-02-01
comp_bg_064,emp_deshawn,Body Tech,36.74,Hour,Nonexempt,2026-05-01
comp_bg_065,emp_hari,Owner,29.58,Hour,Exempt,2026-03-01
comp_bg_066,emp_amit,Foreman,34.78,Hour,Nonexempt,2026-07-01
comp_bg_067,emp_maya,Office Manager,33.06,Hour,Nonexempt,2026-01-01
comp_bg_068,emp_carlos,Painter,35.56,Hour,Nonexempt,2026-03-01
comp_bg_069,emp_miguel,Body Tech,27.03,Hour,Nonexempt,2026-08-01
comp_bg_070,emp_deshawn,Body Tech,37.11,Hour,Nonexempt,2026-06-01
comp_bg_071,emp_hari,Owner,22.34,Hour,Exempt,2026-03-01
comp_bg_072,emp_amit,Foreman,25.94,Hour,Nonexempt,2026-04-01
comp_bg_073,emp_maya,Office Manager,28.52,Hour,Nonexempt,2026-06-01
comp_bg_074,emp_carlos,Painter,27.68,Hour,Nonexempt,2026-07-01
comp_bg_075,emp_miguel,Body Tech,33.22,Hour,Nonexempt,2026-08-01
comp_bg_076,emp_deshawn,Body Tech,32.38,Hour,Nonexempt,2026-04-01
comp_bg_077,emp_hari,Owner,23.49,Hour,Exempt,2026-01-01
comp_bg_078,emp_amit,Foreman,36.68,Hour,Nonexempt,2026-03-01
comp_bg_079,emp_maya,Office Manager,25.18,Hour,Nonexempt,2026-09-01
comp_bg_080,emp_carlos,Painter,26.3,Hour,Nonexempt,2026-08-01
comp_bg_081,emp_miguel,Body Tech,33.13,Hour,Nonexempt,2026-09-01
comp_bg_082,emp_deshawn,Body Tech,23.32,Hour,Nonexempt,2026-01-01
comp_bg_083,emp_hari,Owner,26.07,Hour,Exempt,2026-01-01
comp_bg_084,emp_amit,Foreman,32.95,Hour,Nonexempt,2026-06-01
comp_bg_085,emp_maya,Office Manager,30.29,Hour,Nonexempt,2026-06-01
comp_bg_086,emp_carlos,Painter,37.52,Hour,Nonexempt,2026-06-01
comp_bg_087,emp_miguel,Body Tech,26.57,Hour,Nonexempt,2026-09-01
comp_bg_088,emp_deshawn,Body Tech,29.29,Hour,Nonexempt,2026-09-01
comp_bg_089,emp_hari,Owner,34.18,Hour,Exempt,2026-05-01
comp_bg_090,emp_amit,Foreman,25.28,Hour,Nonexempt,2026-03-01
comp_bg_091,emp_maya,Office Manager,24.34,Hour,Nonexempt,2026-04-01
comp_bg_092,emp_carlos,Painter,37.18,Hour,Nonexempt,2026-07-01
comp_bg_093,emp_miguel,Body Tech,27.96,Hour,Nonexempt,2026-03-01
comp_bg_094,emp_deshawn,Body Tech,25.62,Hour,Nonexempt,2026-03-01
comp_bg_095,emp_hari,Owner,27.64,Hour,Exempt,2026-02-01
comp_bg_096,emp_amit,Foreman,36.19,Hour,Nonexempt,2026-07-01
comp_bg_097,emp_maya,Office Manager,36.31,Hour,Nonexempt,2026-08-01
comp_bg_098,emp_carlos,Painter,23.5,Hour,Nonexempt,2026-01-01
