conversation_id,wa_id,started_at,last_message_at,origin,within_24h_window
CONV-00001,15055551847,2025-11-03T18:34:27Z,2026-07-02T13:06:34Z,user_initiated,False
CONV-00002,19285550147,2025-07-03T16:54:08Z,2026-07-02T13:08:12Z,user_initiated,False
CONV-00003,15055550263,2026-03-02T12:33:49Z,2026-07-02T13:06:47Z,user_initiated,False
CONV-00004,15055550318,2025-08-10T08:21:14Z,2026-07-02T13:06:13Z,user_initiated,False
CONV-00005,15055550489,2025-12-27T00:44:35Z,2026-07-02T13:07:20Z,user_initiated,False
CONV-00006,15055550534,2025-09-18T20:20:47Z,2026-07-02T13:07:38Z,user_initiated,False
CONV-00007,15055550401,2025-08-22T15:52:58Z,2026-07-02T13:06:53Z,user_initiated,False
CONV-00008,15055550356,2025-10-04T09:47:44Z,2026-07-02T13:06:51Z,user_initiated,False
CONV-00009,525555555001,2026-03-08T02:13:02Z,2026-07-02T13:06:13Z,user_initiated,False
CONV-00010,15055550000,2025-07-11T16:45:37Z,2026-07-02T13:07:32Z,user_initiated,False
CONV-00011,15055550000,2026-05-31T05:34:08Z,2026-07-02T13:06:54Z,user_initiated,False
CONV-00012,15055550000,2025-11-22T13:13:52Z,2026-07-02T13:07:23Z,user_initiated,False
CONV-00013,15055550000,2026-02-10T14:36:58Z,2026-07-02T13:07:52Z,user_initiated,False
CONV-00014,15055550000,2026-06-08T08:02:22Z,2026-07-02T13:06:14Z,user_initiated,False
CONV-00015,15055550000,2025-12-17T23:16:50Z,2026-07-02T13:07:44Z,user_initiated,False
CONV-00016,15055550000,2026-03-31T05:58:46Z,2026-07-02T13:08:11Z,user_initiated,False
CONV-00017,15055550000,2026-05-07T18:36:32Z,2026-07-02T13:07:07Z,user_initiated,False
CONV-00018,15055550000,2025-08-13T09:03:03Z,2026-07-02T13:06:27Z,user_initiated,False
CONV-00019,15055550000,2026-06-18T17:10:12Z,2026-07-02T13:06:36Z,user_initiated,False
CONV-00020,15055550000,2025-12-07T10:24:24Z,2026-07-02T13:07:58Z,user_initiated,False
CONV-00021,15055550000,2025-10-16T20:23:51Z,2026-07-02T13:06:32Z,user_initiated,False
CONV-00022,15055550000,2025-09-08T08:12:43Z,2026-07-02T13:06:45Z,user_initiated,False
CONV-00023,15055550000,2026-05-18T23:19:36Z,2026-07-02T13:06:19Z,user_initiated,False
CONV-00024,15055550000,2026-03-12T18:55:20Z,2026-07-02T13:06:37Z,user_initiated,False
CONV-00025,15055550000,2026-04-08T12:44:40Z,2026-07-02T13:06:18Z,user_initiated,False
