id,dealname,pipeline,dealstage,amount,closedate,dealtype,associated_company,associated_contact,createdate,lastmodifieddate
hs_deal_0001,Commission - Lori Haas,commission_pipeline,closedwon,600,2026-07-01,existingbusiness,,hs_c_buy-0096,2025-11-01T09:00:00Z,2026-11-28T10:00:00Z
hs_deal_0002,Commission - Gregory Harris,commission_pipeline,closedwon,720,2026-07-01,newbusiness,,hs_c_buy-0023,2026-02-11T09:00:00Z,2026-11-28T10:00:00Z
hs_deal_0003,Commission - Eileen Smith,commission_pipeline,presentation_scheduled,850,2026-07-01,existingbusiness,,hs_c_buy-0021,2026-03-13T09:00:00Z,2026-11-28T10:00:00Z
hs_deal_0004,Commission - Anthony Rivera,commission_pipeline,presentation_scheduled,850,2026-07-01,newbusiness,,hs_c_buy-0009,2026-06-22T09:00:00Z,2026-11-28T10:00:00Z
hs_deal_0005,Commission - Jason Mcclain,commission_pipeline,in_progress,1200,2026-07-01,existingbusiness,,hs_c_buy-0034,2025-07-17T09:00:00Z,2026-11-28T10:00:00Z
hs_deal_0006,Commission - Lori Haas,commission_pipeline,presentation_scheduled,720,2026-07-01,newbusiness,,hs_c_buy-0096,2026-05-12T09:00:00Z,2026-11-28T10:00:00Z
hs_deal_0007,Commission - Tami Moore,commission_pipeline,qualified_to_buy,400,2026-07-01,newbusiness,,hs_c_buy-0003,2025-12-04T09:00:00Z,2026-11-28T10:00:00Z
hs_deal_0008,Commission - Melody Cook,commission_pipeline,closedwon,400,2026-07-01,existingbusiness,,hs_c_buy-0116,2026-04-18T09:00:00Z,2026-11-28T10:00:00Z
hs_deal_0009,Commission - Stephanie Rasmussen,commission_pipeline,in_progress,780,2026-07-01,existingbusiness,,hs_c_buy-0117,2026-02-11T09:00:00Z,2026-11-28T10:00:00Z
hs_deal_0010,Commission - Marco White,commission_pipeline,presentation_scheduled,780,2026-07-01,existingbusiness,,hs_c_buy-0076,2026-05-24T09:00:00Z,2026-11-28T10:00:00Z
hs_deal_0011,Commission - Gerald Olson,commission_pipeline,in_progress,600,2026-07-01,newbusiness,,hs_c_buy-0112,2025-09-08T09:00:00Z,2026-11-28T10:00:00Z
hs_deal_0012,Commission - Adriana Harris,commission_pipeline,in_progress,720,2026-07-01,newbusiness,,hs_c_buy-0004,2026-02-15T09:00:00Z,2026-11-28T10:00:00Z
hs_deal_0013,Commission - Grant Marquez,commission_pipeline,presentation_scheduled,780,2026-07-01,newbusiness,,hs_c_buy-0078,2025-08-14T09:00:00Z,2026-11-28T10:00:00Z
