id,firstname,lastname,email,phone,jobtitle,company,lifecyclestage,createdate,lastmodifieddate
hs_c_buy-0001,Joseph,Smith,joseph.smith@example.com,,,,customer,2024-06-22T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0002,Tracy,Smith,tracy.smith@example.com,,,,lead,2025-05-31T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0003,Tami,Moore,tami.moore@example.com,,,,lead,2025-02-22T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0004,Adriana,Harris,adriana.harris@example.com,,,,lead,2023-10-29T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0005,Ernest,Guerrero,ernest.guerrero@example.com,,,,customer,2026-06-25T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0006,Seth,Escobar,seth.escobar@example.com,,,,lead,2024-11-16T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0007,Monique,Hamilton,monique.hamilton@example.com,,,,customer,2025-08-13T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0008,Andrew,Brady,andrew.brady@example.com,,,,opportunity,2026-05-07T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0009,Anthony,Rivera,anthony.rivera@example.com,,,,opportunity,2024-12-16T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0010,Peter,Chapman,peter.chapman@example.com,,,,customer,2026-02-25T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0011,Diana,Collins,diana.collins@example.com,,,,customer,2024-03-20T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0012,Dana,Smith,dana.smith@example.com,,,,opportunity,2024-11-20T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0013,Karen,Duke,karen.duke@example.com,,,,lead,2025-03-29T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0014,Brandon,Richards,brandon.richards@example.com,,,,opportunity,2025-12-21T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0015,Raymond,Merritt,raymond.merritt@example.com,,,,customer,2024-08-25T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0016,Gloria,Sawyer,gloria.sawyer@example.com,,,,customer,2023-11-20T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0017,Christopher,Smith,christopher.smith@example.com,,,,customer,2023-11-28T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0018,Jill,Perry,jill.perry@example.com,,,,customer,2023-11-01T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0019,Joseph,Jordan,joseph.jordan@example.com,,,,customer,2024-07-25T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0020,Jennifer,Davila,jennifer.davila@example.com,,,,lead,2025-08-23T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0021,Eileen,Smith,eileen.smith@example.com,,,,customer,2024-11-04T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0022,Nathan,Simmons,nathan.simmons@example.com,,,,customer,2024-07-21T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0023,Gregory,Harris,gregory.harris@example.com,,,,lead,2023-07-07T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0024,Amanda,Smith,amanda.smith@example.com,,,,customer,2024-01-22T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0025,Christopher,Ellison,christopher.ellison@example.com,,,,customer,2026-04-10T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0026,Karen,Smith,karen.smith@example.com,,,,lead,2024-06-05T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0027,Chad,Miller,chad.miller@example.com,,,,customer,2026-05-31T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0028,Kathleen,Norris,kathleen.norris@example.com,,,,customer,2026-06-15T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0029,Kelly,Campbell,kelly.campbell@example.com,,,,customer,2023-10-25T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0030,Sandra,Roberts,sandra.roberts@example.com,,,,lead,2025-06-23T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0031,Michael,Hogan,michael.hogan@example.com,,,,opportunity,2025-08-22T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0032,Kara,Shannon MD,kara.shannon.md@example.com,,,,customer,2026-02-01T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0033,Louis,Chavez,louis.chavez@example.com,,,,customer,2025-02-08T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0034,Jason,Mcclain,jason.mcclain@example.com,,,,customer,2024-06-25T09:00:00Z,2026-11-28T10:00:00Z
hs_c_buy-0035,Steven,Delgado DDS,steven.delgado.dds@example.com,,,,customer,2025-02-13T09:00:00Z,2026-11-28T10:00:00Z
