id,name,domain,industry,city,state,numberofemployees,annualrevenue,createdate
hs_co_0001,Turquoise Trail Gallery Santa Fe,turquoisetrail.example.com,Gallery,Santa Fe,NM,3,187681.77,2023-06-15T09:00:00Z
hs_co_0002,Red Earth Gallery Sedona,redearth.example.com,Gallery,Sedona,AZ,11,620571.52,2023-06-15T09:00:00Z
hs_co_0003,Rio Grande Jewelry Supply,riogrande.example.com,Supplier,Albuquerque,NM,8,928177.93,2023-06-15T09:00:00Z
hs_co_0004,Kee Wholesale Santa Fe,keewholesale.example.com,Supplier,Santa Fe,NM,6,246119.43,2023-06-15T09:00:00Z
hs_co_0005,Otteson Bros,otteson.example.com,Supplier,Tonopah,NV,10,904234.22,2023-06-15T09:00:00Z
hs_co_0006,Beadwrights,beadwrights.example.com,Supplier,Santa Fe,NM,11,279617.71,2023-06-15T09:00:00Z
hs_co_0007,Gallup Arts and Crafts Fair Committee,gallupfair.example.com,Event,Gallup,NM,2,435292.4,2023-06-15T09:00:00Z
hs_co_0008,Robinson-Diaz Southwest,garcia.com,Supplier,West Sandrachester,MA,24,410325.04,2025-06-01T09:00:00Z
hs_co_0009,"Reid, Wilson and Lawrence Southwest",cabrera-little.info,Craft Fair,West Julieton,VA,35,1805521.56,2023-09-26T09:00:00Z
hs_co_0010,Hines-Wong Southwest,roberts-gilbert.biz,Craft Fair,West Stephanie,HI,26,1267886.54,2025-09-21T09:00:00Z
hs_co_0011,Griffin-Marshall Gallery,blake.com,Craft Fair,Youngshire,MN,2,1992442.71,2026-04-01T09:00:00Z
hs_co_0012,Nguyen PLC Gallery,rice.org,Wholesale,Lake Madisonville,MT,23,1512264.11,2025-12-20T09:00:00Z
hs_co_0013,Vasquez-Davis Trading Co.,sanders-andrews.org,Craft Fair,Port Patriciashire,MN,9,1382929.44,2025-06-02T09:00:00Z
hs_co_0014,Esparza Ltd Gallery,gibson.com,Wholesale,East Breannamouth,DC,23,1820010.42,2025-07-22T09:00:00Z
hs_co_0015,Craig PLC Southwest,williams-moses.com,Supplier,North Stephanie,MD,38,1735837.89,2023-12-22T09:00:00Z
hs_co_0016,Ford LLC Gallery,rasmussen.com,Gallery,Nguyenchester,AS,24,1362034.02,2024-12-25T09:00:00Z
hs_co_0017,Davis-Lane Southwest,kim.info,Gallery,East Williamchester,GU,30,1904170.09,2025-02-22T09:00:00Z
hs_co_0018,Henderson-Foster Gallery,mason.org,Supplier,North Jacob,AR,1,309385.23,2025-07-24T09:00:00Z
hs_co_0019,"Stewart, Gaines and Lee Southwest",gonzalez.com,Craft Fair,Port Mariohaven,AZ,40,1321825.31,2025-08-08T09:00:00Z
hs_co_0020,Hammond Group Southwest,cox.biz,Wholesale,Ericksonland,CA,31,421579.07,2023-12-23T09:00:00Z
hs_co_0021,Johnson and Sons Southwest,martinez.com,Supplier,Rogerside,VA,23,1222598.59,2024-03-30T09:00:00Z
hs_co_0022,"Hunt, Merritt and Young Trading Co.",aguilar-shelton.org,Gallery,Lake Jesus,MH,2,296815.91,2023-11-03T09:00:00Z
