id,thread_id,to_addr,cc_addr,subject,body,updated_at
draft-001,thr-300,slindstrom@puget-sound-sci.edu,jonas@orbit-labs.com,Re: Comments on your Chapter 3 draft,"Dr. Lindström,\n\nAttached is the full Chapter 3 draft (methods + results + a first pass at the discussion). I incorporated the Menge & Sutherland framing, standardized the site codes, and added the 2025 baseline to the warming-anomaly figure as a dashed line.\n\nA couple of open questions I'd love your read on before the committee sees it:\n- whether to fold Site 7 (Salt Creek) into the outer-coast comparison or keep it separate given the swell exposure\n- how much of the QA/QC workflow belongs in the methods vs. an appendix\n\nThank you - see you Friday.\n\nAlex",2025-10-07T23:40:00Z
draft-002,thr-313,elena.marsh@salishseares.org,jonas@orbit-labs.com,Inquiry - graduate research fellowship eligibility,"Dear Dr. Marsh,\n\nI'm a second-year M.S. student in marine biology at the Puget Sound Institute of Science, working with Dr. Sarah Lindström on the effects of ocean warming on intertidal invertebrate communities in Puget Sound. We met briefly at the Salish Sea Research Cooperative field day last spring.\n\nI'm exploring fellowship support for the analysis-and-writing phase of my thesis and the early stages of a follow-on project. Would you have a few minutes to point me toward whether the Cooperative's graduate fellowship is open to students at my stage, and the typical timeline?\n\nThank you for your time.\n\nBest,\nAlex Santos",2025-10-06T18:05:00Z
draft-004,thr-303,slindstrom@puget-sound-sci.edu,jonas@orbit-labs.com,Re: Comments on your Chapter 3 draft,"Dr. Lindström,\n\nAttached is the full Chapter 3 draft (methods + results + a first pass at the discussion). I incorporated the Menge & Sutherland framing, standardized the site codes, and added the 2025 baseline to the warming-anomaly figure as a dashed line.\n\nA couple of open questions I'd love your read on before the committee sees it:\n- whether to fold Site 7 (Salt Creek) into the outer-coast comparison or keep it separate given the swell exposure\n- how much of the QA/QC workflow belongs in the methods vs. an appendix\n\nThank you - see you Friday.\n\nAlex",2025-10-04T23:40:00Z
draft-006,thr-317,elena.marsh@salishseares.org,jonas@orbit-labs.com,Inquiry - graduate research fellowship eligibility,"Dear Dr. Marsh,\n\nI'm a second-year M.S. student in marine biology at the Puget Sound Institute of Science, working with Dr. Sarah Lindström on the effects of ocean warming on intertidal invertebrate communities in Puget Sound. We met briefly at the Salish Sea Research Cooperative field day last spring.\n\nI'm exploring fellowship support for the analysis-and-writing phase of my thesis and the early stages of a follow-on project. Would you have a few minutes to point me toward whether the Cooperative's graduate fellowship is open to students at my stage, and the typical timeline?\n\nThank you for your time.\n\nBest,\nAlex Santos",2025-11-05T18:05:00Z
draft-008,thr-319,elena.marsh@salishseares.org,jonas@orbit-labs.com,Inquiry - graduate research fellowship eligibility,"Dear Dr. Marsh,\n\nI'm a second-year M.S. student in marine biology at the Puget Sound Institute of Science, working with Dr. Sarah Lindström on the effects of ocean warming on intertidal invertebrate communities in Puget Sound. We met briefly at the Salish Sea Research Cooperative field day last spring.\n\nI'm exploring fellowship support for the analysis-and-writing phase of my thesis and the early stages of a follow-on project. Would you have a few minutes to point me toward whether the Cooperative's graduate fellowship is open to students at my stage, and the typical timeline?\n\nThank you for your time.\n\nBest,\nAlex Santos",2025-10-18T23:59:59Z
draft-010,thr-321,elena.marsh@salishseares.org,jonas@orbit-labs.com,Inquiry - graduate research fellowship eligibility,"Dear Dr. Marsh,\n\nI'm a second-year M.S. student in marine biology at the Puget Sound Institute of Science, working with Dr. Sarah Lindström on the effects of ocean warming on intertidal invertebrate communities in Puget Sound. We met briefly at the Salish Sea Research Cooperative field day last spring.\n\nI'm exploring fellowship support for the analysis-and-writing phase of my thesis and the early stages of a follow-on project. Would you have a few minutes to point me toward whether the Cooperative's graduate fellowship is open to students at my stage, and the typical timeline?\n\nThank you for your time.\n\nBest,\nAlex Santos",2025-10-03T18:05:00Z
draft-012,thr-323,elena.marsh@salishseares.org,jonas@orbit-labs.com,Inquiry - graduate research fellowship eligibility,"Dear Dr. Marsh,\n\nI'm a second-year M.S. student in marine biology at the Puget Sound Institute of Science, working with Dr. Sarah Lindström on the effects of ocean warming on intertidal invertebrate communities in Puget Sound. We met briefly at the Salish Sea Research Cooperative field day last spring.\n\nI'm exploring fellowship support for the analysis-and-writing phase of my thesis and the early stages of a follow-on project. Would you have a few minutes to point me toward whether the Cooperative's graduate fellowship is open to students at my stage, and the typical timeline?\n\nThank you for your time.\n\nBest,\nAlex Santos",2025-10-20T18:05:00Z
draft-014,thr-325,elena.marsh@salishseares.org,jonas@orbit-labs.com,Inquiry - graduate research fellowship eligibility,"Dear Dr. Marsh,\n\nI'm a second-year M.S. student in marine biology at the Puget Sound Institute of Science, working with Dr. Sarah Lindström on the effects of ocean warming on intertidal invertebrate communities in Puget Sound. We met briefly at the Salish Sea Research Cooperative field day last spring.\n\nI'm exploring fellowship support for the analysis-and-writing phase of my thesis and the early stages of a follow-on project. Would you have a few minutes to point me toward whether the Cooperative's graduate fellowship is open to students at my stage, and the typical timeline?\n\nThank you for your time.\n\nBest,\nAlex Santos",2025-10-21T23:59:59Z
draft-016,thr-327,elena.marsh@salishseares.org,jonas@orbit-labs.com,Inquiry - graduate research fellowship eligibility,"Dear Dr. Marsh,\n\nI'm a second-year M.S. student in marine biology at the Puget Sound Institute of Science, working with Dr. Sarah Lindström on the effects of ocean warming on intertidal invertebrate communities in Puget Sound. We met briefly at the Salish Sea Research Cooperative field day last spring.\n\nI'm exploring fellowship support for the analysis-and-writing phase of my thesis and the early stages of a follow-on project. Would you have a few minutes to point me toward whether the Cooperative's graduate fellowship is open to students at my stage, and the typical timeline?\n\nThank you for your time.\n\nBest,\nAlex Santos",2025-12-02T18:05:00Z
draft-018,thr-329,elena.marsh@salishseares.org,jonas@orbit-labs.com,Inquiry - graduate research fellowship eligibility,"Dear Dr. Marsh,\n\nI'm a second-year M.S. student in marine biology at the Puget Sound Institute of Science, working with Dr. Sarah Lindström on the effects of ocean warming on intertidal invertebrate communities in Puget Sound. We met briefly at the Salish Sea Research Cooperative field day last spring.\n\nI'm exploring fellowship support for the analysis-and-writing phase of my thesis and the early stages of a follow-on project. Would you have a few minutes to point me toward whether the Cooperative's graduate fellowship is open to students at my stage, and the typical timeline?\n\nThank you for your time.\n\nBest,\nAlex Santos",2025-10-19T23:59:59Z
