id,summary,description,time_zone,access_role,primary,color_id
cal_primary,Ralph Delaney,Primary court and firm calendar,America/Chicago,owner,true,1
cal_family,Family,Family and household scheduling,America/Chicago,owner,false,5
cal_102,Boudreaux Calendar,Deadlines and hearings for Boudreaux,America/Chicago,owner,false,3
cal_103,Arceneaux Calendar,Deadlines and hearings for Arceneaux,America/Chicago,owner,false,4
cal_104,Fontaine Calendar,Deadlines and hearings for Fontaine,America/Chicago,owner,false,5
cal_105,Guidry Calendar,Deadlines and hearings for Guidry,America/Chicago,owner,false,6
cal_106,Hebert Calendar,Deadlines and hearings for Hebert,America/Chicago,owner,false,7
cal_107,Landry Calendar,Deadlines and hearings for Landry,America/Chicago,owner,false,8
cal_108,Maddox Calendar,Deadlines and hearings for Maddox,America/Chicago,owner,false,9
cal_109,Naquin Calendar,Deadlines and hearings for Naquin,America/Chicago,owner,false,10
cal_110,Ortega Calendar,Deadlines and hearings for Ortega,America/Chicago,owner,false,11
cal_111,Prejean Calendar,Deadlines and hearings for Prejean,America/Chicago,owner,false,1
cal_112,Robicheaux Calendar,Deadlines and hearings for Robicheaux,America/Chicago,owner,false,2
cal_113,Savoy Calendar,Deadlines and hearings for Savoy,America/Chicago,owner,false,3
cal_114,Trahan Calendar,Deadlines and hearings for Trahan,America/Chicago,owner,false,4
cal_115,Vidrine Calendar,Deadlines and hearings for Vidrine,America/Chicago,owner,false,5
cal_116,Whitfield Calendar,Deadlines and hearings for Whitfield,America/Chicago,owner,false,6
cal_117,Aucoin Calendar,Deadlines and hearings for Aucoin,America/Chicago,owner,false,7
cal_118,Babineaux Calendar,Deadlines and hearings for Babineaux,America/Chicago,owner,false,8
cal_119,Comeaux Calendar,Deadlines and hearings for Comeaux,America/Chicago,owner,false,9
cal_120,Thompson Calendar,Deadlines and hearings for Thompson,America/Chicago,owner,false,10
cal_121,Delacroix Calendar,Deadlines and hearings for Delacroix,America/Chicago,owner,false,11
