Session No.	Date	Location	Players	Jason Score	Player 2	P2 Score	Player 3	P3 Score	Player 4	P4 Score	Winner	Notes
1	Jan 11, 2025	The Corner Pub	Jason Kim, Ray Delgado, Mike Osei, Frankie Perez	187	Ray Delgado	142	Mike Osei	198	Frankie Perez	163	Mike Osei	Close game; Mike just beat Jason on the last round
2	Jan 25, 2025	The Corner Pub	Jason Kim, Ray Delgado, Mike Osei, Frankie Perez	221	Ray Delgado	175	Mike Osei	204	Frankie Perez	189	Jason Kim	Redemption. Ryan would have lost too.
3	Feb 8, 2025	The Corner Pub	Jason Kim, Ray Delgado, Ryan Montoya, Mike Osei	198	Ray Delgado	160	Ryan Montoya	177	Mike Osei	214	Mike Osei	Mike on a run. Jason 0-2 vs. Mike this month.
4	Feb 22, 2025	The Corner Pub	Jason Kim, Ray Delgado, Ryan Montoya, Frankie Perez	244	Ray Delgado	182	Ryan Montoya	207	Frankie Perez	191	Jason Kim	First clean win of 2025. Ryan tried but not quite.
5	Mar 8, 2025	The Corner Pub	Jason Kim, Ray Delgado, Mike Osei, Frankie Perez	199	Ray Delgado	223	Mike Osei	181	Frankie Perez	204	Ray Delgado	Ray's first win of the year. He was obnoxious about it.
6	Mar 22, 2025	The Corner Pub	Jason Kim, Ryan Montoya, Mike Osei, Frankie Perez	211	Ryan Montoya	198	Mike Osei	177	Frankie Perez	202	Jason Kim	Three-way tie going into the last hand. Jason held.
7	Apr 5, 2025	The Corner Pub	Jason Kim, Ray Delgado, Ryan Montoya, Frankie Perez	167	Ray Delgado	189	Ryan Montoya	204	Frankie Perez	177	Ryan Montoya	Ryan peaking in April as usual.
8	Apr 19, 2025	The Corner Pub	Jason Kim, Ray Delgado, Mike Osei, Frankie Perez	188	Ray Delgado	170	Mike Osei	195	Frankie Perez	160	Jason Kim	Frankie started strong but faded. Jason steady.
9	May 10, 2025	The Corner Pub	Jason Kim, Ray Delgado, Ryan Montoya, Mike Osei	222	Ray Delgado	195	Ryan Montoya	211	Mike Osei	188	Jason Kim	
10	May 24, 2025	The Corner Pub	Jason Kim, Ray Delgado, Ryan Montoya, Frankie Perez	201	Ray Delgado	188	Ryan Montoya	214	Frankie Perez	193	Ryan Montoya	Ryan and Jason trading wins. Beer tab escalating.
11	Jun 7, 2025	The Corner Pub	Jason Kim, Ray Delgado, Mike Osei, Frankie Perez	178	Ray Delgado	192	Mike Osei	204	Frankie Perez	195	Mike Osei	Mike back. Jason had an off night.
12	Jun 21, 2025	The Corner Pub	Jason Kim, Ray Delgado, Ryan Montoya, Mike Osei	214	Ray Delgado	199	Ryan Montoya	188	Mike Osei	177	Jason Kim	
13	Jul 12, 2025	The Corner Pub	Jason Kim, Ray Delgado, Ryan Montoya, Frankie Perez	197	Ray Delgado	181	Ryan Montoya	205	Frankie Perez	188	Ryan Montoya	Summer session; Bud Light flow.
14	Jul 26, 2025	The Corner Pub	Jason Kim, Ray Delgado, Mike Osei, Frankie Perez	188	Ray Delgado	175	Mike Osei	192	Frankie Perez	167	Jason Kim	
15	Aug 9, 2025	The Corner Pub	Jason Kim, Ray Delgado, Ryan Montoya, Mike Osei	204	Ray Delgado	188	Ryan Montoya	215	Mike Osei	197	Jason Kim	Jason and Ryan neck and neck most of the game.
16	Sep 6, 2025	The Corner Pub	Jason Kim, Ray Delgado, Ryan Montoya, Frankie Perez	211	Ray Delgado	177	Ryan Montoya	199	Frankie Perez	183	Jason Kim	First game after the fishing trip.
17	Sep 20, 2025	The Corner Pub	Jason Kim, Ray Delgado, Mike Osei, Frankie Perez	188	Ray Delgado	201	Mike Osei	193	Frankie Perez	179	Mike Osei	
18	Oct 4, 2025	The Corner Pub	Jason Kim, Ray Delgado, Ryan Montoya, Mike Osei	199	Ray Delgado	184	Ryan Montoya	207	Mike Osei	188	Jason Kim	Ohio State game day. Everyone wearing scarlet.
19	Oct 18, 2025	The Corner Pub	Jason Kim, Ray Delgado, Ryan Montoya, Frankie Perez	218	Ray Delgado	192	Ryan Montoya	204	Frankie Perez	187	Jason Kim	
20	Nov 1, 2025	The Corner Pub	Jason Kim, Ray Delgado, Mike Osei, Frankie Perez	193	Ray Delgado	181	Mike Osei	202	Frankie Perez	188	Jason Kim	
21	Nov 15, 2025	The Corner Pub	Jason Kim, Ray Delgado, Ryan Montoya, Mike Osei	177	Ray Delgado	204	Ryan Montoya	188	Mike Osei	195	Ray Delgado	Ray's second win of 2025. Not subtle about it.
22	Dec 6, 2025	The Corner Pub	Jason Kim, Ray Delgado, Ryan Montoya, Frankie Perez	208	Ray Delgado	187	Ryan Montoya	195	Frankie Perez	179	Jason Kim	
23	Dec 20, 2025	The Corner Pub	Jason Kim, Ray Delgado, Mike Osei, Frankie Perez	214	Ray Delgado	198	Mike Osei	188	Frankie Perez	203	Jason Kim	Year-end session. Jason wins to close 2025.
24	Jan 10, 2026	The Corner Pub	Jason Kim, Ray Delgado, Ryan Montoya, Mike Osei	222	Ray Delgado	199	Ryan Montoya	211	Mike Osei	188	Jason Kim	New year opener. Jason three wins in a row.
25	Jan 24, 2026	The Corner Pub	Jason Kim, Ray Delgado, Ryan Montoya, Frankie Perez	191	Ray Delgado	204	Ryan Montoya	198	Frankie Perez	187	Ryan Montoya	Ryan breaks the streak. Gloated. Bought a round.
26	Feb 7, 2026	The Corner Pub	Jason Kim, Ray Delgado, Mike Osei, Frankie Perez	218	Ray Delgado	196	Mike Osei	207	Frankie Perez	189	Jason Kim	
NOTE	Player contact information on file in t8.tsv.											
