order_id	order_date	status	customer_name	customer_email	product	sku	qty	item_total	shipping	tax	order_total	payment_method	shipping_city
1042	2025-11-08	completed	Kathleen Walsh	kathleen.walsh.mylapore@gmail.com	Hard Shoe Heel Tips (pair)	CMA-ACC-HT	2	1200	60	36	1296	upi	Chennai
1043	2025-11-12	completed	R. Krishnan	r.krishnan88@gmail.com	Beginner Soft Shoe (ghillies)	CMA-FW-SS-32	1	2400	80	72	2552	card	Chennai
1044	2025-11-19	completed	Guest	priya.menon.92@gmail.com	Ceili Mor Practice Tee	CMA-AP-TEE-M	2	1100	80	33	1213	upi	Chennai
1045	2025-11-23	completed	L. Sundaram	sundaram.fam@gmail.com	Spring Recital Ticket (Adult)	CMA-TKT-REC-A	4	2000	0	100	2100	card	Chennai
1046	2025-12-01	completed	P. Carter	carter.home@gmail.com	Spring Recital Ticket (Child)	CMA-TKT-REC-C	2	700	0	35	735	upi	Chennai
1047	2025-12-04	completed	Fiona Gallagher	fiona.gallagher.dance@gmail.com	Margaret O'Brien Lineage, Booklet	CMA-PUB-LIN	1	650	60	0	710	upi	Chennai
1048	2025-12-09	completed	G. Menon	menon.g@gmail.com	Hard Shoe (Jig shoe) size 4	CMA-FW-HS-04	1	4200	100	126	4426	card	Chennai
1049	2025-12-15	completed	Guest	arun.t.chennai@gmail.com	Ceili Mor Tote, Celtic Knot	CMA-AP-TOTE	3	900	80	27	1007	upi	Chennai
1050	2025-12-21	completed	V. Chandran	chandran.v@gmail.com	Intermediate Soft Shoe (ghillies)	CMA-FW-SS-36	1	2600	80	78	2758	card	Chennai
1051	2026-01-03	completed	S. Raghavan	raghavan.s@gmail.com	Practice Skirt, Black	CMA-AP-SK-S	1	1500	60	45	1605	upi	Chennai
1052	2026-01-07	completed	Kathleen Walsh	kathleen.walsh.mylapore@gmail.com	Solo Costume Deposit, E. Walsh	CMA-CST-SOLO	1	15000	0	450	15450	card	Chennai
1053	2026-01-11	processing	T. Balaji	balaji.t@gmail.com	Hard Shoe Heel Tips (pair)	CMA-ACC-HT	1	600	60	18	678	upi	Chennai
1054	2026-01-15	completed	Guest	leela.r.adyar@gmail.com	Ceili Mor Practice Tee	CMA-AP-TEE-S	1	550	80	17	647	upi	Chennai
1055	2026-01-18	refunded	M. Iyer	iyer.m@gmail.com	Beginner Soft Shoe (ghillies)	CMA-FW-SS-30	1	2400	80	72	0	card	Chennai
