EmployeeID	Name	Location	Role	StartDate	Status	PayType
GPN-0001	Amanda Keller	Main Street	Manager	2019-08-12	Active	Salary
GPN-0002	Brittany Schafer	Orchard Plaza	Manager	2021-03-01	Active	Salary
GPN-0003	Ryan Novak	Wheaton	Manager	2023-05-22	Active	Salary
GPN-0004	Renee Foster	Main Street	Front Desk	2020-06-15	Active	Hourly
GPN-0005	Gabriela Ortiz	Orchard Plaza	Front Desk	2022-09-19	Active	Hourly
GPN-0006	Dorothy Mitchell	Main Street	Front Desk (Part-Time)	2007-09-04	Active	Hourly
GPN-0007	Linda Park	Main Street	Nail Technician	2014-01-11	Active	Commission
GPN-0008	Vivian Tran	Main Street	Nail Technician	2015-02-12	Active	Commission
GPN-0009	Olivia Reyes	Main Street	Nail Technician	2016-03-13	Active	Commission
GPN-0010	Hannah Cole	Main Street	Nail Technician	2017-04-14	Active	Commission
GPN-0011	Priya Nair	Main Street	Nail Technician	2018-05-15	Active	Commission
GPN-0012	Jasmine Wu	Main Street	Nail Technician	2014-06-16	Active	Commission
GPN-0013	Sofia Marino	Main Street	Nail Technician	2015-07-17	Active	Commission
GPN-0014	Grace Kim	Main Street	Nail Technician	2016-08-18	Active	Commission
GPN-0015	Maria Lopez	Main Street	Nail Technician	2017-01-11	Active	Commission
GPN-0016	Anh Pham	Main Street	Nail Technician	2018-02-12	Active	Commission
GPN-0017	Tessa Vaughn	Main Street	Nail Technician	2014-03-13	Active	Commission
GPN-0018	Bianca Ruiz	Orchard Plaza	Nail Technician	2017-01-11	Active	Commission
GPN-0019	Chloe Bennett	Orchard Plaza	Nail Technician	2018-02-12	Active	Commission
GPN-0020	Mai Nguyen	Orchard Plaza	Nail Technician	2019-03-13	Active	Commission
GPN-0021	Destiny Ford	Orchard Plaza	Nail Technician	2020-04-14	Active	Commission
GPN-0022	Rosa Alvarez	Orchard Plaza	Nail Technician	2021-05-15	Active	Commission
GPN-0023	Kayla Brooks	Orchard Plaza	Nail Technician	2017-06-16	Active	Commission
GPN-0024	Lily Chen	Orchard Plaza	Nail Technician	2018-07-17	Active	Commission
GPN-0025	Nadia Hassan	Orchard Plaza	Nail Technician	2019-08-18	Active	Commission
GPN-0026	Erin Walsh	Orchard Plaza	Nail Technician	2020-01-11	Active	Commission
GPN-0027	Brooke Daly	Wheaton	Nail Technician	2023-01-11	Active	Commission
GPN-0028	Camila Santos	Wheaton	Nail Technician	2024-02-12	Active	Commission
GPN-0029	Hailey Stone	Wheaton	Nail Technician	2025-03-13	Active	Commission
GPN-0030	Ivy Tran	Wheaton	Nail Technician	2022-04-14	Active	Commission
GPN-0031	Jenna Cross	Wheaton	Nail Technician	2021-05-15	Active	Commission
GPN-0032	Lena Petrov	Wheaton	Nail Technician	2023-06-16	Active	Commission
GPN-0033	Mira Shah	Wheaton	Nail Technician	2024-07-17	Active	Commission
GPN-0034	Tara Quinn	Wheaton	Nail Technician	2025-08-18	Active	Commission
