id,firstname,lastname,email,phone,jobtitle,company,lifecyclestage,createdate,lastmodifieddate
hs_0,Megan,Ortiz,megan.ortiz@gmail.com,,buyer,,customer,2026-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00
hs_1,Priya,Shah,priya.shah@outlook.com,,buyer,,customer,2026-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00
hs_2,Caleb,Duncan,caleb.duncan@gmail.com,,buyer,,customer,2026-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00
hs_3,Ruth,Alvarez,ruth.alvarez@yahoo.com,,buyer,,customer,2026-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00
hs_4,Derek,Chan,derek.chan@gmail.com,,buyer,,customer,2026-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00
hs_5,Nina,Coleman,nina.coleman@gmail.com,,buyer,,customer,2026-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00
hs_6,Aaron,Webb,aaron.webb@proton.me,,buyer,,customer,2026-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00
hs_7,Sofia,Reyes,sofia.reyes@gmail.com,,buyer,,customer,2026-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00
hs_2008,Finn,Long,finn.long8@hey.com,+19185551747,Manager,Cedar LLC,lead,2026-04-12T09:24:00-05:00,2026-07-28T12:48:00-05:00
hs_2009,Jack,Long,jack.long9@outlook.com,+19185559573,Owner,Delta Group,opportunity,2026-08-25T16:48:00-05:00,2026-06-02T17:05:00-05:00
hs_2010,Bruno,Hale,bruno.hale10@proton.me,+19185556990,Analyst,Cedar LLC,subscriber,2026-09-22T16:06:00-05:00,2026-03-18T08:36:00-05:00
hs_2011,Ben,Vance,ben.vance11@hey.com,+19185552553,Buyer,Echo Studio,subscriber,2026-08-02T03:45:00-05:00,2026-05-13T12:36:00-05:00
hs_2012,Opal,Adams,opal.adams12@proton.me,+19185557019,Buyer,Acme Co,customer,2026-08-16T11:02:00-05:00,2026-03-19T03:55:00-05:00
hs_2013,Uma,Ellis,uma.ellis13@icloud.com,+19185553869,Analyst,Echo Studio,subscriber,2026-01-19T00:10:00-05:00,2026-01-17T10:07:00-05:00
hs_2014,Ella,Ober,ella.ober14@yahoo.com,+19185551348,Owner,Blue Ridge,lead,2026-07-11T19:47:00-05:00,2026-07-26T11:23:00-05:00
hs_2015,Finn,Salt,finn.salt15@proton.me,+19185551399,Coordinator,Delta Group,subscriber,2026-09-11T13:29:00-05:00,2026-01-06T16:44:00-05:00
hs_2016,Cole,Doss,cole.doss16@icloud.com,+19185557006,Buyer,Blue Ridge,opportunity,2026-08-02T16:21:00-05:00,2026-04-04T06:36:00-05:00
hs_2017,Dan,Pratt,dan.pratt17@proton.me,+19185556186,Manager,Blue Ridge,customer,2026-01-11T12:19:00-05:00,2026-02-25T01:57:00-05:00
hs_2018,Uma,Cann,uma.cann18@proton.me,+19185551516,Buyer,Acme Co,opportunity,2026-04-12T09:56:00-05:00,2026-01-23T13:37:00-05:00
hs_2019,Yara,York,yara.york19@icloud.com,+19185552461,Manager,Acme Co,lead,2026-01-01T05:52:00-05:00,2026-02-04T13:06:00-05:00
hs_2020,Sam,Nash,sam.nash20@hey.com,+19185559742,Analyst,Echo Studio,subscriber,2026-04-02T15:37:00-05:00,2026-09-19T07:45:00-05:00
hs_2021,Owen,Jones,owen.jones21@gmail.com,+19185557442,Owner,Blue Ridge,lead,2026-02-21T16:51:00-05:00,2026-02-17T13:53:00-05:00
hs_2022,Willa,Pratt,willa.pratt22@yahoo.com,+19185552167,Manager,Delta Group,subscriber,2026-08-20T06:58:00-05:00,2026-07-13T02:54:00-05:00
hs_2023,Milo,Long,milo.long23@proton.me,+19185556808,Owner,Cedar LLC,lead,2026-03-23T20:01:00-05:00,2026-07-20T13:17:00-05:00
hs_2024,Isla,York,isla.york24@hey.com,+19185559763,Owner,Cedar LLC,customer,2026-04-28T23:01:00-05:00,2026-06-01T16:37:00-05:00
hs_2025,Tessa,Ames,tessa.ames25@gmail.com,+19185552574,Coordinator,Blue Ridge,lead,2026-04-19T18:53:00-05:00,2026-05-12T06:33:00-05:00
hs_2026,Kate,Jones,kate.jones26@hey.com,+19185558084,Manager,Delta Group,opportunity,2026-07-01T15:55:00-05:00,2026-04-20T18:30:00-05:00
hs_2027,Milo,Jones,milo.jones27@proton.me,+19185555520,Coordinator,Delta Group,customer,2026-07-21T11:57:00-05:00,2026-01-19T09:56:00-05:00
hs_2028,Cole,Adams,cole.adams28@icloud.com,+19185558053,Analyst,Cedar LLC,customer,2026-03-08T22:55:00-05:00,2026-05-12T04:36:00-05:00
hs_2029,Tessa,Boone,tessa.boone29@icloud.com,+19185555471,Buyer,Blue Ridge,opportunity,2026-02-26T03:40:00-05:00,2026-06-13T21:50:00-05:00
hs_2030,Kate,Tate,kate.tate30@proton.me,+19185555067,Manager,Echo Studio,lead,2026-04-06T02:00:00-05:00,2026-05-24T13:50:00-05:00
hs_2031,Tessa,Cann,tessa.cann31@hey.com,+19185557506,Manager,Echo Studio,lead,2026-03-05T05:55:00-05:00,2026-03-24T16:37:00-05:00
hs_2032,Piper,Salt,piper.salt32@proton.me,+19185552889,Owner,Acme Co,customer,2026-09-15T21:26:00-05:00,2026-01-01T23:16:00-05:00
hs_2033,Cara,Boone,cara.boone33@proton.me,+19185557114,Buyer,Echo Studio,subscriber,2026-04-14T14:17:00-05:00,2026-03-07T11:15:00-05:00
hs_2034,Dean,Kane,dean.kane34@icloud.com,+19185551054,Coordinator,Acme Co,opportunity,2026-01-26T07:31:00-05:00,2026-01-18T01:06:00-05:00
hs_2035,Cyrus,Ford,cyrus.ford35@outlook.com,+19185552546,Analyst,Blue Ridge,opportunity,2026-09-15T12:42:00-05:00,2026-02-13T22:34:00-05:00
hs_2036,Sam,Diaz,sam.diaz36@gmail.com,+19185557582,Manager,Acme Co,customer,2026-05-22T14:29:00-05:00,2026-05-26T23:31:00-05:00
hs_2037,Ruth,Diaz,ruth.diaz37@outlook.com,+19185554210,Owner,Blue Ridge,lead,2026-07-01T12:03:00-05:00,2026-03-22T18:05:00-05:00
hs_2038,Tara,Kane,tara.kane38@proton.me,+19185555430,Analyst,Delta Group,subscriber,2026-08-12T15:11:00-05:00,2026-04-25T18:46:00-05:00
