account_id,name,official_name,mask,type,subtype,available,current,limit,iso_currency_code
act_ccu_check_7732,Cascade CCU Checking,Cascade Community Credit Union - Personal Checking,7732,depository,checking,5025.56,5025.56,,USD
act_ccu_save_4188,Cascade CCU Savings,Cascade Community Credit Union - Vacation Savings,4188,depository,savings,3812.40,3812.40,,USD
act_visa_4421,Visa Reward,Cascade CCU Visa Reward Card,4421,credit,credit card,4081.60,-918.40,5000.00,USD
act_ford_loan,Ford Truck Loan,Ford Motor Credit - 2019 F-250,2019,loan,auto,0.00,-12184.00,,USD
act_ccu_save_4188_snap_202501,Cascade CCU Savings,Cascade Community Credit Union - Vacation Savings,4188,depository,savings,3810.60,3810.60,,USD
act_visa_4421_snap_202502,Visa Reward,Cascade CCU Visa Reward Card,4421,credit,credit card,3877.02,-1122.98,5000.00,USD
act_ford_loan_snap_202503,Ford Truck Loan,Ford Motor Credit - 2019 F-250,2019,loan,auto,0.00,-10003.52,,USD
act_ccu_check_7732_snap_202504,Cascade CCU Checking,Cascade Community Credit Union - Personal Checking,7732,depository,checking,5572.95,5572.95,,USD
act_ccu_save_4188_snap_202505,Cascade CCU Savings,Cascade Community Credit Union - Vacation Savings,4188,depository,savings,4887.43,4887.43,,USD
act_visa_4421_snap_202506,Visa Reward,Cascade CCU Visa Reward Card,4421,credit,credit card,3638.86,-1361.14,5000.00,USD
act_ford_loan_snap_202507,Ford Truck Loan,Ford Motor Credit - 2019 F-250,2019,loan,auto,0.00,-9451.67,,USD
act_ccu_check_7732_snap_202508,Cascade CCU Checking,Cascade Community Credit Union - Personal Checking,7732,depository,checking,3918.60,3918.60,,USD
act_ccu_save_4188_snap_202509,Cascade CCU Savings,Cascade Community Credit Union - Vacation Savings,4188,depository,savings,2947.86,2947.86,,USD
act_visa_4421_snap_202510,Visa Reward,Cascade CCU Visa Reward Card,4421,credit,credit card,4181.53,-818.47,5000.00,USD
act_ford_loan_snap_202511,Ford Truck Loan,Ford Motor Credit - 2019 F-250,2019,loan,auto,0.00,-9453.45,,USD
act_ccu_check_7732_snap_202512,Cascade CCU Checking,Cascade Community Credit Union - Personal Checking,7732,depository,checking,5352.60,5352.60,,USD
act_ccu_save_4188_snap_202601,Cascade CCU Savings,Cascade Community Credit Union - Vacation Savings,4188,depository,savings,4242.30,4242.30,,USD
act_visa_4421_snap_202602,Visa Reward,Cascade CCU Visa Reward Card,4421,credit,credit card,4034.58,-965.42,5000.00,USD
act_ford_loan_snap_202603,Ford Truck Loan,Ford Motor Credit - 2019 F-250,2019,loan,auto,0.00,-9688.79,,USD
act_ccu_check_7732_snap_202604,Cascade CCU Checking,Cascade Community Credit Union - Personal Checking,7732,depository,checking,3589.27,3589.27,,USD
act_ccu_save_4188_snap_202605,Cascade CCU Savings,Cascade Community Credit Union - Vacation Savings,4188,depository,savings,4857.58,4857.58,,USD
act_visa_4421_snap_202606,Visa Reward,Cascade CCU Visa Reward Card,4421,credit,credit card,4053.58,-946.42,5000.00,USD
act_ford_loan_snap_202607,Ford Truck Loan,Ford Motor Credit - 2019 F-250,2019,loan,auto,0.00,-10606.40,,USD
act_ccu_check_7732_snap_202608,Cascade CCU Checking,Cascade Community Credit Union - Personal Checking,7732,depository,checking,6075.43,6075.43,,USD
act_ccu_save_4188_snap_202609,Cascade CCU Savings,Cascade Community Credit Union - Vacation Savings,4188,depository,savings,3889.02,3889.02,,USD
act_visa_4421_snap_202610,Visa Reward,Cascade CCU Visa Reward Card,4421,credit,credit card,3600.44,-1399.56,5000.00,USD
act_ford_loan_snap_202611,Ford Truck Loan,Ford Motor Credit - 2019 F-250,2019,loan,auto,0.00,-9339.42,,USD
act_ccu_check_7732_snap_202612,Cascade CCU Checking,Cascade Community Credit Union - Personal Checking,7732,depository,checking,5637.63,5637.63,,USD
act_ccu_save_4188_snap_202701,Cascade CCU Savings,Cascade Community Credit Union - Vacation Savings,4188,depository,savings,3541.40,3541.40,,USD
act_visa_4421_snap_202702,Visa Reward,Cascade CCU Visa Reward Card,4421,credit,credit card,4155.85,-844.15,5000.00,USD
act_ford_loan_snap_202703,Ford Truck Loan,Ford Motor Credit - 2019 F-250,2019,loan,auto,0.00,-9027.09,,USD
act_ccu_check_7732_snap_202704,Cascade CCU Checking,Cascade Community Credit Union - Personal Checking,7732,depository,checking,5469.43,5469.43,,USD
act_ccu_save_4188_snap_202705,Cascade CCU Savings,Cascade Community Credit Union - Vacation Savings,4188,depository,savings,4324.68,4324.68,,USD
act_visa_4421_snap_202706,Visa Reward,Cascade CCU Visa Reward Card,4421,credit,credit card,4481.22,-518.78,5000.00,USD
act_ford_loan_snap_202707,Ford Truck Loan,Ford Motor Credit - 2019 F-250,2019,loan,auto,0.00,-11002.20,,USD
act_ccu_check_7732_snap_202708,Cascade CCU Checking,Cascade Community Credit Union - Personal Checking,7732,depository,checking,5275.08,5275.08,,USD
