stakeholder_id,name,organization,role,category,ward,primary_language,secondary_language,first_engaged_date,last_engaged_date,engagement_count,recorded_position,position_last_updated,preferred_channel,notes
STK-1001,Ruth Armstrong,Ville de Montreal Service de l urbanisme et de la mobilite,Urbaniste principale,borough_council,Plateau-Mont-Royal,en,fr,2026-04-06,2026-10-06,14,supportive,2026-10-05,email,Project lead consultation cycle owner
STK-1002,Jean-Francois Lavigne,Ville de Montreal Service de l urbanisme et de la mobilite,Superviseur planification,borough_council,Plateau-Mont-Royal,fr,en,2026-04-06,2026-10-06,12,supportive,2026-10-04,email,Supervisor sign off gatekeeper for elected side comms
STK-1003,Amara Diallo,Ville de Montreal Service de l urbanisme et de la mobilite,Junior planner,borough_council,Plateau-Mont-Royal,fr,en,2026-04-10,2026-10-05,11,supportive,2026-10-05,email,Leads immigrant cohort outreach flagged Parc Extension pattern
STK-1004,Sophie Chen,Bureau du conseil d arrondissement Plateau Mont Royal,Community organizer,borough_council,Plateau-Mont-Royal,en,fr,2026-04-06,2026-10-05,13,supportive,2026-10-03,in_person,Advisory committee liaison confirms field texture
STK-1005,David Ouellet,Conseil d arrondissement Plateau Mont Royal,Conseiller de ville,borough_council,Plateau-Mont-Royal,fr,en,2026-04-08,2026-10-05,9,conditional_support,2026-09-30,email,Sensitive to parking loss on Saint Denis constituent facing
STK-1006,Lucie Bergeron,Alliance Cycliste du Quebec,Advocacy Lead,advocacy_group,Plateau-Mont-Royal,fr,en,2026-04-06,2026-10-04,10,supportive,2026-09-28,email,Advisory committee cycling voice Rachel corridor extension advocate
STK-1007,Genevieve Marchand,Association des commercants Saint Denis Plateau,President,business_owner,Plateau-Mont-Royal,fr,en,2026-04-12,2026-09-20,8,opposed,2026-07-14,email,Represents Rue Saint Denis merchants position recorded as opposed on July 14
STK-1008,Bruno Levasseur,Coalition des commercants Saint Joseph,Coordinator,business_owner,Mile End,fr,en,2026-05-03,2026-09-15,6,opposed,2026-08-22,in_person,Rue Saint Joseph pilot active concern about delivery windows in the pilot corridor
STK-1009,Pham Thi Lan,Cyclerie Rachel,General Manager,business_owner,Plateau-Mont-Royal,vi,fr,2026-06-28,2026-07-29,1,neutral,2026-07-01,portal,Interested in patio expansion opportunity
STK-1010,Laura Adair,Cordonnerie du Plateau,Owner,business_owner,Mile End,en,fr,2026-04-14,2026-10-02,4,neutral,2026-05-28,sms,Interested in patio expansion opportunity
STK-1011,Sofia Sanchez,Cinq Saisons Epicerie,Store Manager,business_owner,Plateau-Mont-Royal,es,,2026-08-04,2026-10-06,3,conditional_support,2026-09-30,portal,Storefront on segment monitors parking impact
STK-1012,Nguyen Van Minh,Comptoir Cafe Mont Royal,Store Manager,business_owner,Milton-Parc,vi,fr,2026-06-03,2026-06-21,3,opposed,2026-06-16,sms,Concerned about winter snow removal for bike lane
STK-1013,Muhammad Qureshi,Salon de coiffure Elegance,General Manager,business_owner,Plateau-Mont-Royal,ur,en,2026-07-06,2026-09-08,6,conditional_support,2026-07-15,sms,Storefront on segment monitors parking impact
STK-1014,Amina Boutros,Salon de coiffure Elegance,General Manager,business_owner,Mile End,ar,en,2026-04-25,2026-08-12,3,supportive,2026-07-13,portal,Signed merchant letter in June
STK-1015,Andrew Edwards,Espace Design Nord,Co-Owner,business_owner,Plateau-Mont-Royal,en,,2026-08-11,2026-09-08,6,conditional_support,2026-08-13,sms,Concerned about winter snow removal for bike lane
STK-1016,Karim Khalil,Papeterie Mont Royal,President,business_owner,Mile End,ar,en,2026-07-04,2026-07-08,5,neutral,2026-07-08,phone,Storefront on segment monitors parking impact
STK-1017,Suzanne Turcotte,Epicerie Bio Saint Denis,Store Manager,business_owner,Plateau-Mont-Royal,fr,en,2026-07-29,2026-10-01,0,opposed,2026-09-12,phone,Signed merchant letter in June
STK-1018,Layla Boutros,Boucherie Vieux Montreal,President,business_owner,Mile End,ar,en,2026-04-13,2026-05-10,8,neutral,2026-04-16,email,Signed merchant letter in June
STK-1019,Francine Cloutier,Vintage Mile End,Store Manager,business_owner,Plateau-Mont-Royal,fr,en,2026-07-20,2026-07-24,6,opposed,2026-07-23,email,Storefront on segment monitors parking impact
STK-1020,Kamrul Ali,Epicerie Bio Saint Denis,Store Manager,business_owner,Plateau-Mont-Royal,bn,en,2026-05-07,2026-05-18,1,opposed,2026-05-13,phone,Corridor foot traffic study contributor
STK-1021,Ashraful Khan,Cyclerie Rachel,Owner,business_owner,Plateau-Mont-Royal,bn,fr,2026-05-25,2026-08-17,2,opposed,2026-07-31,sms,Preferred contact through association
STK-1022,Susan Whitfield,Boutique Vetements Nord,Co-Owner,business_owner,Plateau-Mont-Royal,en,,2026-06-21,2026-06-26,2,conditional_support,2026-06-26,sms,Attends merchant association meetings
STK-1023,Monique Rousseau,Depanneur du Parc,Owner,business_owner,Plateau-Mont-Royal,fr,en,2026-08-04,2026-08-07,4,supportive,2026-08-06,email,Storefront on segment monitors parking impact
STK-1024,Sadia Sheikh,Traiteur Bon Appetit,General Manager,business_owner,Jeanne-Mance,ur,en,2026-08-03,2026-10-01,4,conditional_support,2026-09-03,email,Preferred contact through association
STK-1025,Marguerite Caron,Boulangerie Guillaume,President,business_owner,Mile End,fr,en,2026-06-12,2026-07-15,1,opposed,2026-07-11,in_person,Interested in patio expansion opportunity
STK-1026,Ian Kingsley,Vintage Mile End,Owner,business_owner,Plateau-Mont-Royal,en,fr,2026-06-06,2026-07-03,6,opposed,2026-06-26,email,Preferred contact through association
STK-1027,Isabelle Cote,Traiteur Bon Appetit,Owner,business_owner,Milton-Parc,fr,,2026-06-29,2026-09-10,5,conditional_support,2026-08-09,email,Signed merchant letter in June
STK-1028,Marie Turcotte,Boucherie Vieux Montreal,Owner,business_owner,Mile End,fr,en,2026-07-20,2026-09-12,1,neutral,2026-08-17,phone,Attends merchant association meetings
STK-1029,Miguel Sanchez,Marche des Fermiers Jeanne Mance,General Manager,business_owner,Mile End,es,en,2026-08-12,2026-09-30,3,supportive,2026-09-02,portal,Concerned about winter snow removal for bike lane
STK-1030,Carlos Lopez,Comptoir Cafe Mont Royal,Owner,business_owner,Plateau-Mont-Royal,es,,2026-05-13,2026-08-10,4,neutral,2026-07-25,portal,Interested in patio expansion opportunity
STK-1031,Nicholas Turner,Boulangerie Guillaume,Owner,business_owner,Plateau-Mont-Royal,en,fr,2026-08-02,2026-09-15,2,conditional_support,2026-08-28,phone,Signed merchant letter in June
STK-1032,Nicole Cloutier,Boucherie Vieux Montreal,General Manager,business_owner,Plateau-Mont-Royal,fr,,2026-05-20,2026-09-06,2,opposed,2026-06-16,phone,Storefront on segment monitors parking impact
STK-1033,Andres Perez,Cordonnerie du Plateau,Store Manager,business_owner,Plateau-Mont-Royal,es,en,2026-05-27,2026-06-19,3,no_response,2026-05-31,portal,Delivery window flexibility important
STK-1034,Ian Lockhart,Bistro Rue Rachel,General Manager,business_owner,Jeanne-Mance,en,,2026-05-22,2026-08-24,3,conditional_support,2026-06-20,in_person,Signed merchant letter in June
STK-1035,Vu Thi Huong,Boucherie Vieux Montreal,General Manager,business_owner,Plateau-Mont-Royal,vi,fr,2026-08-10,2026-08-13,11,supportive,2026-08-13,email,Corridor foot traffic study contributor
STK-1036,Robert Delaney,Salle a manger Rachel,President,business_owner,Milton-Parc,en,fr,2026-08-15,2026-08-16,9,conditional_support,2026-08-16,sms,Concerned about winter snow removal for bike lane
STK-1037,Omar El-Sayed,Marchand de glaces Frisson,President,business_owner,Mile End,ar,en,2026-07-24,2026-08-10,4,neutral,2026-07-30,email,Preferred contact through association
STK-1038,Dang Van Minh,Fleuriste Rose et Feuille,Store Manager,business_owner,Plateau-Mont-Royal,vi,fr,2026-05-27,2026-10-06,2,neutral,2026-09-01,phone,Interested in patio expansion opportunity
STK-1039,Gaston Gagne,Salon de coiffure Elegance,Store Manager,business_owner,Plateau-Mont-Royal,fr,en,2026-06-13,2026-06-21,6,opposed,2026-06-17,phone,Delivery window flexibility important
STK-1040,Hoang Duc Anh,Boutique Vetements Nord,Co-Owner,business_owner,Mile End,vi,en,2026-06-23,2026-06-25,0,unknown,2026-06-24,email,Delivery window flexibility important
STK-1041,Emily Davies,Cyclerie Rachel,Co-Owner,business_owner,Plateau-Mont-Royal,en,fr,2026-06-23,2026-07-04,1,opposed,2026-07-01,phone,Attends merchant association meetings
STK-1042,Rashida Khan,Boutique Vetements Nord,President,business_owner,Mile End,bn,fr,2026-06-14,2026-09-04,5,conditional_support,2026-06-22,email,Delivery window flexibility important
STK-1043,Alain Dubois,Comptoir Cafe Mont Royal,Owner,business_owner,Jeanne-Mance,fr,en,2026-08-12,2026-08-16,4,supportive,2026-08-15,email,Storefront on segment monitors parking impact
STK-1044,Tahmina Mia,Restaurant Chez Antoine,President,business_owner,Plateau-Mont-Royal,bn,fr,2026-05-16,2026-05-31,6,conditional_support,2026-05-20,sms,Interested in patio expansion opportunity
STK-1045,Andre Cote,Pharmacie du Plateau,General Manager,business_owner,Plateau-Mont-Royal,fr,en,2026-05-21,2026-09-14,2,neutral,2026-05-29,phone,Signed merchant letter in June
STK-1046,Nicole Beaudoin,Salle a manger Rachel,General Manager,business_owner,Mile End,fr,en,2026-08-07,2026-08-11,3,opposed,2026-08-09,portal,Delivery window flexibility important
STK-1047,Emily Adair,Bagelry Fairmount Nord,General Manager,business_owner,Jeanne-Mance,en,fr,2026-07-02,2026-08-19,3,conditional_support,2026-07-27,portal,Signed merchant letter in June
STK-1048,Tarek Boutros,Pharmacie du Plateau,Co-Owner,business_owner,Plateau-Mont-Royal,ar,fr,2026-04-30,2026-08-26,4,opposed,2026-07-13,portal,Concerned about winter snow removal for bike lane
STK-1049,Louise Perreault,Association des residents Plateau Nord,Vice President,resident_association,Plateau-Mont-Royal,fr,,2026-06-05,2026-08-28,3,unknown,2026-08-24,in_person,Represents block level residents
STK-1050,Youssef Haddad,Comite de citoyens Rue Rachel,President,resident_association,Jeanne-Mance,ar,fr,2026-05-31,2026-06-23,3,conditional_support,2026-06-18,phone,Focused on street safety and greening
STK-1051,Camille Perreault,Groupe vietnamien Montreal Nord,President,resident_association,Plateau-Mont-Royal,fr,en,2026-04-10,2026-07-14,1,no_response,2026-05-21,portal,Focused on street safety and greening
STK-1052,Douglas Ingram,Table de concertation Milton Parc,President,resident_association,Jeanne-Mance,en,fr,2026-07-29,2026-08-05,1,supportive,2026-08-05,email,Coordinates newsletter distribution
STK-1053,Shahidul Rahman,Alliance des locataires du Plateau,Community Liaison,resident_association,Milton-Parc,bn,fr,2026-04-17,2026-07-23,7,neutral,2026-05-09,sms,Attends monthly citizen table
STK-1054,Rejean Tremblay,Table de concertation Milton Parc,Community Liaison,resident_association,Plateau-Mont-Royal,fr,,2026-06-07,2026-07-26,11,conditional_support,2026-07-02,sms,Attends monthly citizen table
STK-1055,Bilal Raza,Voisins solidaires Mile End,President,resident_association,Plateau-Mont-Royal,ur,en,2026-07-20,2026-08-05,10,conditional_support,2026-07-26,email,Focused on street safety and greening
STK-1056,Fatima Farah,Communaute bangladaise Montreal,President,resident_association,Plateau-Mont-Royal,ar,en,2026-06-28,2026-08-05,7,no_response,2026-07-09,portal,Focused on street safety and greening
STK-1057,Michael Lockhart,Voisins solidaires Mile End,Secretary,resident_association,Mile End,en,fr,2026-04-15,2026-07-05,2,neutral,2026-06-21,sms,Focused on street safety and greening
STK-1058,Yasmine Bakri,Association latinoamericaine Plateau,Secretary,resident_association,Milton-Parc,ar,en,2026-05-03,2026-05-13,3,supportive,2026-05-08,email,Represents block level residents
STK-1059,Hina Butt,Association des residents Plateau Nord,Secretary,resident_association,Jeanne-Mance,ur,fr,2026-07-01,2026-07-14,1,unknown,2026-07-14,email,Represents block level residents
STK-1060,Laurent Gagne,Association latinoamericaine Plateau,Community Liaison,resident_association,Plateau-Mont-Royal,fr,en,2026-05-15,2026-06-19,4,conditional_support,2026-05-24,sms,Represents block level residents
STK-1061,Mariam El-Sayed,Amis du parc Jeanne Mance,Vice President,resident_association,Plateau-Mont-Royal,ar,fr,2026-08-13,2026-08-15,12,neutral,2026-08-14,portal,Coordinates newsletter distribution
STK-1062,Susan Harrison,Regroupement Jeanne Mance,Vice President,resident_association,Mile End,en,fr,2026-04-24,2026-10-02,2,neutral,2026-06-12,email,Coordinates newsletter distribution
STK-1063,Nguyen Thi Huong,Voisins solidaires Mile End,Secretary,resident_association,Mile End,vi,fr,2026-04-14,2026-05-30,12,supportive,2026-05-29,phone,Focused on street safety and greening
STK-1064,Robert Whitfield,Communaute bangladaise Montreal,Vice President,resident_association,Plateau-Mont-Royal,en,fr,2026-04-27,2026-06-23,1,neutral,2026-05-21,email,Focused on street safety and greening
STK-1065,Francine Nadeau,Centre communautaire arabe Plateau,Secretary,resident_association,Jeanne-Mance,fr,en,2026-05-22,2026-09-11,4,supportive,2026-05-26,email,Represents block level residents
STK-1066,Layla Khalil,Regroupement Jeanne Mance,President,resident_association,Plateau-Mont-Royal,ar,en,2026-05-19,2026-08-05,2,supportive,2026-07-03,sms,Represents block level residents
STK-1067,Anisur Ali,Association pakistanaise Quebec,Community Liaison,resident_association,Mile End,bn,fr,2026-05-24,2026-07-04,3,unknown,2026-06-29,portal,Represents block level residents
STK-1068,Adnan Zafar,Voisins solidaires Mile End,President,resident_association,Plateau-Mont-Royal,ur,fr,2026-06-01,2026-08-21,3,neutral,2026-08-03,phone,Coordinates newsletter distribution
STK-1069,Salma Mia,Voix des aines Plateau,President,community_group,Plateau-Mont-Royal,bn,fr,2026-08-05,2026-09-27,3,conditional_support,2026-08-25,in_person,Community meeting host
STK-1070,Lucia Ramirez,Communaute bangladaise Montreal,Vice President,community_group,Plateau-Mont-Royal,es,fr,2026-07-20,2026-09-30,9,unknown,2026-07-29,portal,Bridge to immigrant community networks
STK-1071,Andres Martinez,Association latinoamericaine Plateau,President,community_group,Jeanne-Mance,es,en,2026-06-18,2026-08-23,5,supportive,2026-08-06,in_person,Community meeting host
STK-1072,Matthew Marshall,Amis du parc Jeanne Mance,Vice President,community_group,Plateau-Mont-Royal,en,fr,2026-08-15,2026-09-22,4,supportive,2026-09-21,sms,Community meeting host
STK-1073,Tran Duc Anh,Alliance des locataires du Plateau,President,community_group,Plateau-Mont-Royal,vi,en,2026-08-14,2026-09-02,7,neutral,2026-08-20,phone,Newsletter and social media relay
STK-1074,Francine Ouellet,Communaute bangladaise Montreal,Vice President,community_group,Plateau-Mont-Royal,fr,en,2026-06-01,2026-09-22,2,no_response,2026-08-03,in_person,Bridge to immigrant community networks
STK-1075,Jocelyne Lachance,Alliance des locataires du Plateau,President,community_group,Jeanne-Mance,fr,en,2026-04-28,2026-09-20,2,conditional_support,2026-08-15,in_person,Family services touchpoint
STK-1076,Tran Thi Mai,Table de concertation Milton Parc,Secretary,community_group,Plateau-Mont-Royal,vi,fr,2026-06-18,2026-08-05,1,supportive,2026-07-31,in_person,Newsletter and social media relay
STK-1077,Ian Whitfield,Groupe vietnamien Montreal Nord,Secretary,community_group,Mile End,en,fr,2026-06-02,2026-07-09,4,supportive,2026-06-18,email,Cultural centre contact
STK-1078,Simon Fournier,Alliance des locataires du Plateau,Secretary,community_group,Plateau-Mont-Royal,fr,,2026-05-21,2026-07-10,6,neutral,2026-06-16,sms,Community meeting host
STK-1079,Sadia Iqbal,Amis du parc Jeanne Mance,President,community_group,Plateau-Mont-Royal,ur,,2026-04-14,2026-05-28,11,neutral,2026-05-09,in_person,Cultural centre contact
STK-1080,William Vaughan,Alliance des locataires du Plateau,Vice President,community_group,Plateau-Mont-Royal,en,fr,2026-07-02,2026-08-07,8,supportive,2026-07-26,sms,Community meeting host
STK-1081,Nicholas Campbell,Voisins solidaires Mile End,Coordinator,community_group,Plateau-Mont-Royal,en,,2026-07-18,2026-08-24,7,unknown,2026-08-13,sms,Newsletter and social media relay
STK-1082,Rezaul Islam,Amis du parc Jeanne Mance,Community Liaison,community_group,Plateau-Mont-Royal,bn,en,2026-05-26,2026-08-06,2,unknown,2026-07-31,email,Community meeting host
STK-1083,Elena Garcia,Communaute bangladaise Montreal,Vice President,community_group,Plateau-Mont-Royal,es,fr,2026-06-04,2026-09-12,11,neutral,2026-06-23,portal,Cultural centre contact
STK-1084,Javier Lopez,Voix des aines Plateau,Vice President,community_group,Milton-Parc,es,fr,2026-04-21,2026-09-30,8,conditional_support,2026-05-28,portal,Cultural centre contact
STK-1085,Nicole Michaud,Alliance des locataires du Plateau,Secretary,community_group,Plateau-Mont-Royal,fr,en,2026-04-22,2026-05-27,0,opposed,2026-04-28,portal,Bridge to immigrant community networks
STK-1086,Benjamin Jenkins,Voix des aines Plateau,Community Liaison,community_group,Milton-Parc,en,fr,2026-06-04,2026-07-24,1,conditional_support,2026-06-16,phone,Community meeting host
STK-1087,Elizabeth Palmer,Voix des aines Plateau,President,community_group,Mile End,en,fr,2026-06-07,2026-06-08,2,neutral,2026-06-08,in_person,Cultural centre contact
STK-1088,Olivier Lavoie,Table de concertation Milton Parc,Vice President,community_group,Mile End,fr,en,2026-05-09,2026-09-26,3,neutral,2026-06-01,phone,Bridge to immigrant community networks
