courseId,id,title,description,state,creationTime,updateTime,creatorUserId,topicId,alternateLink,materialType,materialUrl
courseId_1000,mat-1,Shop Safety Handout,description 0,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1000,topicId_1000,https://example.com/0,materialType 0,https://example.com/0
courseId_1500,id_noise_500,title 500,description 500,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1500,topicId_1500,https://example.com/500,materialType 500,https://example.com/500
courseId_1501,id_noise_501,title 501,description 501,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1501,topicId_1501,https://example.com/501,materialType 501,https://example.com/501
courseId_1502,id_noise_502,title 502,description 502,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1502,topicId_1502,https://example.com/502,materialType 502,https://example.com/502
courseId_1503,id_noise_503,title 503,description 503,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1503,topicId_1503,https://example.com/503,materialType 503,https://example.com/503
courseId_1504,id_noise_504,title 504,description 504,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1504,topicId_1504,https://example.com/504,materialType 504,https://example.com/504
courseId_1505,id_noise_505,title 505,description 505,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1505,topicId_1505,https://example.com/505,materialType 505,https://example.com/505
courseId_1506,id_noise_506,title 506,description 506,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1506,topicId_1506,https://example.com/506,materialType 506,https://example.com/506
courseId_1507,id_noise_507,title 507,description 507,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1507,topicId_1507,https://example.com/507,materialType 507,https://example.com/507
courseId_1508,id_noise_508,title 508,description 508,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1508,topicId_1508,https://example.com/508,materialType 508,https://example.com/508
courseId_1509,id_noise_509,title 509,description 509,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1509,topicId_1509,https://example.com/509,materialType 509,https://example.com/509
courseId_1510,id_noise_510,title 510,description 510,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1510,topicId_1510,https://example.com/510,materialType 510,https://example.com/510
