courseId,id,text,state,creationTime,updateTime,creatorUserId,alternateLink
courseId_1000,ann-1,Welcome to the GearUp engine basics module,PUBLISHED,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1000,https://example.com/0
courseId_1500,id_noise_500,text 500,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1500,https://example.com/500
courseId_1501,id_noise_501,text 501,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1501,https://example.com/501
courseId_1502,id_noise_502,text 502,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1502,https://example.com/502
courseId_1503,id_noise_503,text 503,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1503,https://example.com/503
courseId_1504,id_noise_504,text 504,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1504,https://example.com/504
courseId_1505,id_noise_505,text 505,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1505,https://example.com/505
courseId_1506,id_noise_506,text 506,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1506,https://example.com/506
courseId_1507,id_noise_507,text 507,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1507,https://example.com/507
courseId_1508,id_noise_508,text 508,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1508,https://example.com/508
courseId_1509,id_noise_509,text 509,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1509,https://example.com/509
courseId_1510,id_noise_510,text 510,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,creatorUserId_1510,https://example.com/510
