Id,DisplayName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr_Line1,BillAddr_City,BillAddr_CountrySubDivisionCode,BillAddr_PostalCode,Balance,Active,AcctNum,Vendor1099
V0001,WordPress hosting (WP Engine),"WordPress hosting (WP Engine), Inc.",billing@wordpresshosting(wpengine).com,(594)723-2915x989,428 Vargas Loop Apt. 811,Carpentermouth,CA,09112,39.00,true,AC-13116,false
V0002,Contentful,"Contentful, Inc.",billing@contentful.com,518.694.4564x19325,19029 Brian Keys Suite 437,Morganmouth,AZ,87923,89.00,true,AC-38646,false
V0003,Algolia search,"Algolia search, Inc.",billing@algoliasearch.com,2199815745,361 Dominguez Valley,Lake Sharonmouth,NC,45288,50.00,true,AC-18882,false
V0004,Sentry error tracking,"Sentry error tracking, Inc.",billing@sentryerrortracking.com,+1-202-367-4273x19743,434 Brian Isle Apt. 113,North Samanthaview,PA,10677,26.00,true,AC-98909,false
V0005,Mailchimp Standard,"Mailchimp Standard, Inc.",billing@mailchimpstandard.com,677.364.7050,5948 Stephanie Ford,South Samanthaborough,NE,80478,75.00,true,AC-83013,false
V0006,Klaviyo,"Klaviyo, Inc.",billing@klaviyo.com,810.950.4246x54031,19752 Johnson Extensions,West Mark,LA,57559,150.00,true,AC-62774,false
V0007,ActiveCampaign,"ActiveCampaign, Inc.",billing@activecampaign.com,858-932-5600x1543,9094 Blackburn Extensions,Armstrongport,AZ,81760,79.00,true,AC-35941,false
V0008,SendGrid Essentials,"SendGrid Essentials, Inc.",billing@sendgridessentials.com,001-442-443-4159,764 Timothy Freeway,Gainesmouth,HI,77293,19.95,true,AC-21499,false
V0009,Mailgun Foundation,"Mailgun Foundation, Inc.",billing@mailgunfoundation.com,001-531-230-6634x96631,92812 Martin Lights,Lake Coryfurt,WI,77437,35.00,true,AC-81521,false
V0010,Segment Team,"Segment Team, Inc.",billing@segmentteam.com,(277)775-4381,51775 Evan Plains Apt. 869,Kennethchester,CO,07932,120.00,true,AC-12307,false
V0011,Amplitude Growth,"Amplitude Growth, Inc.",billing@amplitudegrowth.com,829-983-8557x882,7627 Russell Path Apt. 564,Georgeborough,AS,18324,61.00,true,AC-64945,false
V0012,Mixpanel Growth,"Mixpanel Growth, Inc.",billing@mixpanelgrowth.com,914.945.0858x034,859 Zimmerman Ways Suite 003,New Aaronburgh,AZ,45370,25.00,true,AC-70652,false
V0013,PostHog,"PostHog, Inc.",billing@posthog.com,949-666-8012,260 Watson Burgs,Lake Ashlee,MP,70566,20.00,true,AC-34526,false
V0014,HubSpot Starter,"HubSpot Starter, Inc.",billing@hubspotstarter.com,001-551-324-3875x995,013 Casey Dale Suite 024,Markfurt,GA,07186,180.00,true,AC-95408,false
V0015,Zendesk Suite Team,"Zendesk Suite Team, Inc.",billing@zendesksuiteteam.com,371.931.2345,084 Joseph Skyway,Carrollmouth,MS,92511,55.00,true,AC-95512,false
V0016,Freshdesk Growth,"Freshdesk Growth, Inc.",billing@freshdeskgrowth.com,3209428691,2982 Anne Lakes,New Adrian,NM,14902,35.00,true,AC-73545,false
V0017,Intercom Essential,"Intercom Essential, Inc.",billing@intercomessential.com,345.514.8439x0106,7345 Sanders Pass Suite 562,Andrewmouth,IA,93779,39.00,true,AC-70507,false
V0018,Asana Starter,"Asana Starter, Inc.",billing@asanastarter.com,672.400.1205,6573 Rich Dale Suite 318,Lake Micheleside,OK,59722,13.49,true,AC-60368,false
V0019,Notion Team,"Notion Team, Inc.",billing@notionteam.com,314.760.9253x359,727 Ramsey Keys,Matthewtown,GU,11633,10.00,true,AC-13459,false
V0020,Airtable Team,"Airtable Team, Inc.",billing@airtableteam.com,+1-869-202-7408x70436,44837 Beard Mission,Omarfort,AZ,54682,20.00,true,AC-68580,false
V0021,Linear Standard,"Linear Standard, Inc.",billing@linearstandard.com,(487)530-2404x945,38245 James Point,Garciaport,TN,56412,10.00,true,AC-44798,false
V0022,Trello Standard,"Trello Standard, Inc.",billing@trellostandard.com,001-438-889-6715x070,3688 Joel Freeway Apt. 679,Westtown,WI,81253,6.00,true,AC-41568,false
V0023,Typeform Basic,"Typeform Basic, Inc.",billing@typeformbasic.com,546.217.0784x0549,61873 Donna Garden Apt. 959,Port Jennifer,RI,28303,29.00,true,AC-20761,false
V0024,Figma Professional,"Figma Professional, Inc.",billing@figmaprofessional.com,(642)568-5440,4556 Rogers Knoll Apt. 033,South Jessica,TN,10400,15.00,true,AC-49081,false
