id,type,title,username,first_name,last_name,description,member_count
7001,private,Board (Elaine),,Elaine,Fontenot,Board-level Crescent City Legal Aid thread,2
7002,group,Delacroix Chat,chat_1,,,Telegram chat for Delacroix,3
7003,supergroup,Boudreaux Chat,chat_2,,,Telegram chat for Boudreaux,4
7004,private,Arceneaux Chat,chat_3,,,Telegram chat for Arceneaux,5
7005,group,Fontaine Chat,chat_4,,,Telegram chat for Fontaine,6
7006,supergroup,Guidry Chat,chat_5,,,Telegram chat for Guidry,2
7007,private,Hebert Chat,chat_6,,,Telegram chat for Hebert,3
7008,group,Landry Chat,chat_7,,,Telegram chat for Landry,4
7009,supergroup,Maddox Chat,chat_8,,,Telegram chat for Maddox,5
7010,private,Naquin Chat,chat_9,,,Telegram chat for Naquin,6
7011,group,Ortega Chat,chat_10,,,Telegram chat for Ortega,2
7012,supergroup,Prejean Chat,chat_11,,,Telegram chat for Prejean,3
7013,private,Robicheaux Chat,chat_12,,,Telegram chat for Robicheaux,4
7014,group,Savoy Chat,chat_13,,,Telegram chat for Savoy,5
