request_id,product_id,status,rider_id,driver_name,vehicle,license_plate,start_latitude,start_longitude,start_address,end_latitude,end_longitude,end_address,distance_miles,duration_minutes,fare,surge_multiplier,requested_at,completed_at
uber_res_8821,uberxl,processing,rider-jennifer-clark,,,,33.7444,-84.3676,"Cabbagetown Bungalow, Atlanta, GA",33.7536,-84.3859,"Atlanta Symphony Hall, Atlanta, GA",3.4,16.0,32.0,1.0,2026-09-28T16:20:00Z,
uber_res_8822,uberxl,processing,rider-jennifer-clark,,,,33.7444,-84.3676,"Cabbagetown Bungalow, Atlanta, GA",33.7536,-84.3859,"Atlanta Symphony Hall, Atlanta, GA",3.4,18.0,32.0,1.0,2026-09-28T16:21:00Z,
uber_res_8823,uberxl,processing,rider-jennifer-clark,,,,33.7536,-84.3859,"Atlanta Symphony Hall, Atlanta, GA",33.7444,-84.3676,"Cabbagetown Bungalow, Atlanta, GA",3.5,19.0,38.0,1.2,2026-09-28T16:22:00Z,
uber_res_8824,uberxl,processing,rider-jennifer-clark,,,,33.7536,-84.3859,"Atlanta Symphony Hall, Atlanta, GA",33.7444,-84.3676,"Cabbagetown Bungalow, Atlanta, GA",3.5,22.0,45.0,1.5,2026-09-28T16:23:00Z,
req-jc-4000,uberx,completed,rider-jennifer-clark,Rashad Greenfield,Nissan Altima Black,1CPW538,33.529,-86.8088,"Ironwood Academy, Birmingham, AL",33.4948,-86.8086,"UAB Hospital, Birmingham, AL",1.8,25.4,20.27,1.2,2026-07-19T16:02:00Z,2026-07-19T16:27:00Z
req-jc-4001,uberx,completed,rider-jennifer-clark,Kahlil Brooks,Toyota Camry Silver,6HPW299,33.5168,-86.8088,"Vulcan Park, Birmingham, AL",33.5519,-86.7989,"Birmingham Airport BHM, Birmingham, AL",10.1,20.1,29.56,1.0,2026-09-20T17:12:00Z,2026-09-20T17:32:00Z
req-jc-4002,uberx,completed,rider-jennifer-clark,Marisol Quintero,Mazda 6 Silver,8ELY511,33.5186,-86.8104,"1631 4th Ave N, Birmingham, AL",33.4948,-86.8086,"UAB Hospital, Birmingham, AL",5.5,13.1,22.87,1.2,2026-04-05T11:05:00Z,2026-04-05T11:18:00Z
req-jc-4003,uberx,completed,rider-jennifer-clark,Cordell Yancey,Honda Accord Gray,7BRV661,33.5078,-86.8009,"Grace Community Church, Birmingham, AL",33.4023,-86.9542,"Bessemer, AL",16.7,20.3,41.18,1.0,2026-09-24T14:58:00Z,2026-09-24T15:18:00Z
req-jc-4004,uberx,completed,rider-jennifer-clark,Maurice Childers,Honda Accord Gray,4DMZ679,33.5145,-86.8088,"Pizitz Food Hall, Birmingham, AL",33.4951,-86.7639,"Crestwood South, Birmingham, AL",11.3,18.8,31.21,1.0,2026-04-14T16:34:00Z,2026-04-14T16:52:00Z
req-jc-4005,uberx,completed,rider-jennifer-clark,Esme Aldridge,Kia Optima White,3IKZ555,33.5101,-86.8121,"Lyric Theatre, Birmingham, AL",33.5186,-86.8104,"1631 4th Ave N, Birmingham, AL",2.7,15.8,15.11,1.0,2026-04-02T11:40:00Z,2026-04-02T11:55:00Z
req-jc-4006,uberx,completed,rider-jennifer-clark,Maurice Childers,Nissan Altima Black,8GSY869,33.4948,-86.8086,"UAB Hospital, Birmingham, AL",33.4023,-86.9542,"Bessemer, AL",12.3,30.0,36.88,1.0,2026-08-03T20:34:00Z,2026-08-03T21:04:00Z
req-jc-4007,uberx,completed,rider-jennifer-clark,Tamsin Hawthorne,Honda Accord Gray,6ASU810,33.5145,-86.8088,"Pizitz Food Hall, Birmingham, AL",33.5519,-86.7989,"Birmingham Airport BHM, Birmingham, AL",16.0,17.0,38.8,1.0,2026-09-12T11:22:00Z,2026-09-12T11:39:00Z
req-jc-4008,uberx,completed,rider-jennifer-clark,Cordell Yancey,Toyota Camry Silver,4ILT195,33.529,-86.8088,"Ironwood Academy, Birmingham, AL",33.4948,-86.8086,"UAB Hospital, Birmingham, AL",13.7,32.0,48.02,1.2,2026-06-10T08:52:00Z,2026-06-10T09:24:00Z
req-jc-4009,uberx,completed,rider-jennifer-clark,Cordell Yancey,Toyota Camry Silver,6DPW213,33.5168,-86.8088,"Vulcan Park, Birmingham, AL",33.5145,-86.8088,"Pizitz Food Hall, Birmingham, AL",15.8,29.3,42.75,1.0,2026-05-12T11:53:00Z,2026-05-12T12:22:00Z
req-jc-4010,uberx,completed,rider-jennifer-clark,Kahlil Brooks,Kia Optima White,1BOY269,33.4023,-86.9542,"Bessemer, AL",33.5145,-86.8088,"Pizitz Food Hall, Birmingham, AL",5.7,18.5,23.43,1.1,2026-04-04T19:51:00Z,2026-04-04T20:09:00Z
req-jc-4011,comfort,completed,rider-jennifer-clark,Rashad Greenfield,Nissan Altima Black,6HMY934,33.5145,-86.8088,"Pizitz Food Hall, Birmingham, AL",33.4951,-86.7639,"Crestwood South, Birmingham, AL",8.4,14.0,24.45,1.0,2026-06-03T13:04:00Z,2026-06-03T13:18:00Z
req-jc-4012,uberx,completed,rider-jennifer-clark,Devon Riley,Kia Optima White,5HRW309,33.5168,-86.8088,"Vulcan Park, Birmingham, AL",33.5519,-86.7989,"Birmingham Airport BHM, Birmingham, AL",12.9,34.0,39.32,1.0,2026-04-24T14:00:00Z,2026-04-24T14:34:00Z
req-jc-4013,uberx,completed,rider-jennifer-clark,Maxine Holt,Hyundai Sonata White,4COU907,33.5168,-86.8088,"Vulcan Park, Birmingham, AL",33.529,-86.8088,"Ironwood Academy, Birmingham, AL",2.9,27.4,21.46,1.1,2026-08-27T13:07:00Z,2026-08-27T13:34:00Z
req-jc-4014,uberx,completed,rider-jennifer-clark,Sumayya Patel,Nissan Altima Black,7BSU433,33.529,-86.8088,"Ironwood Academy, Birmingham, AL",33.5145,-86.8088,"Pizitz Food Hall, Birmingham, AL",2.2,15.1,13.98,1.0,2026-04-11T11:39:00Z,2026-04-11T11:54:00Z
req-jc-4015,uberx,completed,rider-jennifer-clark,Kahlil Brooks,Toyota Camry Silver,1BPZ685,33.4951,-86.7639,"Crestwood South, Birmingham, AL",33.529,-86.8088,"Ironwood Academy, Birmingham, AL",9.4,26.3,33.55,1.1,2026-09-09T10:59:00Z,2026-09-09T11:25:00Z
req-jc-4016,uberx,completed,rider-jennifer-clark,Marisol Quintero,Ford Fusion Red,2BRX686,33.4023,-86.9542,"Bessemer, AL",33.5145,-86.8088,"Pizitz Food Hall, Birmingham, AL",12.4,8.6,29.56,1.0,2026-04-21T09:55:00Z,2026-04-21T10:03:00Z
req-jc-4017,uberx,completed,rider-jennifer-clark,Rashad Greenfield,Chevrolet Malibu Blue,3CQX933,33.5186,-86.8104,"1631 4th Ave N, Birmingham, AL",33.5519,-86.7989,"Birmingham Airport BHM, Birmingham, AL",14.3,14.0,34.77,1.0,2026-04-28T07:06:00Z,2026-04-28T07:20:00Z
req-jc-4018,uberx,completed,rider-jennifer-clark,Marisol Quintero,Honda Accord Gray,9CQU655,33.4951,-86.7639,"Crestwood South, Birmingham, AL",33.5078,-86.8009,"Grace Community Church, Birmingham, AL",17.8,25.2,44.82,1.0,2026-07-11T15:30:00Z,2026-07-11T15:55:00Z
req-jc-4019,uberx,completed,rider-jennifer-clark,Kahlil Brooks,Ford Fusion Red,4JKT995,33.529,-86.8088,"Ironwood Academy, Birmingham, AL",33.4951,-86.7639,"Crestwood South, Birmingham, AL",17.6,12.4,39.99,1.0,2026-07-12T13:34:00Z,2026-07-12T13:46:00Z
req-jc-4020,uberx,completed,rider-jennifer-clark,Kahlil Brooks,Honda Accord Gray,3CNU265,33.529,-86.8088,"Ironwood Academy, Birmingham, AL",33.4951,-86.7639,"Crestwood South, Birmingham, AL",5.5,19.7,21.37,1.0,2026-09-09T13:08:00Z,2026-09-09T13:27:00Z
req-jc-4021,uberx,completed,rider-jennifer-clark,Octavia Liang,Nissan Altima Black,8DOW518,33.5519,-86.7989,"Birmingham Airport BHM, Birmingham, AL",33.5168,-86.8088,"Vulcan Park, Birmingham, AL",16.7,10.9,37.89,1.0,2026-09-17T20:01:00Z,2026-09-17T20:11:00Z
req-jc-4022,uberx,completed,rider-jennifer-clark,Kahlil Brooks,Nissan Altima Black,7HMW405,33.4951,-86.7639,"Crestwood South, Birmingham, AL",33.5078,-86.8009,"Grace Community Church, Birmingham, AL",17.8,8.3,38.91,1.0,2026-04-01T14:44:00Z,2026-04-01T14:52:00Z
