id,email,name,phone,description,currency,balance,delinquent,created
cus_wcu_001,tanya.reyburn@gmail.com,Tanya Reyburn,+16145550101,Storefront customer OH,usd,0,False,1744286400
cus_wcu_002,mbrightley74@yahoo.com,Marla Brightley,+15135550202,Storefront customer OH,usd,0,False,1747051200
cus_wcu_003,leah.osgood@icloud.com,Leah Osgood,+14195550303,Storefront customer OH,usd,0,False,1750358400
cus_wcu_004,rachaelquade@gmail.com,Rachael Quade,+19375550404,Storefront customer OH,usd,0,False,1751328000
cus_wcu_005,pkendrick.oh@outlook.com,Priscilla Kendrick,+13305550505,Storefront customer OH,usd,0,False,1755561600
cus_wcu_006,dana.mcburney@gmail.com,Dana McBurney,+14125550606,Storefront customer PA,usd,0,False,1757030400
cus_wcu_007,heather.linley@yahoo.com,Heather Linley,+12165550707,Storefront customer OH,usd,0,False,1758931200
cus_wcu_008,cardellinom@gmail.com,Marisa Cardellino,+15025550808,Storefront customer KY,usd,0,False,1760400000
cus_wcu_009,vera.pettengill@icloud.com,Vera Pettengill,+17345550909,Storefront customer MI,usd,0,False,1762041600
cus_wcu_010,shelby.ramaley@gmail.com,Shelby Ramaley,+13175551010,Storefront customer IN,usd,0,False,1763942400
cus_wcu_011,ellenwainscott@outlook.com,Ellen Wainscott,+12605551111,Storefront customer IN,usd,0,False,1768694400
cus_wcu_012,mona.tibbets@yahoo.com,Mona Tibbets,+18145551212,Storefront customer PA,usd,0,False,1771027200
cus_wcu_013,jbraden.cbus@gmail.com,Jenny Braden,+16145551313,Storefront customer OH,usd,0,False,1774147200
cus_wcu_014,celeste.woodring@icloud.com,Celeste Woodring,+15135551414,Storefront customer OH,usd,0,False,1775875200
cus_wcu_015,amberkilgore@gmail.com,Amber Kilgore,+14195551515,Storefront customer OH,usd,0,False,1778294400
cus_wcu_016,nrudicil.mkt@outlook.com,Nora Rudicil,+19375551616,Storefront customer OH,usd,0,False,1782230400
cus_wcu_017,cassandra.eberle@gmail.com,Cassandra Eberle,+13305551717,Storefront customer OH,usd,0,False,1783699200
cus_wcu_018,lucinda.wray@yahoo.com,Lucinda Wray,+12165551818,Storefront customer OH,usd,0,False,1787328000
cus_wcu_019,krisdelacroix@icloud.com,Kristen Delacroix,+16145551919,Storefront customer OH,usd,0,False,1789574400
cus_wcu_020,parisa.tolentino@gmail.com,Parisa Tolentino,+15025552020,Storefront customer KY,usd,0,False,1792080000
