id,first_name,last_name,email,phone,company,title,source,created_at
APP-001,Jordan,Mclaren,,,,Offer Recommended | exp 6y | rate $22.00 | Returning seasonal — previously hired Nov 2024 and Nov 2025. Greg's top recommendation. Kn...,Returning candidate (direct outreach by Greg),2026-08-12T00:00:00Z
APP-002,Naomi,Bridgers,,,,Offer Recommended | exp 4y | rate $22.00 | Returning seasonal — previously hired Nov 2024 and Nov 2025. Detail-oriented on sanitation...,Returning candidate (direct outreach),2026-08-15T00:00:00Z
APP-003,Maya,Chen,,,,Offer Recommended | exp 5y | rate $22.50 | Strong on-site interview. Wants to learn the saison program. Open to staying on past seaso...,Greenhouse — Brewers Association job board,2026-08-22T00:00:00Z
APP-004,Patrick,Holloway,,,,"Offer Recommended | exp 3y | rate $21.50 | Quiet, careful, Greg-style work. Greg vouches. No relation to Greg despite shared surname.","Greg (referral, no relation)",2026-08-19T00:00:00Z
APP-005,Marcus,Penley,,,Smoky Mountain Beverage (distributor) - conflict-of-interest flag,"Offer Recommended | exp 4y | rate $22.00 | CONFLICT OF INTEREST FLAGGED: Currently employed by Smoky Mountain Beverage, one of our wh...",Greenhouse — Indeed,2026-09-04T00:00:00Z
APP-006,Ellen,Sayers,,,,Offer Recommended | exp 7y | rate $23.00 | avail 2026-11-16 | AVAILABILITY ISSUE: cannot start until November 16 (current employer notice period). Stron...,Greenhouse — Brewers Association job board,2026-09-12T00:00:00Z
APP-007,Theo,Aragon,,,,"Offer Recommended | exp 3y | rate $21.50 | Solid on-site interview. Younger, energetic, learns fast. Greg comfortable with him on the...",Greenhouse — Brewers Association job board,2026-09-18T00:00:00Z
APP-008,Lucia,Romero,,,,On-Site | exp 2y | rate $21.50 | On-site scheduled for Oct 9. Greg liked the phone screen.,Greenhouse — Brewers Association job board,2026-09-22T00:00:00Z
APP-009,Damon,Webster,,,,"On-Site | exp 5y | rate $22.00 | On-site rescheduled to Oct 11. Strong on the cold side, weaker on the saison fermentation...",Greenhouse — LinkedIn,2026-09-15T00:00:00Z
APP-010,Kenji,Yamada,,,,On-Site | exp 4y | rate $22.00 | On-site completed Oct 2. Awaiting Larry's read.,Greenhouse — Brewers Association job board,2026-09-08T00:00:00Z
APP-011,Vincent,Caraway,,,,On-Site | exp 2y | rate $21.00 | Jake's referral. On-site Oct 8.,Greenhouse — referral via Jake Moreland,2026-09-20T00:00:00Z
APP-012,Hattie,Brennan,,,,Phone Screen | exp 1y | rate $20.50 | Phone screen completed Sept 28. Eager. Light on experience.,Greenhouse — Indeed,2026-09-24T00:00:00Z
APP-013,Owen,Petrova,,,,Phone Screen | exp 3y | rate $21.00 | Phone screen scheduled Oct 6.,Greenhouse — Brewers Association job board,2026-09-26T00:00:00Z
APP-014,Aiyana,Standingbear,,,,Phone Screen | exp 4y | rate $21.00 | Phone screen scheduled Oct 7.,Greenhouse — Brewers Association job board,2026-09-21T00:00:00Z
APP-015,Sven,Lindqvist,,,,Phone Screen | exp 8y | rate $24.00 | Phone screen scheduled Oct 6. Senior candidate; rate expectation high.,Greenhouse — LinkedIn,2026-09-28T00:00:00Z
APP-016,Raymond,Beckwith,,,,Phone Screen | exp 2y | rate $20.00 | Phone screen scheduled Oct 8.,Greenhouse — Indeed,2026-09-29T00:00:00Z
APP-017,Imani,Fairbanks,,,,Applied | exp 1y | rate $20.00,Greenhouse — Brewers Association,2026-10-01T00:00:00Z
APP-018,Roland,Yates,,,,Applied | exp 3y | rate $21.00,Greenhouse — Indeed,2026-10-02T00:00:00Z
APP-019,Beatrix,Allard,,,,Applied | exp 2y | rate $20.00,Greenhouse — Brewers Association,2026-09-30T00:00:00Z
APP-020,Hector,Salazar,,,,Applied | exp 4y | rate $21.50,Greenhouse — Indeed,2026-10-03T00:00:00Z
APP-021,Mira,Dasgupta,,,,Applied | exp 5y | rate $22.00 | avail 2026-11-09 | Note: cannot start opening week; one-week delay from current notice period.,Greenhouse — LinkedIn,2026-10-04T00:00:00Z
APP-022,Bennett,Krasinski,,,,Applied | exp 2y | rate $20.00,Greenhouse — Brewers Association,2026-10-04T00:00:00Z
APP-023,Penelope,Forsythe,,,,Applied | exp 1y | rate $20.00,Greenhouse — Indeed,2026-10-02T00:00:00Z
APP-024,Vikram,Anand,,,,Applied | exp 6y | rate $22.50,Greenhouse — LinkedIn,2026-10-01T00:00:00Z
APP-025,Augusta,Cleary,,,,Applied | exp 3y | rate $21.00,Greenhouse — Brewers Association,2026-09-29T00:00:00Z
APP-026,Trent,Galloway,,,,Rejected | exp 0y | rate $18.00 | Rejected at recruiter screen — insufficient brewing exposure for a seasonal slot.,Greenhouse — Indeed,2026-08-30T00:00:00Z
APP-027,Whitney,Hargrove,,,,Rejected | exp 2y | rate $18.00 | Rejected — retail experience not production experience.,Greenhouse — Indeed,2026-09-02T00:00:00Z
APP-028,Cyrus,Thompson,,,,Rejected | exp 10y | rate $25.00 | Rejected post-phone-screen. Tenure pattern concerning (no role held over 14 months in past...,Greenhouse — LinkedIn,2026-09-06T00:00:00Z
APP-029,Dahlia,Voss,,,,Rejected | exp 1y | rate $18.00 | Rejected at recruiter screen — phone screen no-show twice.,Greenhouse — Brewers Association,2026-09-10T00:00:00Z
APP-030,Wendell,Carpenter,,,,Rejected | exp 3y | rate $20.00 | Rejected post-phone-screen — Greg flagged inconsistent recall of basic sanitation protocol...,Greenhouse — Indeed,2026-09-14T00:00:00Z
APP-031,Octavia,Reinhardt,,,,Rejected | exp 4y | rate $22.00 | avail 2027-01-15 | Rejected — availability start in mid-January misses two-thirds of season.,Greenhouse — LinkedIn,2026-09-17T00:00:00Z
APP-032,Beau,Tatum,,,,"Rejected | exp 0y | rate $18.00 | Rejected at recruiter screen — academic credentials only, no commercial brewing hours.",Greenhouse — Indeed,2026-09-19T00:00:00Z
APP-033,Sergio,Almeida,,,,Rejected | exp 2y | rate $20.00 | Rejected post-phone-screen — references did not return after two attempts.,Greenhouse — Brewers Association,2026-09-25T00:00:00Z
APP-034,Mariah,Steinberg,,,,Rejected | exp 1y | rate $18.00 | Rejected at recruiter screen — limited fit on overnight fermentation watch availability.,Greenhouse — LinkedIn,2026-09-27T00:00:00Z
