Date	Days	Type	Reason	Approved By	Balance
Starting Balance (Jan 1)			25 days available (22 + 3 carryover)		25.0
January 16, 2026	1	PTO	Renee's kids birthday, New Haven	V. Cobb	24.0
January 20, 2026	1	PTO	Marcus Jr. dental appointment	V. Cobb	23.0
February 6, 2026	1	PTO	Home inspection for insurance renewal	V. Cobb	22.0
February 13, 2026	0.5	PTO	Valentine's prep, half day	V. Cobb	21.5
February 27, 2026	1	PTO	Personal day	V. Cobb	20.5
October 24, 2026	1	PTO (planned)	DeShawn visit, airport pickup	Pending	19.5
October 27, 2026	1	PTO (planned)	Day after DeShawn weekend	Pending	18.5
December 5, 2026	1	PTO (planned)	CISSP exam day	Pending	17.5
December 22 to 26, 2026	3	PTO (planned)	Christmas week	Pending	14.5
