id,amount,currency,status,payout_status,description,customer_email,created,paid,risk_level
ch_3QZ8tF2Lp7nXa01k,210000,usd,succeeded,pending_payout,Tangerine Magazine summer editorial day rate plus retoucher,priya.shah@tangerinemag.com,2026-08-14T10:32:00Z,2026-08-14T10:32:00Z,normal
ch_3QZ8uG3Mq8oYa02l,180000,usd,succeeded,pending_payout,Estrela seasonal menu reshoot half day plus expedite delivery,ana.moreira@gmail.com,2026-08-28T14:11:00Z,2026-08-28T14:11:00Z,normal
ch_3QZ8vH4Nr9pZa03m,150000,usd,succeeded,pending_payout,Cookbook progress shoot day,rebecca.a@saltandpress.com,2026-09-09T09:48:00Z,2026-09-09T09:48:00Z,normal
ch_3QZ8wI0Qq0aJ00Q,80000,usd,requires_action,paid,Editorial half-day,ap@borderlandquarterly.com,2026-08-12T16:21:00Z,2026-08-12T16:21:00Z,elevated
ch_3QZ8wI1Qq1aJ01Q,120000,usd,requires_action,paid,Editorial half-day,billing@meridianmag.com,2026-07-12T16:02:00Z,2026-07-12T16:02:00Z,elevated
ch_3QZ8wI2Qq2aJ02Q,120000,usd,requires_action,paid,Restaurant menu half-day,ap@flatbreadclub.com,2026-09-28T14:13:00Z,2026-09-28T14:13:00Z,elevated
ch_3QZ8wI3Qq3aJ03Q,45000,usd,requires_action,paid,Editorial half-day,billing@northsidequarterly.com,2026-09-28T11:30:00Z,2026-09-28T11:30:00Z,elevated
ch_3QZ8wI4Qq4aJ04Q,80000,usd,requires_action,paid,Restaurant menu half-day,ap@whiskandfire.com,2026-07-08T11:12:00Z,2026-07-08T11:12:00Z,elevated
ch_3QZ8xJ0Rr0aK00F,65000,usd,failed,paid,Editorial deposit,billing@longshoremag.com,2026-08-20T13:00:00Z,2026-08-20T13:00:00Z,highest
ch_3QZ8xJ1Rr1aK01F,65000,usd,failed,paid,Editorial deposit,billing@sourdoughpressquarterly.com,2026-07-05T13:00:00Z,2026-07-05T13:00:00Z,highest
ch_3QZ825e33bf8a5fb55,120000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-08-23T14:49:00Z,2026-08-23T14:49:00Z,normal
ch_3QZ84f2ea318c182bb,220000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-07-28T14:32:00Z,2026-07-28T14:32:00Z,normal
ch_3QZ82d7f51e7cfdc27,120000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-07-23T16:04:00Z,2026-07-23T16:04:00Z,normal
ch_3QZ8fb01727c5080ba,300000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-08-12T13:20:00Z,2026-08-12T13:20:00Z,normal
ch_3QZ8a7375701335e65,180000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-07-26T12:03:00Z,2026-07-26T12:03:00Z,normal
ch_3QZ850783c4a613d6e,150000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-07-01T18:32:00Z,2026-07-01T18:32:00Z,normal
ch_3QZ821e7400b4e0f51,180000,usd,succeeded,paid,Cookbook progress shoot day,rebecca.a@saltandpress.com,2026-07-12T13:18:00Z,2026-07-12T13:18:00Z,normal
ch_3QZ8db522a3881be3c,220000,usd,succeeded,paid,Editorial half-day pitch,m.chen@edgewaterfoodjournal.com,2026-08-26T12:41:00Z,2026-08-26T12:41:00Z,normal
ch_3QZ8c53d8e591f064a,45000,usd,succeeded,paid,Cookbook progress shoot day,rebecca.a@saltandpress.com,2026-08-14T18:46:00Z,2026-08-14T18:46:00Z,normal
ch_3QZ84265362daeef37,80000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-07-20T14:30:00Z,2026-07-20T14:30:00Z,normal
ch_3QZ8ac2d9751f39c62,120000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-09-11T17:32:00Z,2026-09-11T17:32:00Z,normal
ch_3QZ827700b8c80e513,220000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-09-06T18:29:00Z,2026-09-06T18:29:00Z,normal
ch_3QZ88b0ef4bd5ac27b,300000,usd,succeeded,paid,Print storefront aggregate,collector@gmail.com,2026-09-14T18:21:00Z,2026-09-14T18:21:00Z,normal
ch_3QZ8d71804eae59f1a,45000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-07-18T09:24:00Z,2026-07-18T09:24:00Z,normal
ch_3QZ834d9c1615add33,150000,usd,succeeded,paid,Retainer monthly cadence,sophie.lindqvist@oatly.com,2026-08-28T11:52:00Z,2026-08-28T11:52:00Z,normal
ch_3QZ80dc4b516a112b9,150000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-08-01T15:47:00Z,2026-08-01T15:47:00Z,normal
ch_3QZ8e695bb4b7568c3,180000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-08-10T17:00:00Z,2026-08-10T17:00:00Z,normal
ch_3QZ82ba74c9de75431,180000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-07-15T16:53:00Z,2026-07-15T16:53:00Z,normal
ch_3QZ8b3071851c1ba9d,45000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-08-25T17:22:00Z,2026-08-25T17:22:00Z,normal
ch_3QZ853c2d911d06991,180000,usd,succeeded,paid,Retainer monthly cadence,sophie.lindqvist@oatly.com,2026-09-17T16:46:00Z,2026-09-17T16:46:00Z,normal
ch_3QZ85d5f162f95765b,120000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-08-02T18:39:00Z,2026-08-02T18:39:00Z,normal
ch_3QZ88e5344f16c1790,220000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-09-10T13:01:00Z,2026-09-10T13:01:00Z,normal
ch_3QZ8b899a596c6e0b8,120000,usd,succeeded,paid,Cookbook progress shoot day,rebecca.a@saltandpress.com,2026-07-16T14:01:00Z,2026-07-16T14:01:00Z,normal
ch_3QZ814608a7308a080,180000,usd,succeeded,paid,Print storefront aggregate,collector@gmail.com,2026-08-02T17:22:00Z,2026-08-02T17:22:00Z,normal
ch_3QZ88a50f733962ed5,300000,usd,succeeded,paid,Editorial half-day pitch,m.chen@edgewaterfoodjournal.com,2026-08-14T11:37:00Z,2026-08-14T11:37:00Z,normal
ch_3QZ8f8191fb8473b02,300000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-09-26T14:09:00Z,2026-09-26T14:09:00Z,normal
ch_3QZ8ef2aa33f01b395,220000,usd,succeeded,paid,Cookbook progress shoot day,rebecca.a@saltandpress.com,2026-09-05T18:45:00Z,2026-09-05T18:45:00Z,normal
ch_3QZ84155d3caf3b393,120000,usd,succeeded,paid,Editorial half-day pitch,m.chen@edgewaterfoodjournal.com,2026-09-03T16:32:00Z,2026-09-03T16:32:00Z,normal
ch_3QZ86babbd4fe1b70a,120000,usd,succeeded,paid,Retainer monthly cadence,sophie.lindqvist@oatly.com,2026-09-21T16:29:00Z,2026-09-21T16:29:00Z,normal
ch_3QZ8ea8d6521deae4f,220000,usd,succeeded,paid,Brand short-form deliverable,marcus@premixbrunch.com,2026-07-03T16:26:00Z,2026-07-03T16:26:00Z,normal
ch_3QZ8058a44365b97f8,220000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-09-19T17:39:00Z,2026-09-19T17:39:00Z,normal
ch_3QZ8b8eaf681d4ade2,300000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-09-28T18:52:00Z,2026-09-28T18:52:00Z,normal
ch_3QZ88ef7ff52ebd8bb,80000,usd,succeeded,paid,Print storefront aggregate,collector@gmail.com,2026-07-06T10:39:00Z,2026-07-06T10:39:00Z,normal
ch_3QZ8a348c649d43ab9,120000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-09-09T17:34:00Z,2026-09-09T17:34:00Z,normal
ch_3QZ8e15bd980306c26,45000,usd,succeeded,paid,Print storefront aggregate,collector@gmail.com,2026-07-09T11:36:00Z,2026-07-09T11:36:00Z,normal
ch_3QZ84055a8dab22f8f,180000,usd,succeeded,paid,Print storefront aggregate,collector@gmail.com,2026-09-20T18:06:00Z,2026-09-20T18:06:00Z,normal
ch_3QZ8e942c1e05551d7,120000,usd,succeeded,paid,Editorial premium day,priya.shah@tangerinemag.com,2026-09-11T12:05:00Z,2026-09-11T12:05:00Z,normal
