invoice_id,customer_name,customer_email,invoice_date,due_date,amount_usd,status,memo,linked_stripe_charge_id,linked_paypal_capture_id
INV-2026-0300,Tangerine Magazine,priya.shah@tangerinemag.com,2026-08-14,2026-08-28,2100,paid,Tangerine Magazine summer editorial day rate plus retoucher (Stripe charge mirror),ch_3QZ8tF2Lp7nXa01k,
INV-2026-0301,Estrela Restaurant,ana.moreira@gmail.com,2026-08-28,2026-09-11,1800,paid,Estrela seasonal menu reshoot half day plus expedite delivery (Stripe charge mirror),ch_3QZ8uG3Mq8oYa02l,
INV-2026-0302,Salt + Press,rebecca.a@saltandpress.com,2026-09-09,2026-09-23,1500,paid,Cookbook progress shoot day (Stripe charge mirror),ch_3QZ8vH4Nr9pZa03m,
INV-2026-0205,Salt + Press,rebecca.a@saltandpress.com,2026-08-20,2026-09-03,4000,paid,Cookbook M1 milestone PayPal,,PP-2026-08-20-001
INV-2026-0265,Salt + Press,rebecca.a@saltandpress.com,2026-09-20,2026-10-04,4000,paid,Cookbook M2 milestone PayPal,,PP-2026-09-20-001
INV-2026-1001,Sweetleaf Coffee,ar@sweetleaf.com,2026-07-21,2026-08-04,400,paid,Project line,,
INV-2026-1002,Stocksy licensee A,licensee.a@gmail.com,2026-07-22,2026-08-05,500,paid,Project line,,
INV-2026-1003,Edgewater Food Journal,m.chen@edgewaterfoodjournal.com,2026-07-08,2026-07-22,500,open,Project line,,
INV-2026-1004,Premix Brunch,marcus@premixbrunch.com,2026-09-12,2026-09-26,1800,open,Project line,,
INV-2026-1005,Hatch Beverages,brittany@hatchbev.co,2026-09-20,2026-10-04,3000,paid,Project line,,
INV-2026-1006,Tangerine Magazine,priya.shah@tangerinemag.com,2026-08-01,2026-08-15,2200,paid,Project line,,
INV-2026-1007,Oatly,sophie.lindqvist@oatly.com,2026-09-03,2026-09-17,500,paid,Project line,,
INV-2026-1008,Estrela Restaurant,ana.moreira@gmail.com,2026-09-22,2026-10-06,400,paid,Project line,,
INV-2026-1009,Sweetleaf Coffee,ar@sweetleaf.com,2026-09-10,2026-09-24,400,paid,Project line,,
INV-2026-1010,Hatch Beverages,brittany@hatchbev.co,2026-07-21,2026-08-04,800,paid,Project line,,
INV-2026-1011,Sweetleaf Coffee,ar@sweetleaf.com,2026-07-13,2026-07-27,2200,paid,Project line,,
INV-2026-1012,Praxa Fresh,devon.marsh@praxafresh.com,2026-07-16,2026-07-30,2200,paid,Project line,,
INV-2026-1013,Edgewater Food Journal,m.chen@edgewaterfoodjournal.com,2026-08-18,2026-09-01,800,paid,Project line,,
INV-2026-1014,Print buyer collective,collector@gmail.com,2026-07-14,2026-07-28,500,paid,Project line,,
INV-2026-1015,Sweetleaf Coffee,ar@sweetleaf.com,2026-07-05,2026-07-19,800,paid,Project line,,
INV-2026-1016,Stocksy licensee A,licensee.a@gmail.com,2026-09-17,2026-10-01,2200,paid,Project line,,
INV-2026-1017,Praxa Fresh,devon.marsh@praxafresh.com,2026-09-15,2026-09-29,400,void,Project line,,
INV-2026-1018,Stocksy licensee A,licensee.a@gmail.com,2026-09-27,2026-10-11,1200,paid,Project line,,
