name,email,sent
Mateo Rivera,mateo.rivera.design@gmail.com,yes
Linda and Howard Page,linda.h.page@gmail.com,yes
Kevin and Priya Page,kevin.page.dev@gmail.com,yes
Jess Williams,jess.williams.style@gmail.com,yes
Tomas Herrera,tomas@gmail.com,yes
Ana Moreira,ana.moreira@gmail.com,yes
Owen Hale (Estrela GM),owen.hale@estrela.nyc,yes
Diego Reyes (Estrela sous),diego.reyes@estrela.nyc,no
Ravi Krishnamurthy CPA,ravi.k.cpa@gmail.com,yes
Dr Ellen Park,office@wburghealth.com,no
Yuki Tanabe,yuki.tanabe.photo@gmail.com,yes
Priya Shah Tangerine,priya.shah@tangerinemag.com,yes
Elena Ruiz Tangerine,elena.ruiz@tangerinemag.com,yes
Jordan Park Tangerine,jordan.park@tangerinemag.com,no
Sophie Lindqvist Oatly,sophie.lindqvist@oatly.com,yes
Mira Castellanos Oatly,mira.castellanos@oatly.com,no
Rebecca Allenford Salt+Press,rebecca.a@saltandpress.com,yes
Lena Wright Salt+Press,lena.wright@saltandpress.com,no
Maria Carvalho (Prattfield 2014 cohort),mcarvalho.photo@gmail.com,yes
Daniel Yoon (Prattfield 2014 cohort),danielyoon.work@gmail.com,yes
Aisha Patel (Prattfield 2014 cohort),aisha.p.studio@gmail.com,no
Henrik Soto (Oatly legal),henrik.soto@oatly.com,no
Sweetleaf Bedford crew,bedford@sweetleafcoffee.com,no
Brooklyn Grange events team,events@brooklyngrange.com,no
Sokol Studio Rentals,hello@sokolstudio.com,no
Print Partners BK,orders@printpartnersbk.com,no
Adorama Pro Sales rep,prosales@adorama.com,no
Northside Market vendor relations,hello@northsidemarket.com,no
