id,first_name,last_name,email,username,role,billing_city,billing_country,is_paying_customer,date_created
0,Megan,Ortiz,megan.ortiz@gmail.com,user0,customer,Portland,US,true,2026-01-03T10:00:00
1,Priya,Shah,priya.shah@outlook.com,user1,customer,Portland,US,true,2026-01-03T10:00:00
2,Caleb,Duncan,caleb.duncan@gmail.com,user2,customer,Portland,US,true,2026-01-03T10:00:00
3,Ruth,Alvarez,ruth.alvarez@yahoo.com,user3,customer,Portland,US,true,2026-01-03T10:00:00
4,Derek,Chan,derek.chan@gmail.com,user4,customer,Portland,US,true,2026-01-03T10:00:00
5,Nina,Coleman,nina.coleman@gmail.com,user5,customer,Portland,US,true,2026-01-03T10:00:00
3006,Pia,Tate,pia.tate6nb@gmail.com,piatate6,customer,Norman,US,true,2026-09-28T20:01:00-05:00
3007,Piper,Carr,piper.carr7nb@outlook.com,pipercarr7,customer,Edmond,US,false,2026-01-06T06:20:00-05:00
3008,Ella,Ellis,ella.ellis8nb@yahoo.com,ellaellis8,customer,Owasso,US,false,2026-01-23T13:27:00-05:00
3009,Vince,Jones,vince.jones9nb@icloud.com,vincejones9,customer,Stillwater,US,true,2026-06-02T23:47:00-05:00
3010,Ruth,Hart,ruth.hart10nb@proton.me,ruthhart10,customer,Bixby,US,true,2026-06-05T10:07:00-05:00
3011,Greta,York,greta.york11nb@proton.me,gretayork11,customer,Muskogee,US,false,2026-05-20T23:10:00-05:00
3012,Jack,Hale,jack.hale12nb@yahoo.com,jackhale12,customer,Tulsa,US,false,2026-08-24T13:11:00-05:00
3013,Gwen,Meyer,gwen.meyer13nb@proton.me,gwenmeyer13,customer,Muskogee,US,true,2026-03-25T23:17:00-05:00
3014,Willa,Ford,willa.ford14nb@gmail.com,willaford14,customer,Broken Arrow,US,true,2026-03-06T22:01:00-05:00
3015,Gwen,Hart,gwen.hart15nb@icloud.com,gwenhart15,customer,Jenks,US,true,2026-02-28T16:01:00-05:00
3016,Lena,Irwin,lena.irwin16nb@icloud.com,lenairwin16,customer,Edmond,US,false,2026-09-25T16:55:00-05:00
3017,Zeke,Jones,zeke.jones17nb@outlook.com,zekejones17,customer,Tulsa,US,false,2026-02-03T23:51:00-05:00
3018,Lena,Frost,lena.frost18nb@yahoo.com,lenafrost18,customer,Owasso,US,true,2026-06-18T06:50:00-05:00
3019,Ana,Kerr,ana.kerr19nb@gmail.com,anakerr19,customer,Tulsa,US,true,2026-03-11T03:11:00-05:00
3020,Ivy,Adams,ivy.adams20nb@icloud.com,ivyadams20,customer,Jenks,US,true,2026-04-02T09:08:00-05:00
3021,Finn,Diaz,finn.diaz21nb@icloud.com,finndiaz21,customer,Muskogee,US,true,2026-01-17T10:18:00-05:00
3022,Yara,Carr,yara.carr22nb@hey.com,yaracarr22,customer,Muskogee,US,false,2026-07-15T04:49:00-05:00
3023,Ned,Tate,ned.tate23nb@icloud.com,nedtate23,customer,Edmond,US,false,2026-01-24T19:14:00-05:00
3024,Zeke,Quill,zeke.quill24nb@icloud.com,zekequill24,customer,Bixby,US,true,2026-02-14T00:14:00-05:00
3025,Tessa,Meyer,tessa.meyer25nb@proton.me,tessameyer25,customer,Sand Springs,US,false,2026-07-25T01:49:00-05:00
3026,Ana,York,ana.york26nb@proton.me,anayork26,customer,Broken Arrow,US,true,2026-09-05T19:53:00-05:00
3027,Ned,Ellis,ned.ellis27nb@yahoo.com,nedellis27,customer,Tulsa,US,true,2026-06-01T10:08:00-05:00
3028,Willa,Irwin,willa.irwin28nb@yahoo.com,willairwin28,customer,Edmond,US,true,2026-04-04T07:54:00-05:00
3029,Ned,Salt,ned.salt29nb@outlook.com,nedsalt29,customer,Bixby,US,false,2026-09-05T14:11:00-05:00
3030,Pia,Booth,pia.booth30nb@yahoo.com,piabooth30,customer,Stillwater,US,false,2026-06-05T12:26:00-05:00
3031,Ben,Ellis,ben.ellis31nb@icloud.com,benellis31,customer,Sand Springs,US,true,2026-04-26T06:22:00-05:00
3032,Gwen,York,gwen.york32nb@gmail.com,gwenyork32,customer,Broken Arrow,US,true,2026-05-02T22:01:00-05:00
3033,Lena,Tate,lena.tate33nb@outlook.com,lenatate33,customer,Stillwater,US,false,2026-04-07T15:25:00-05:00
3034,Ana,Ames,ana.ames34nb@outlook.com,anaames34,customer,Sand Springs,US,true,2026-02-15T20:03:00-05:00
3035,Lena,Gray,lena.gray35nb@proton.me,lenagray35,customer,Stillwater,US,false,2026-04-23T21:13:00-05:00
3036,Uma,Gray,uma.gray36nb@hey.com,umagray36,customer,Tulsa,US,true,2026-06-20T01:15:00-05:00
3037,Ana,Quill,ana.quill37nb@hey.com,anaquill37,customer,Owasso,US,false,2026-07-26T21:52:00-05:00
3038,Sam,Frost,sam.frost38nb@proton.me,samfrost38,customer,Tulsa,US,true,2026-09-10T13:17:00-05:00
3039,Tessa,Kane,tessa.kane39nb@icloud.com,tessakane39,customer,Muskogee,US,false,2026-03-10T11:13:00-05:00
3040,Jack,Boone,jack.boone40nb@hey.com,jackboone40,customer,Sand Springs,US,false,2026-02-06T07:11:00-05:00
3041,Zeke,Hale,zeke.hale41nb@gmail.com,zekehale41,customer,Broken Arrow,US,true,2026-06-05T01:47:00-05:00
3042,Jack,Ellis,jack.ellis42nb@outlook.com,jackellis42,customer,Muskogee,US,false,2026-02-02T02:17:00-05:00
3043,Cara,Jones,cara.jones43nb@yahoo.com,carajones43,customer,Broken Arrow,US,true,2026-08-18T20:09:00-05:00
3044,Opal,Doss,opal.doss44nb@gmail.com,opaldoss44,customer,Owasso,US,false,2026-02-25T04:31:00-05:00
3045,Zeke,Doss,zeke.doss45nb@proton.me,zekedoss45,customer,Jenks,US,true,2026-04-13T07:10:00-05:00
3046,Finn,Hart,finn.hart46nb@icloud.com,finnhart46,customer,Sand Springs,US,false,2026-02-23T00:36:00-05:00
3047,Willa,Ober,willa.ober47nb@icloud.com,willaober47,customer,Broken Arrow,US,true,2026-04-22T17:21:00-05:00
3048,Milo,Doss,milo.doss48nb@yahoo.com,milodoss48,customer,Edmond,US,false,2026-06-05T19:56:00-05:00
3049,Liam,Boone,liam.boone49nb@hey.com,liamboone49,customer,Bixby,US,true,2026-01-03T15:40:00-05:00
3050,Willa,Nash,willa.nash50nb@gmail.com,willanash50,customer,Edmond,US,false,2026-07-02T16:04:00-05:00
3051,Jack,Kane,jack.kane51nb@icloud.com,jackkane51,customer,Bixby,US,false,2026-08-08T04:15:00-05:00
3052,Liam,Salt,liam.salt52nb@yahoo.com,liamsalt52,customer,Norman,US,true,2026-02-09T03:34:00-05:00
3053,Liam,Ellis,liam.ellis53nb@icloud.com,liamellis53,customer,Broken Arrow,US,true,2026-01-28T15:34:00-05:00
3054,Liam,Cann,liam.cann54nb@proton.me,liamcann54,customer,Tulsa,US,false,2026-06-21T09:14:00-05:00
3055,Cara,Ford,cara.ford55nb@yahoo.com,caraford55,customer,Bixby,US,false,2026-02-26T07:16:00-05:00
3056,Liam,Doss,liam.doss56nb@outlook.com,liamdoss56,customer,Edmond,US,false,2026-09-15T02:54:00-05:00
3057,Yara,Boone,yara.boone57nb@proton.me,yaraboone57,customer,Bixby,US,true,2026-03-03T03:41:00-05:00
3058,Cyrus,Salt,cyrus.salt58nb@outlook.com,cyrussalt58,customer,Norman,US,true,2026-02-18T02:51:00-05:00
3059,Sam,Jones,sam.jones59nb@proton.me,samjones59,customer,Muskogee,US,true,2026-05-14T13:44:00-05:00
3060,Xander,Jones,xander.jones60nb@yahoo.com,xanderjones60,customer,Stillwater,US,false,2026-02-21T22:22:00-05:00
3061,Greta,York,greta.york61nb@gmail.com,gretayork61,customer,Tulsa,US,true,2026-09-03T10:58:00-05:00
3062,Opal,Kerr,opal.kerr62nb@hey.com,opalkerr62,customer,Owasso,US,false,2026-02-13T19:01:00-05:00
