id,dealname,pipeline,dealstage,amount,closedate,dealtype,associated_company,associated_contact,createdate,lastmodifieddate
hs-deal-001,Balogun Q1 2027 Tamarind Stout - 480 cases,pl-distribution,ds-distribution-02,7200000,2026-11-30T00:00:00Z,existingbusiness,hs-company-002,hs-contact-002,2026-11-12T13:05:00Z,2026-11-12T14:00:00Z
hs-deal-002,BrauKon 15-Barrel Unitank + CIP,pl-distribution,ds-distribution-02,268400,2027-01-15T00:00:00Z,existingbusiness,hs-company-003,hs-contact-003,2026-04-20T09:00:00Z,2026-11-13T10:50:00Z
hs-deal-003,Enugu Trade Amendment 2026,pl-distribution,ds-distribution-02,0,2026-11-30T00:00:00Z,existingbusiness,hs-company-002,hs-contact-002,2026-11-11T14:30:00Z,2026-11-11T14:30:00Z
hs-deal-uni-001,Imperial College London - Chemical Engineering,pl-uni-rohan,ds-uni-06,40500,2027-10-15T00:00:00Z,newbusiness,hs-company-006,hs-contact-006,2026-10-05T09:00:00Z,2026-11-05T11:20:00Z
hs-deal-uni-002,BITS Pilani - Chemical Engineering (International),pl-uni-rohan,ds-uni-04,12500,2027-06-30T00:00:00Z,newbusiness,hs-company-007,hs-contact-007,2026-10-06T09:00:00Z,2026-11-08T06:30:00Z
hs-deal-uni-003,Caltech - Chemical Engineering,pl-uni-rohan,ds-uni-03,63400,2027-01-03T00:00:00Z,newbusiness,hs-company-008,hs-contact-008,2026-10-07T09:00:00Z,2026-11-06T19:05:00Z
hs-deal-uni-004,Waterloo - Chemical Engineering (Coop),pl-uni-rohan,ds-uni-04,42500,2027-02-01T00:00:00Z,newbusiness,hs-company-009,hs-contact-009,2026-10-08T09:00:00Z,2026-11-08T21:10:00Z
hs-deal-uni-005,Purdue - Chemical Engineering,pl-uni-rohan,ds-uni-04,32000,2027-01-15T00:00:00Z,newbusiness,hs-company-010,hs-contact-010,2026-10-09T09:00:00Z,2026-11-14T22:00:00Z
hs-deal-uni-006,University of Lagos - Chemical Engineering,pl-uni-rohan,ds-uni-05,850000,2027-07-30T00:00:00Z,newbusiness,hs-company-011,,2026-10-08T09:00:00Z,2026-10-08T09:00:00Z
hs-deal-uni-007,IIT Madras - Chemical Engineering (DASA),pl-uni-rohan,ds-uni-03,32000,2027-05-31T00:00:00Z,newbusiness,hs-company-012,,2026-10-10T09:00:00Z,2026-10-10T09:00:00Z
