sf_account_id,name_or_org,last_gift_year,last_gift_amount_usd,tags_primary,tags_secondary,notes,external_trust_id,last_contact_ts
SF-LEG-0042,Marie Hollingsworth Estate,2019,12500,Shelby County Heritage Foundation,1968-fund-drive;mitchell-circle,Gave alongside Ruthie Mitchell at 1968 community fund drive.,RMME-1968-TRUST-042,2026-08-22T14:00:00-05:00
SF-LEG-0073,Walter Pickens Estate,2017,8000,Shelby County Heritage Foundation,1971-voter-drive;co-organizer-with-ruthie,Surviving spouse Audrey Pickens at audrey.pickens.bessemer@gmail.com is the active contact for legacy-touch communication.,,2026-07-14T10:30:00-05:00
SF-LEG-0108,First Bethel AME Church Board (Institutional),2024,5000,Shelby County Heritage Foundation,ruthie-board-member-1969-1974,Ruthie sat on this board 1969-1974.,,2026-09-05T11:45:00-05:00
SF-LEG-0015,Hattie Coleman Estate (Vestavia),2021,3500,Shelby County Heritage Foundation,vestavia-era-1990s,"Vestavia Hills donor, joined SCHF rolls in 1992. No 1960s connection.",,2026-06-10T09:00:00-05:00
SF-LEG-0029,Vernon Bradshaw,2022,2800,Shelby County Heritage Foundation,mountain-brook-era-1980s,"Mountain Brook resident, gave through SCHF 1985 onward. No Ruthie crossover.",,2026-06-10T09:00:00-05:00
SF-LEG-0051,Coleman and Sons Hardware,2020,5500,Shelby County Heritage Foundation,small-business-program,"Small-business sustaining sponsor 1992-2018, retired program.",,2026-06-10T09:00:00-05:00
SF-LEG-0064,Eunice Tatum-Greene,2018,1500,Shelby County Heritage Foundation,1990s-2000s-donor,Annual donor 1996-2018. Note: distinct from First Bethel AME contact Eunice Tatum-Greene who serves as board secretary.,,2026-06-10T09:00:00-05:00
SF-LEG-0079,Hoover Civic Association,2021,4200,Shelby County Heritage Foundation,institutional-1985+,Hoover Civic Association joined SCHF 1985. No 1960s linkage.,,2026-06-10T09:00:00-05:00
SF-LEG-0091,Marcellus Lawson Memorial Fund,2023,3000,Shelby County Heritage Foundation,memorial-fund-1992+,"Memorial fund created 1992. Mr. Lawson born 1955, no Ruthie-era overlap.",,2026-06-10T09:00:00-05:00
SF-LEG-0103,Beulah Heights Improvement Club,2017,2200,Shelby County Heritage Foundation,civic-club-1980s,"Civic club active 1980s, registered SCHF 1989.",,2026-06-10T09:00:00-05:00
SF-LEG-0115,Pickens-Riley Real Estate LLC,2024,1800,Shelby County Heritage Foundation,modern-business-2008+,Surname match only. LLC registered 2008. No genealogical link to Walter Pickens.,,2026-06-10T09:00:00-05:00
SF-LEG-0119,Shelby Heritage Quarterly subscription,2025,120,Shelby County Heritage Foundation,publication-subscription,"Annual subscription, not a donor relationship.",,2026-06-10T09:00:00-05:00
SF-LEG-0200,Eleanor Whitcomb Estate,2015,500,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-01T10:00:00-05:00
SF-LEG-0201,Roosevelt Drummond,2016,573,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-02T10:00:00-05:00
SF-LEG-0202,Mabel Beaumont,2017,646,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-03T10:00:00-05:00
SF-LEG-0203,Charles Fleming,2018,719,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-04T10:00:00-05:00
SF-LEG-0204,Hazel Ingram Estate,2019,792,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-05T10:00:00-05:00
SF-LEG-0205,Otis Linwood,2020,865,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-06T10:00:00-05:00
SF-LEG-0206,Pearl Osterman,2021,938,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-07T10:00:00-05:00
SF-LEG-0207,Lemuel Ravenscroft,2022,1011,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-08T10:00:00-05:00
SF-LEG-0208,Wilma Underwood Estate,2023,1084,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-09T10:00:00-05:00
SF-LEG-0209,Harold Yardley,2024,1157,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-10T10:00:00-05:00
SF-LEG-0210,Ida Whitcomb,2025,1230,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-11T10:00:00-05:00
SF-LEG-0211,Calvin Drummond,2015,1303,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-12T10:00:00-05:00
SF-LEG-0212,Beatrice Beaumont Estate,2016,1376,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-13T10:00:00-05:00
SF-LEG-0213,Floyd Fleming,2017,1449,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-14T10:00:00-05:00
SF-LEG-0214,Della Ingram,2018,1522,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-15T10:00:00-05:00
SF-LEG-0215,Hubert Linwood,2019,1595,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-16T10:00:00-05:00
SF-LEG-0216,Velma Osterman Estate,2020,1668,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-17T10:00:00-05:00
SF-LEG-0217,Edgar Ravenscroft,2021,1741,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-18T10:00:00-05:00
SF-LEG-0218,Cora Underwood,2022,1814,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-19T10:00:00-05:00
SF-LEG-0219,Wendell Yardley,2023,1887,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-20T10:00:00-05:00
SF-LEG-0220,Lula Whitcomb Estate,2024,1960,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-21T10:00:00-05:00
SF-LEG-0221,Curtis Drummond,2025,2033,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-22T10:00:00-05:00
SF-LEG-0222,Inez Beaumont,2015,2106,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-23T10:00:00-05:00
SF-LEG-0223,Earnest Fleming,2016,2179,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-24T10:00:00-05:00
SF-LEG-0224,Ruby Ingram Estate,2017,2252,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-25T10:00:00-05:00
SF-LEG-0225,Jasper Linwood,2018,2325,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-26T10:00:00-05:00
SF-LEG-0226,Etta Osterman,2019,2398,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-27T10:00:00-05:00
SF-LEG-0227,Murray Ravenscroft,2020,2471,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-01T10:00:00-05:00
SF-LEG-0228,Nellie Underwood Estate,2021,2544,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-02T10:00:00-05:00
SF-LEG-0229,Percy Yardley,2022,2617,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-03T10:00:00-05:00
SF-LEG-0230,Eleanor Whitcomb,2023,2690,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-04T10:00:00-05:00
SF-LEG-0231,Roosevelt Drummond,2024,2763,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-05T10:00:00-05:00
SF-LEG-0232,Mabel Beaumont Estate,2025,2836,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-06T10:00:00-05:00
SF-LEG-0233,Charles Fleming,2015,2909,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-07T10:00:00-05:00
SF-LEG-0234,Hazel Ingram,2016,2982,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-08T10:00:00-05:00
SF-LEG-0235,Otis Linwood,2017,3055,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-09T10:00:00-05:00
SF-LEG-0236,Pearl Osterman Estate,2018,3128,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-10T10:00:00-05:00
SF-LEG-0237,Lemuel Ravenscroft,2019,3201,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-11T10:00:00-05:00
SF-LEG-0238,Wilma Underwood,2020,3274,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-12T10:00:00-05:00
SF-LEG-0239,Harold Yardley,2021,3347,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-13T10:00:00-05:00
SF-LEG-0240,Ida Whitcomb Estate,2022,3420,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-14T10:00:00-05:00
