rehearsal_date	member	status
2026-08-06	Jennifer C.	late
2026-08-06	Rita H.	present
2026-08-06	Marguerite S.	present
2026-08-06	Kenya A.	absent
2026-08-06	Tamika R.	present
2026-08-06	Yvette H.	late
2026-08-06	Daniel P.	absent
2026-08-06	Tomas R.	present
2026-08-06	Rachel B.	late
2026-08-06	Deon M.	present
2026-08-06	Olivia P.	present
2026-08-06	Bernice T.	present
2026-08-06	Stanley G.	present
2026-08-06	Coleen W.	present
2026-08-06	Janelle F.	present
2026-08-06	Vernon L.	late
2026-08-13	Jennifer C.	present
2026-08-13	Rita H.	absent
2026-08-13	Marguerite S.	present
2026-08-13	Kenya A.	absent
2026-08-13	Tamika R.	present
2026-08-13	Yvette H.	present
2026-08-13	Daniel P.	late
2026-08-13	Tomas R.	absent
2026-08-13	Rachel B.	present
2026-08-13	Deon M.	present
2026-08-13	Olivia P.	present
2026-08-13	Bernice T.	late
2026-08-13	Stanley G.	present
2026-08-13	Coleen W.	present
2026-08-13	Janelle F.	late
2026-08-13	Vernon L.	absent
2026-08-20	Jennifer C.	present
2026-08-20	Rita H.	present
2026-08-20	Marguerite S.	present
2026-08-20	Kenya A.	present
2026-08-20	Tamika R.	present
2026-08-20	Yvette H.	present
2026-08-20	Daniel P.	present
2026-08-20	Tomas R.	present
2026-08-20	Rachel B.	absent
2026-08-20	Deon M.	present
2026-08-20	Olivia P.	present
2026-08-20	Bernice T.	present
2026-08-20	Stanley G.	present
2026-08-20	Coleen W.	absent
2026-08-20	Janelle F.	present
2026-08-20	Vernon L.	absent
2026-08-27	Jennifer C.	present
2026-08-27	Rita H.	absent
2026-08-27	Marguerite S.	late
2026-08-27	Kenya A.	present
2026-08-27	Tamika R.	present
2026-08-27	Yvette H.	present
2026-08-27	Daniel P.	present
2026-08-27	Tomas R.	absent
2026-08-27	Rachel B.	present
2026-08-27	Deon M.	present
2026-08-27	Olivia P.	present
2026-08-27	Bernice T.	present
2026-08-27	Stanley G.	present
2026-08-27	Coleen W.	absent
2026-08-27	Janelle F.	present
2026-08-27	Vernon L.	present
2026-09-03	Jennifer C.	present
2026-09-03	Rita H.	late
2026-09-03	Marguerite S.	present
2026-09-03	Kenya A.	present
2026-09-03	Tamika R.	present
2026-09-03	Yvette H.	late
2026-09-03	Daniel P.	present
2026-09-03	Tomas R.	present
2026-09-03	Rachel B.	present
2026-09-03	Deon M.	present
2026-09-03	Olivia P.	absent
2026-09-03	Bernice T.	present
2026-09-03	Stanley G.	absent
2026-09-03	Coleen W.	absent
2026-09-03	Janelle F.	present
2026-09-03	Vernon L.	present
2026-09-10	Jennifer C.	present
2026-09-10	Rita H.	present
2026-09-10	Marguerite S.	present
2026-09-10	Kenya A.	late
2026-09-10	Tamika R.	present
2026-09-10	Yvette H.	late
2026-09-10	Daniel P.	present
2026-09-10	Tomas R.	present
2026-09-10	Rachel B.	present
2026-09-10	Deon M.	present
2026-09-10	Olivia P.	present
2026-09-10	Bernice T.	present
2026-09-10	Stanley G.	present
2026-09-10	Coleen W.	present
2026-09-10	Janelle F.	present
2026-09-10	Vernon L.	present
2026-09-17	Jennifer C.	present
2026-09-17	Rita H.	absent
2026-09-17	Marguerite S.	absent
2026-09-17	Kenya A.	absent
2026-09-17	Tamika R.	late
2026-09-17	Yvette H.	present
2026-09-17	Daniel P.	late
2026-09-17	Tomas R.	absent
2026-09-17	Rachel B.	late
2026-09-17	Deon M.	late
2026-09-17	Olivia P.	present
2026-09-17	Bernice T.	late
2026-09-17	Stanley G.	present
2026-09-17	Coleen W.	present
2026-09-17	Janelle F.	present
2026-09-17	Vernon L.	present
2026-09-24	Jennifer C.	present
2026-09-24	Rita H.	late
2026-09-24	Marguerite S.	present
2026-09-24	Kenya A.	present
2026-09-24	Tamika R.	present
2026-09-24	Yvette H.	present
2026-09-24	Daniel P.	present
2026-09-24	Tomas R.	late
2026-09-24	Rachel B.	present
2026-09-24	Deon M.	present
2026-09-24	Olivia P.	late
2026-09-24	Bernice T.	present
2026-09-24	Stanley G.	present
2026-09-24	Coleen W.	present
2026-09-24	Janelle F.	absent
2026-09-24	Vernon L.	present
