order_id,order_date,delivery_address,total_usd,items_count,store_name,payment_method,driver_name,tip_usd,notes
INST-20260007,2026-04-06,"428 Wisteria Lane, Bessemer, AL 35020",185,18,Publix Greensprings,Visa ending 3349,Mr. Frank Calloway,12.95,Spring greens basket plus allergy meds refill
INST-20260014,2026-04-09,"428 Wisteria Lane, Bessemer, AL 35020",192,19,Piggly Wiggly Bessemer,Mastercard ending 7711,Ms. Tasha Greer,13.44,"Standard biweekly run, groceries plus pharmacy"
INST-20260021,2026-04-12,"428 Wisteria Lane, Bessemer, AL 35020",208,20,Whole Foods Mountain Brook,Visa ending 3349,Mr. Anthony Boyd,14.56,"Standard biweekly run, groceries plus pharmacy"
INST-20260028,2026-04-16,"428 Wisteria Lane, Bessemer, AL 35020",197,21,Aldi Hoover,Mastercard ending 7711,Ms. Lakeisha Norwood,13.79,Standard biweekly run plus a small box of strawberries Mama wanted
INST-20260035,2026-04-19,"428 Wisteria Lane, Bessemer, AL 35020",214,22,Walmart Neighborhood Market Bessemer,Visa ending 3349,Mr. Devon Whitmore,14.98,"Standard biweekly run, groceries plus pharmacy"
INST-20260042,2026-04-22,"428 Wisteria Lane, Bessemer, AL 35020",188,23,Publix Greensprings,Mastercard ending 7711,Ms. Carla Ervin,13.16,"Quiet week, mostly pantry replenish"
INST-20260049,2026-04-25,"428 Wisteria Lane, Bessemer, AL 35020",203,18,Piggly Wiggly Bessemer,Visa ending 3349,Mr. Sterling Hayes,14.21,"Standard biweekly run, groceries plus pharmacy"
INST-20260056,2026-04-30,"428 Wisteria Lane, Bessemer, AL 35020",216,19,Whole Foods Mountain Brook,Mastercard ending 7711,Ms. Renee Vail,15.12,"Easter weekend, ham and side ingredients"
INST-20260063,2026-05-03,"428 Wisteria Lane, Bessemer, AL 35020",179,20,Aldi Hoover,Visa ending 3349,Mr. Frank Calloway,12.53,"Lighter week, Mama said freezer is full"
INST-20260070,2026-05-06,"428 Wisteria Lane, Bessemer, AL 35020",199,21,Walmart Neighborhood Market Bessemer,Mastercard ending 7711,Ms. Tasha Greer,13.93,"Standard biweekly run, groceries plus pharmacy"
INST-20260077,2026-05-09,"428 Wisteria Lane, Bessemer, AL 35020",211,22,Publix Greensprings,Visa ending 3349,Mr. Anthony Boyd,14.77,Mother's Day flowers and a cake from the bakery
