message_id,conversation_id,direction,from_wa_id,to_wa_id,type,text,template_name,status,sent_at
wam_001,conv_celeste,inbound,15552910,ralph,text,Keep the 6th clear for the opening. Caterer needs a head count by the 30th.,,delivered,2026-10-15T19:20:00Z
wam_002,conv_margaret,inbound,15551108,ralph,text,Still coming Saturday morning? Coffee on.,,delivered,2026-10-15T17:00:00Z
wam_003,conv_eileen,inbound,15552156,ralph,text,I can take the Saturday visit if Thompson prep runs over.,,delivered,2026-10-15T16:00:00Z
wam_4003,conv_303,outbound,15553345,15550100,text,Arceneaux msg 3,,sent,2025-10-13T12:20:00Z
wam_4004,conv_304,inbound,15553344,15550100,text,Fontaine msg 4,,delivered,2025-10-13T12:26:40Z
wam_4005,conv_305,outbound,1555205,15550100,text,Guidry msg 5,,read,2025-10-13T12:33:20Z
wam_4006,conv_306,inbound,1555206,15550100,text,Hebert msg 6,,sent,2025-10-13T12:40:00Z
wam_4007,conv_307,outbound,1555207,15550100,text,Landry msg 7,,delivered,2025-10-13T12:46:40Z
wam_4008,conv_308,inbound,1555208,15550100,text,Maddox msg 8,,read,2025-10-13T12:53:20Z
wam_4009,conv_309,outbound,1555209,15550100,text,Naquin msg 9,,sent,2025-10-13T13:00:00Z
wam_4010,conv_310,inbound,1555210,15550100,text,Ortega msg 10,,delivered,2025-10-13T13:06:40Z
wam_4011,conv_311,outbound,1555211,15550100,text,Prejean msg 11,,read,2025-10-13T13:13:20Z
wam_4012,conv_312,inbound,1555212,15550100,text,Robicheaux msg 12,,sent,2025-10-13T13:20:00Z
wam_4013,conv_313,outbound,1555213,15550100,text,Savoy msg 13,,delivered,2025-10-13T13:26:40Z
wam_4014,conv_314,inbound,1555214,15550100,text,Trahan msg 14,,read,2025-10-13T13:33:20Z
wam_4015,conv_315,outbound,1555215,15550100,text,Vidrine msg 15,,sent,2025-10-13T13:40:00Z
wam_4016,conv_316,inbound,1555216,15550100,text,Whitfield msg 16,,delivered,2025-10-13T13:46:40Z
wam_4017,conv_317,outbound,1555217,15550100,text,Aucoin msg 17,,read,2025-10-13T13:53:20Z
wam_4018,conv_318,inbound,1555218,15550100,text,Babineaux msg 18,,sent,2025-10-13T14:00:00Z
wam_4019,conv_319,outbound,1555219,15550100,text,Comeaux msg 19,,delivered,2025-10-13T14:06:40Z
wam_4020,conv_celeste,inbound,1555220,15550100,text,Thompson msg 20,,read,2025-10-13T14:13:20Z
wam_4021,conv_margaret,outbound,1555221,15550100,text,Delacroix msg 21,,sent,2025-10-13T14:20:00Z
wam_4022,conv_eileen,inbound,1555222,15550100,text,Boudreaux msg 22,,delivered,2025-10-13T14:26:40Z
wam_4023,conv_303,outbound,1555223,15550100,text,Arceneaux msg 23,,read,2025-10-13T14:33:20Z
wam_4024,conv_304,inbound,15552910,15550100,text,Fontaine msg 24,,sent,2025-10-13T14:40:00Z
wam_4025,conv_305,outbound,15551108,15550100,text,Guidry msg 25,,delivered,2025-10-13T14:46:40Z
wam_4026,conv_306,inbound,15552156,15550100,text,Hebert msg 26,,read,2025-10-13T14:53:20Z
wam_4027,conv_307,outbound,15553345,15550100,text,Landry msg 27,,sent,2025-10-13T15:00:00Z
wam_4028,conv_308,inbound,15553344,15550100,text,Maddox msg 28,,delivered,2025-10-13T15:06:40Z
wam_4029,conv_309,outbound,1555205,15550100,text,Naquin msg 29,,read,2025-10-13T15:13:20Z
wam_4030,conv_310,inbound,1555206,15550100,text,Ortega msg 30,,sent,2025-10-13T15:20:00Z
wam_4031,conv_311,outbound,1555207,15550100,text,Prejean msg 31,,delivered,2025-10-13T15:26:40Z
wam_4032,conv_312,inbound,1555208,15550100,text,Robicheaux msg 32,,read,2025-10-13T15:33:20Z
wam_4033,conv_313,outbound,1555209,15550100,text,Savoy msg 33,,sent,2025-10-13T15:40:00Z
wam_4034,conv_314,inbound,1555210,15550100,text,Trahan msg 34,,delivered,2025-10-13T15:46:40Z
wam_4035,conv_315,outbound,1555211,15550100,text,Vidrine msg 35,,read,2025-10-13T15:53:20Z
wam_4036,conv_316,inbound,1555212,15550100,text,Whitfield msg 36,,sent,2025-10-13T16:00:00Z
wam_4037,conv_317,outbound,1555213,15550100,text,Aucoin msg 37,,delivered,2025-10-13T16:06:40Z
wam_4038,conv_318,inbound,1555214,15550100,text,Babineaux msg 38,,read,2025-10-13T16:13:20Z
wam_4039,conv_319,outbound,1555215,15550100,text,Comeaux msg 39,,sent,2025-10-13T16:20:00Z
