conversation_id,wa_id,started_at,last_message_at,origin,within_24h_window
conv_celeste,15552910,2026-10-15T19:00:00Z,2026-10-16T20:00:00Z,user,true
conv_margaret,15551108,2026-10-15T17:00:00Z,2026-10-16T18:00:00Z,user,true
conv_eileen,15552156,2026-10-15T16:00:00Z,2026-10-16T16:00:00Z,user,true
conv_303,15553345,2025-10-12T13:30:00Z,2025-10-13T13:30:00Z,user_initiated,true
conv_304,15553344,2025-10-12T14:00:00Z,2025-10-13T14:00:00Z,business_initiated,false
conv_305,1555205,2025-10-12T14:30:00Z,2025-10-13T14:30:00Z,user_initiated,true
conv_306,1555206,2025-10-12T15:00:00Z,2025-10-13T15:00:00Z,business_initiated,false
conv_307,1555207,2025-10-12T15:30:00Z,2025-10-13T15:30:00Z,user_initiated,true
conv_308,1555208,2025-10-12T16:00:00Z,2025-10-13T16:00:00Z,business_initiated,false
conv_309,1555209,2025-10-12T16:30:00Z,2025-10-13T16:30:00Z,user_initiated,true
conv_310,1555210,2025-10-12T17:00:00Z,2025-10-13T17:00:00Z,business_initiated,false
conv_311,1555211,2025-10-12T17:30:00Z,2025-10-13T17:30:00Z,user_initiated,true
conv_312,1555212,2025-10-12T18:00:00Z,2025-10-13T18:00:00Z,business_initiated,false
conv_313,1555213,2025-10-12T18:30:00Z,2025-10-13T18:30:00Z,user_initiated,true
conv_314,1555214,2025-10-12T19:00:00Z,2025-10-13T19:00:00Z,business_initiated,false
conv_315,1555215,2025-10-12T19:30:00Z,2025-10-13T19:30:00Z,user_initiated,true
conv_316,1555216,2025-10-12T20:00:00Z,2025-10-13T20:00:00Z,business_initiated,false
conv_317,1555217,2025-10-12T20:30:00Z,2025-10-13T20:30:00Z,user_initiated,true
conv_318,1555218,2025-10-12T21:00:00Z,2025-10-13T21:00:00Z,business_initiated,false
conv_319,1555219,2025-10-12T21:30:00Z,2025-10-13T21:30:00Z,user_initiated,true
