Party	Side	Count	RSVP	Meal	Dietary_Flag
Mike and Linda Torres	Groom	2	Yes	Plated dinner	None
Rose Torres	Groom	1	Yes	Plated dinner	Soft texture
Jake Torres	Groom party	1	Yes	Plated dinner	None
Tyler Torres	Groom	1	Yes	Plated dinner	None
Chris Parker	Groom party	2	Yes	Plated dinner	None
Diane Bennett	Bride	1	Yes	Plated dinner	Vegetarian
Dr. Sarah Kim	Groom	2	Pending	Plated dinner	None
Lakewood team	Groom	6	Pending	Plated dinner	One gluten free
Bennett relatives	Bride	18	Pending	Plated dinner	Two vegetarian
Torres relatives	Groom	22	Pending	Plated dinner	None
