Player	Age	Position	Goals	Assists
Aiden M.	11	Forward	9	4
Lucas R.	12	Midfield	6	7
Mateo S.	10	Defender	1	2
Noah K.	11	Forward	8	3
Eli T.	12	Goalkeeper	0	0
Owen B.	10	Midfield	4	5
Jayden H.	11	Defender	2	1
Caleb F.	12	Forward	7	6
Diego A.	10	Midfield	3	4
Hassan Z.	11	Defender	1	0
Liam P.	12	Forward	5	2
Ethan G.	10	Midfield	2	3
Sami D.	11	Defender	0	1
Ryan C.	12	Forward	4	2
Omar Y.	10	Goalkeeper	0	0
Tariq N.	11	Midfield	3	5
TEAM TOTAL	16		55	45
Head Coach	David Hayes			
Assistant Coach	Joe Fakhoury			
