id,subject,from_name,from_address,to_name,to_address,body_preview,content_type,is_read,importance,received_date
OMSqialyq11a8fq7jonq5qnpnrvz3wu1a3p2oe8ae0gwddhtamc02h23n6osl1pvu2h2ssjn8wswz33jagvs1e5rnob16gb98o1asl4nc6agbqac2062mqz2s5nqtrjhrkgbeumtnzvub7qr23wkhxvfmhf4raen8aojjcpb6anbcvheuzpdz1la2tj2bhvhl2wm0hlmre6dbo5opysvs9,Show a friend around the Showcase?,Amara Basu,amara.basu@cid.edu,Angela Brooks,angela.brooks@Finthesiss.ai,"Hey Angela - quick question, do you have time this week? Anything visual counts.",HTML,False,high,2026-06-04 01:28:27
OMSzmxg401j1zght413613ktehavfrye2omccoiio3hvwu7kc00475l3ay3uvrlkv82g5c,Thesis Studio - reading for Week 7,Yuki Nakamura,y.nakamura@cid.edu,Angela Brooks,angela.brooks@Finthesiss.ai,Reminder about the Week 7 deliverable. Post to the shared studio thread by Sunday evening.,HTML,True,low,2026-06-06 03:00:45
OMSzcfo8qe06ekiofbg7cxoly9apcjorkiwiod4kcoh92xdjxbm5o,FW: Career Services - Portfolio review slot confirmation,Sarah Nikaido,sarah.nikaido@cid.edu,Angela Brooks,angela.brooks@Finthesiss.ai,Confirming your Sep 24 slot with the Career Studio.,HTML,True,normal,2026-06-08 03:30:47
OMSj0o96dtnvp2schutcyjdie8qh7atxgduufumag5q9ll13ym8g5a5nr5jlvlfo1qa60xl50ybjg7y2dgbs1lknte5136ofx7ay17ms840y90akr7hhsnf43dh4twiql2izdea0b85m79wcvprnfcbhcr82l95djb71wdd2rvp66wtorq1rsnloczavht0kxoksi8i2hi2xf5dyx,Anyone have the Ch3 reading PDF?,Felix Nakamura,felix.nakamura@cid.edu,Angela Brooks,angela.brooks@Finthesiss.ai,"Hey Angela - quick question, do you have time this week? Anything visual counts.",HTML,True,high,2026-06-08 05:58:08
OMStn3plkr5nrwikemy6te80wb2ozew8qt9nb26sbir930gvt4tp601otsi35x3z5mdgayvci94jopk1tebrb457u0a8slaif21lyfzv2o,Guest Critique RSVP - Aidan Whitcombe,Priyanka Adhikari,p.adhikari@cid.edu,Angela Brooks,angela.brooks@Finthesiss.ai,Please RSVP for the Friday critique. Aidan Whitcombe will visit the Interaction Studio.,HTML,True,low,2026-06-10 06:30:55
OMSjwgji81xqwkadotay44cp3jkjewc4k6nxkw6027a7bfj33t59czfsdc1ul7b05f6rpt283wcb9ao37j5ts1p49i94lpmrbxi2ocujfex9gb60tsx6rwbj6kknld,Guest Critique RSVP - Miles Aoki,Priyanka Adhikari,p.adhikari@cid.edu,Angela Brooks,angela.brooks@Finthesiss.ai,Please RSVP for the Friday critique. Miles Aoki will visit the Interaction Studio.,HTML,False,normal,2026-06-12 21:01:24
OMS4let0irdfskf2vhkup7hd4ct7noivbaq5i1s7cb98olqpstj5uwozdmsezbt06mmhfsbv0dxpl3xckcks5oh8cck661floqf2aws2knfojrmii7hiqf9g564wkjy1fd04pmb1chxypiy53vidtpvnr7r1dk0hwg8y10,Show a friend around the Showcase?,Tam Harada,tam.harada@cid.edu,Angela Brooks,angela.brooks@Finthesiss.ai,"Hey Angela - quick question, do you have time this week? Anything visual counts.",HTML,False,normal,2026-06-13 04:36:40
OMSo9n7bzfcrs7exyipos73t4tcb51f5edp9t2hvs87489nq9dj76efvo05evf15vzxd00my4bqh2235mtem7y7wb,Game Studies - reading for Week 12,Damian Reyes,damian.reyes@cid.edu,Angela Brooks,angela.brooks@Finthesiss.ai,Reminder about the Week 12 deliverable. Post to the shared studio thread by Sunday evening.,HTML,True,normal,2026-06-14 00:14:15
OMS4a6vktp9g593johxag64qt1gytg9lok8rk10cyy7975c0v3x3np0,FW: Career Services - Portfolio review slot confirmation,Sarah Nikaido,sarah.nikaido@cid.edu,Angela Brooks,angela.brooks@Finthesiss.ai,Confirming your Sep 24 slot with the Career Studio.,HTML,False,high,2026-06-14 00:27:22
OMSiyfngz4h8t5njwzw6ntl6wpt8bwkjjwrpaluih20qg0an0mcd,FW: Career Services - Portfolio review slot confirmation,Sarah Nikaido,sarah.nikaido@cid.edu,Angela Brooks,angela.brooks@Finthesiss.ai,Confirming your Sep 24 slot with the Career Studio.,HTML,True,normal,2026-06-15 08:17:22
