id,customer,subscription,amount_due,amount_paid,currency,status,number,charge,created,due_date
in_1,cus_a,subscription 0,2000,amount_paid_1000,usd,paid,number 0,charge 0,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_500,customer 500,subscription 500,0,amount_paid_1500,USD,active,number 500,charge 500,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_501,customer 501,subscription 501,0,amount_paid_1501,USD,active,number 501,charge 501,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_502,customer 502,subscription 502,0,amount_paid_1502,USD,active,number 502,charge 502,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_503,customer 503,subscription 503,0,amount_paid_1503,USD,active,number 503,charge 503,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_504,customer 504,subscription 504,0,amount_paid_1504,USD,active,number 504,charge 504,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_505,customer 505,subscription 505,0,amount_paid_1505,USD,active,number 505,charge 505,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_506,customer 506,subscription 506,0,amount_paid_1506,USD,active,number 506,charge 506,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_507,customer 507,subscription 507,0,amount_paid_1507,USD,active,number 507,charge 507,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_508,customer 508,subscription 508,0,amount_paid_1508,USD,active,number 508,charge 508,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_509,customer 509,subscription 509,0,amount_paid_1509,USD,active,number 509,charge 509,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_510,customer 510,subscription 510,0,amount_paid_1510,USD,active,number 510,charge 510,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_511,customer 511,subscription 511,0,amount_paid_1511,USD,active,number 511,charge 511,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_512,customer 512,subscription 512,0,amount_paid_1512,USD,active,number 512,charge 512,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_513,customer 513,subscription 513,0,amount_paid_1513,USD,active,number 513,charge 513,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_514,customer 514,subscription 514,0,amount_paid_1514,USD,active,number 514,charge 514,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_515,customer 515,subscription 515,0,amount_paid_1515,USD,active,number 515,charge 515,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_516,customer 516,subscription 516,0,amount_paid_1516,USD,active,number 516,charge 516,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_517,customer 517,subscription 517,0,amount_paid_1517,USD,active,number 517,charge 517,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_518,customer 518,subscription 518,0,amount_paid_1518,USD,active,number 518,charge 518,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_519,customer 519,subscription 519,0,amount_paid_1519,USD,active,number 519,charge 519,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_520,customer 520,subscription 520,0,amount_paid_1520,USD,active,number 520,charge 520,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_521,customer 521,subscription 521,0,amount_paid_1521,USD,active,number 521,charge 521,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_522,customer 522,subscription 522,0,amount_paid_1522,USD,active,number 522,charge 522,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
id_noise_523,customer 523,subscription 523,0,amount_paid_1523,USD,active,number 523,charge 523,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
