id,company_id,first_name,last_name,email,department,job_title,rate,payment_unit,flsa_status,start_date,terminated
ge_1,comp_mykonos,Aaron,Garcia,aaron.garcia@Finthesiss.ai,Management,Owner/Managing Member,120000.00,Year,Exempt,2006-03-15,false
ge_2,comp_mykonos,Andreas,Garcia,andreas.garcia@gmail.com,Management,General Manager,65000.00,Year,Exempt,2018-06-01,false
ge_3,comp_mykonos,George,Hatzis,george.hatzis.chef@gmail.com,Kitchen,Head Chef,55000.00,Year,Exempt,2008-09-01,false
ge_4,comp_mykonos,Stavros,Economou,stavros.economou@gmail.com,Kitchen,Head Chef,52000.00,Year,Non-exempt,2019-02-01,false
ge_5,comp_mykonos,Maria,Kostopoulos,maria.kost.foh@gmail.com,Front of House,FOH Manager,48000.00,Year,Non-exempt,2019-03-15,false
ge_6,comp_mykonos,Tommy,Nikolaou,tommy.nikolaou@mykonostaverna.com,Kitchen,Line Cook,15.00,Hour,Exempt,2025-04-04,false
ge_7,comp_mykonos,Yiannis,Papadakis,yiannis.papadakis@mykonostaverna.com,Kitchen,Line Cook,16.50,Hour,Exempt,2025-11-27,false
ge_8,comp_mykonos,Elena,Christou,elena.christou@mykonostaverna.com,Kitchen,Prep Cook,15.00,Hour,Exempt,2021-03-23,false
ge_9,comp_mykonos,Nikos,Vassilakis,nikos.vassilakis@mykonostaverna.com,Front of House,Server,15.00,Hour,Exempt,2019-07-04,false
ge_10,comp_mykonos,Dimitra,Karagiannis,dimitra.karagiannis@mykonostaverna.com,Front of House,Server,18.00,Hour,Non-exempt,2025-08-12,false
ge_11,comp_mykonos,Kostas,Theodorou,kostas.theodorou@mykonostaverna.com,Front of House,Server,16.50,Hour,Non-exempt,2021-02-14,false
ge_12,comp_mykonos,Sofia,Mavridis,sofia.mavridis@mykonostaverna.com,Front of House,Busser,15.00,Hour,Exempt,2021-04-08,false
ge_13,comp_mykonos,Petros,Alexiou,petros.alexiou@mykonostaverna.com,Kitchen,Line Cook,18.00,Hour,Exempt,2023-05-10,false
ge_14,comp_mykonos,Christina,Diamantis,christina.diamantis@mykonostaverna.com,Kitchen,Line Cook,16.50,Hour,Exempt,2022-03-29,false
ge_15,comp_mykonos,Manolis,Hatzistavrou,manolis.hatzistavrou@mykonostaverna.com,Kitchen,Prep Cook,18.00,Hour,Exempt,2025-06-26,false
ge_16,comp_mykonos,Thalia,Georgiou,thalia.georgiou@mykonostaverna.com,Front of House,Server,22.00,Hour,Non-exempt,2018-02-27,false
ge_17,comp_mykonos,Vassilis,Konstantinou,vassilis.konstantinou@mykonostaverna.com,Front of House,Server,20.00,Hour,Non-exempt,2019-04-08,false
ge_18,comp_mykonos,Irene,Papageorgiou,irene.papageorgiou@mykonostaverna.com,Front of House,Server,22.00,Hour,Non-exempt,2022-08-06,false
ge_19,comp_mykonos,Loukas,Nikolaidis,loukas.nikolaidis@mykonostaverna.com,Front of House,Server,20.00,Hour,Non-exempt,2024-09-29,false
ge_20,comp_mykonos,Daphne,Stratou,daphne.stratou@mykonostaverna.com,Front of House,Server,22.00,Hour,Non-exempt,2016-03-09,false
ge_21,comp_mykonos,Michalis,Orfanidis,michalis.orfanidis@mykonostaverna.com,Front of House,Bartender,15.00,Hour,Non-exempt,2025-09-20,false
ge_22,comp_mykonos,Eleftheria,Koukla,eleftheria.koukla@mykonostaverna.com,Front of House,Bartender,18.00,Hour,Exempt,2021-07-05,false
ge_23,comp_mykonos,Panos,Sidiropoulos,panos.sidiropoulos@mykonostaverna.com,Front of House,Busser,20.00,Hour,Non-exempt,2024-01-29,false
ge_24,comp_mykonos,Anastasia,Vlachou,anastasia.vlachou@mykonostaverna.com,Front of House,Host,20.00,Hour,Non-exempt,2015-01-13,false
ge_25,comp_mykonos,Giorgos,Manousakis,giorgos.manousakis@mykonostaverna.com,Kitchen,Dishwasher,15.00,Hour,Exempt,2023-05-26,false
ge_26,comp_mykonos,Katerina,Doukas,katerina.doukas@mykonostaverna.com,Kitchen,Dishwasher,22.00,Hour,Exempt,2018-01-19,false
ge_27,comp_mykonos,Alexandros,Pantazis,alexandros.pantazis@mykonostaverna.com,Front of House,Host,22.00,Hour,Non-exempt,2015-04-13,false
ge_28,comp_mykonos,Ioanna,Tsakalidis,ioanna.tsakalidis@mykonostaverna.com,Front of House,Busser,20.00,Hour,Exempt,2021-03-22,false
