conversation_id,wa_id,started_at,last_message_at,origin,within_24h_window
conv-tom-001,12155550234,2026-09-02T07:30:00Z,2026-10-24T01:30:00Z,user_initiated,true
conv-max-001,12155550267,2026-09-05T20:00:00Z,2026-10-23T22:15:00Z,user_initiated,true
conv-sophie-001,12155550268,2026-09-07T18:30:00Z,2026-10-24T07:42:00Z,user_initiated,true
conv-margaret-001,18025550178,2026-09-01T15:00:00Z,2026-10-19T15:00:00Z,user_initiated,false
conv-kevin-001,12155550412,2026-09-01T08:00:00Z,2026-10-24T09:55:00Z,user_initiated,true
conv-carlos-001,12155550534,2026-09-04T16:00:00Z,2026-10-24T09:48:00Z,user_initiated,true
conv-jake-001,12675550389,2026-09-02T07:45:00Z,2026-10-24T09:30:00Z,user_initiated,true
conv-pastor-001,12155550601,2026-09-13T19:00:00Z,2026-10-20T19:00:00Z,user_initiated,true
conv-drchen-001,12155550745,2026-09-22T13:00:00Z,2026-10-15T13:20:00Z,business_initiated,false
conv-nancy-001,18025550234,2026-09-10T17:00:00Z,2026-10-23T17:05:00Z,user_initiated,true
conv-spoof-001,18025550235,2026-10-24T08:12:00Z,2026-10-24T08:14:00Z,user_initiated,true
conv-maria-001,12155570201,2026-09-15T14:00:00Z,2026-10-23T18:30:00Z,business_initiated,true
conv-doug-001,12676220115,2026-09-08T11:00:00Z,2026-10-19T16:00:00Z,business_initiated,false
conv-paula-001,12676180890,2026-09-22T14:00:00Z,2026-10-12T14:00:00Z,business_initiated,false
conv-greene-001,12153240712,2026-09-05T10:00:00Z,2026-10-08T11:40:00Z,business_initiated,false
conv-linda-001,12674050988,2026-09-12T09:00:00Z,2026-10-15T09:15:00Z,business_initiated,false
conv-greensgrow-001,12679931077,2026-10-18T12:00:00Z,2026-10-22T15:00:00Z,business_initiated,true
conv-homedepot-001,12677880640,2026-10-20T15:30:00Z,2026-10-22T16:00:00Z,business_initiated,true
conv-padli-001,18002666732,2026-10-08T10:00:00Z,2026-10-10T10:00:00Z,business_initiated,false
conv-helena-001,12675554150,2026-10-14T06:55:00Z,2026-09-10T01:40:00Z,user_initiated,true
conv-marcus-002,12155554468,2026-09-24T01:25:00Z,2026-09-29T16:30:00Z,user_initiated,true
conv-theresa-003,14845596142,2026-08-26T09:25:00Z,2026-08-28T07:50:00Z,user_initiated,true
conv-doug-004,12675595457,2026-08-13T03:35:00Z,2026-08-21T22:00:00Z,user_initiated,true
conv-camille-005,14845584775,2026-10-12T12:15:00Z,2026-10-14T20:20:00Z,user_initiated,true
conv-greta-006,12155559626,2026-08-14T10:30:00Z,2026-09-20T11:10:00Z,user_initiated,true
conv-anna-007,12675588438,2026-09-22T06:10:00Z,2026-09-24T12:50:00Z,user_initiated,true
conv-imani-008,12675581895,2026-09-07T00:00:00Z,2026-10-09T21:55:00Z,user_initiated,true
conv-tariq-009,12155584247,2026-08-07T17:35:00Z,2026-08-18T04:30:00Z,user_initiated,true
conv-marina-010,12155592991,2026-09-19T18:20:00Z,2026-09-15T18:15:00Z,user_initiated,true
conv-sarah-011,16105556470,2026-08-23T21:25:00Z,2026-09-08T21:15:00Z,user_initiated,true
conv-lila-012,12675588163,2026-09-01T08:20:00Z,2026-09-21T07:20:00Z,user_initiated,true
conv-ron-013,12155555191,2026-10-09T23:40:00Z,2026-09-13T16:15:00Z,user_initiated,true
conv-diego-014,12675571567,2026-09-07T00:30:00Z,2026-08-13T22:55:00Z,user_initiated,true
conv-goldfinch-015,12675588066,2026-10-06T21:15:00Z,2026-09-06T07:05:00Z,user_initiated,true
conv-berks-016,12155574062,2026-08-25T23:55:00Z,2026-09-07T04:25:00Z,user_initiated,true
conv-tioga-017,12155578007,2026-09-06T00:50:00Z,2026-08-28T04:10:00Z,user_initiated,true
