id,email,first_name,last_name,phone,status,created_timestamp,updated_timestamp
60101,sophia.rivera@mesaverde-retiree.net,Sophia,Rivera,970-555-0180,active,2019-05-12T09:00:00-06:00,2025-06-01T09:00:00-06:00
60102,ricardo.alvarado@retiree.example,Ricardo,Alvarado,970-555-0178,active,2019-05-12T09:00:00-06:00,2024-10-01T09:00:00-06:00
60103,harold.kominsky@kominskyauto.example,Harold,Kominsky,970-555-1199,active,2020-08-14T09:00:00-06:00,2024-04-11T09:00:00-06:00
ac-contact-6000,miguel.vega.0@mesaverde-retiree.net,Miguel,Vega,970-555-4000,1,2020-01-01T08:00:00-06:00,2025-01-01T08:00:00-06:00
ac-contact-6001,roberto.solis.1@mesaverde-retiree.net,Roberto,Solis,970-555-4001,1,2021-02-02T08:00:00-06:00,2026-02-02T08:00:00-06:00
ac-contact-6002,carlos.cortez.2@mesaverde-retiree.net,Carlos,Cortez,970-555-4002,1,2022-03-03T08:00:00-06:00,2025-03-03T08:00:00-06:00
ac-contact-6003,diego.herrera.3@mesaverde-retiree.net,Diego,Herrera,970-555-4003,1,2023-04-04T08:00:00-06:00,2026-04-04T08:00:00-06:00
ac-contact-6004,rafael.chavez.4@mesaverde-retiree.net,Rafael,Chavez,970-555-4004,1,2024-05-05T08:00:00-06:00,2025-05-05T08:00:00-06:00
ac-contact-6005,luis.ruiz.5@mesaverde-retiree.net,Luis,Ruiz,970-555-4005,1,2025-06-06T08:00:00-06:00,2026-06-06T08:00:00-06:00
ac-contact-6006,jorge.ortega.6@mesaverde-retiree.net,Jorge,Ortega,970-555-4006,1,2020-07-07T08:00:00-06:00,2025-07-07T08:00:00-06:00
ac-contact-6007,manuel.molina.7@mesaverde-retiree.net,Manuel,Molina,970-555-4007,1,2021-08-08T08:00:00-06:00,2026-08-08T08:00:00-06:00
ac-contact-6008,anthony.anderson.8@mesaverde-retiree.net,Anthony,Anderson,970-555-4008,1,2022-09-09T08:00:00-06:00,2025-09-09T08:00:00-06:00
ac-contact-6009,bruce.baker.9@mesaverde-retiree.net,Bruce,Baker,970-555-4009,1,2023-10-10T08:00:00-06:00,2026-10-10T08:00:00-06:00
ac-contact-6010,wayne.hayes.10@mesaverde-retiree.net,Wayne,Hayes,970-555-4010,1,2024-11-11T08:00:00-06:00,2025-11-11T08:00:00-06:00
ac-contact-6011,curtis.ford.11@mesaverde-retiree.net,Curtis,Ford,970-555-4011,1,2025-12-12T08:00:00-06:00,2026-12-12T08:00:00-06:00
ac-contact-6012,duane.rice.12@mesaverde-retiree.net,Duane,Rice,970-555-4012,1,2020-01-13T08:00:00-06:00,2025-01-13T08:00:00-06:00
ac-contact-6013,randy.cole.13@mesaverde-retiree.net,Randy,Cole,970-555-4013,1,2021-02-14T08:00:00-06:00,2026-02-14T08:00:00-06:00
ac-contact-6014,kenneth.reed.14@mesaverde-retiree.net,Kenneth,Reed,970-555-4014,1,2022-03-15T08:00:00-06:00,2025-03-15T08:00:00-06:00
ac-contact-6015,larry.wells.15@mesaverde-retiree.net,Larry,Wells,970-555-4015,1,2023-04-16T08:00:00-06:00,2026-04-16T08:00:00-06:00
ac-contact-6016,terry.stone.16@mesaverde-retiree.net,Terry,Stone,970-555-4016,1,2024-05-17T08:00:00-06:00,2025-05-17T08:00:00-06:00
ac-contact-6017,gary.owens.17@mesaverde-retiree.net,Gary,Owens,970-555-4017,1,2025-06-18T08:00:00-06:00,2026-06-18T08:00:00-06:00
ac-contact-6018,wade.grant.18@mesaverde-retiree.net,Wade,Grant,970-555-4018,1,2020-07-19T08:00:00-06:00,2025-07-19T08:00:00-06:00
ac-contact-6019,cletus.barnes.19@mesaverde-retiree.net,Cletus,Barnes,970-555-4019,1,2021-08-20T08:00:00-06:00,2026-08-20T08:00:00-06:00
ac-contact-6020,buddy.higgins.20@mesaverde-retiree.net,Buddy,Higgins,970-555-4020,1,2022-09-21T08:00:00-06:00,2025-09-21T08:00:00-06:00
ac-contact-6021,marvin.barrett.21@mesaverde-retiree.net,Marvin,Barrett,970-555-4021,1,2023-10-22T08:00:00-06:00,2026-10-22T08:00:00-06:00
ac-contact-6022,everett.klein.22@mesaverde-retiree.net,Everett,Klein,970-555-4022,1,2024-11-23T08:00:00-06:00,2025-11-23T08:00:00-06:00
ac-contact-6023,delbert.beasley.23@mesaverde-retiree.net,Delbert,Beasley,970-555-4023,1,2025-12-24T08:00:00-06:00,2026-12-24T08:00:00-06:00
ac-contact-6024,linda.blackwell.24@mesaverde-retiree.net,Linda,Blackwell,970-555-4024,1,2020-01-25T08:00:00-06:00,2025-01-25T08:00:00-06:00
ac-contact-6025,susan.hunter.25@mesaverde-retiree.net,Susan,Hunter,970-555-4025,1,2021-02-26T08:00:00-06:00,2026-02-26T08:00:00-06:00
