id,type,title,username,first_name,last_name,description,member_count
1001,private,,amelia_o,Amelia,Ortega,,2
1002,private,,jonas_p,Jonas,Pereira,,2
-200500,group,Orbit Eng Standup,,,,Daily standup and incident coordination for the platform team.,6
-200501,supergroup,Orbit Deploys,,,,Automated deploy and alerting notifications.,12
-200502,group,Orbit Random,,,,Off-topic chatter and memes.,9
1003,private,,amelia_o,,,Daily standup and incident coordination for the platform team.,3
1004,group,Orbit Deploys,,,,,9
1005,private,,jonas_p,Jonas,Pereira,Automated deploy and alerting notifications.,11
1006,group,Orbit Random,,,Ortega,,11
1007,supergroup,,,,,Off-topic chatter and memes.,8
1008,supergroup,Orbit Random,,,,,9
1009,private,Orbit Deploys,amelia_o,Jonas,,Daily standup and incident coordination for the platform team.,10
1010,group,Orbit Eng Standup,amelia_o,,,Daily standup and incident coordination for the platform team.,11
1011,group,,,,Ortega,Off-topic chatter and memes.,10
1012,group,Orbit Deploys,,,,Automated deploy and alerting notifications.,6
1013,group,Orbit Deploys,jonas_p,,,,5
1014,group,Orbit Deploys,,,Ortega,Off-topic chatter and memes.,10
1015,group,,jonas_p,,Ortega,Automated deploy and alerting notifications.,8
1016,private,,,Jonas,,,5
1017,supergroup,Orbit Eng Standup,,,Ortega,Off-topic chatter and memes.,4
1018,group,Orbit Deploys,,Amelia,Pereira,,5
1019,group,,,Jonas,Pereira,Daily standup and incident coordination for the platform team.,6
1020,private,Orbit Random,,,,,6
1021,supergroup,Orbit Deploys,,,,Off-topic chatter and memes.,7
1022,group,Orbit Deploys,,,,Off-topic chatter and memes.,10
1023,supergroup,,jonas_p,,,,5
1024,supergroup,,amelia_o,Jonas,Ortega,Off-topic chatter and memes.,6
1025,private,,jonas_p,,Ortega,Automated deploy and alerting notifications.,10
1026,private,Orbit Eng Standup,,Amelia,,,3
1027,group,Orbit Eng Standup,amelia_o,,,Daily standup and incident coordination for the platform team.,6
1028,private,Orbit Random,,,,Daily standup and incident coordination for the platform team.,6
1029,private,Orbit Deploys,,,,Automated deploy and alerting notifications.,4
1030,private,Orbit Deploys,jonas_p,,Ortega,,7
1031,group,,amelia_o,Jonas,Ortega,,5
1032,group,,,Amelia,,Off-topic chatter and memes.,8
1033,group,Orbit Random,amelia_o,Jonas,,Daily standup and incident coordination for the platform team.,3
1034,private,Orbit Eng Standup,,,,Automated deploy and alerting notifications.,7
1035,group,Orbit Random,jonas_p,,,Automated deploy and alerting notifications.,4
1036,group,Orbit Deploys,,Amelia,Pereira,Daily standup and incident coordination for the platform team.,6
1037,group,Orbit Random,,,,,11
1038,group,Orbit Eng Standup,,,Ortega,Off-topic chatter and memes.,12
1039,supergroup,Orbit Deploys,amelia_o,,,,10
1040,supergroup,Orbit Deploys,,,Pereira,Daily standup and incident coordination for the platform team.,8
1041,private,,,Amelia,Pereira,Off-topic chatter and memes.,11
1042,supergroup,Orbit Eng Standup,,Jonas,,Off-topic chatter and memes.,8
1043,private,,,Amelia,,,8
1044,private,,,,Pereira,Daily standup and incident coordination for the platform team.,3
1045,group,,amelia_o,,,,2
1046,group,,jonas_p,,,Automated deploy and alerting notifications.,11
1047,group,Orbit Random,,,,Automated deploy and alerting notifications.,5
1048,supergroup,Orbit Eng Standup,amelia_o,,,,8
1049,group,,jonas_p,Amelia,Pereira,Automated deploy and alerting notifications.,5
1050,group,,jonas_p,,,,5
1051,private,,,Jonas,,Automated deploy and alerting notifications.,10
1052,supergroup,Orbit Deploys,amelia_o,,Pereira,Automated deploy and alerting notifications.,6
1053,private,,,,,Off-topic chatter and memes.,6
1054,private,Orbit Deploys,,,,Automated deploy and alerting notifications.,10
1055,private,Orbit Random,amelia_o,Jonas,Pereira,,3
1056,group,,,,Ortega,Daily standup and incident coordination for the platform team.,5
1057,group,Orbit Deploys,,Jonas,Pereira,,10
1058,group,Orbit Random,,,,Daily standup and incident coordination for the platform team.,7
1059,group,Orbit Random,,,,Off-topic chatter and memes.,2
1060,private,Orbit Deploys,,,Pereira,,8
1061,private,,amelia_o,,Ortega,Off-topic chatter and memes.,9
1062,group,Orbit Eng Standup,amelia_o,Jonas,,,4
1063,group,Orbit Random,jonas_p,,,,11
1064,supergroup,,jonas_p,Amelia,Ortega,Daily standup and incident coordination for the platform team.,7
1065,private,Orbit Deploys,,Jonas,Pereira,,4
1066,group,,jonas_p,Jonas,Ortega,,4
1067,group,,,,Pereira,Daily standup and incident coordination for the platform team.,7
1068,private,Orbit Deploys,jonas_p,Jonas,Ortega,Off-topic chatter and memes.,7
1069,supergroup,,,Jonas,Ortega,Daily standup and incident coordination for the platform team.,5
1070,supergroup,Orbit Random,,,Pereira,Off-topic chatter and memes.,12
1071,private,,amelia_o,,Ortega,Off-topic chatter and memes.,8
1072,supergroup,Orbit Deploys,,,Ortega,Daily standup and incident coordination for the platform team.,7
1073,private,,amelia_o,,,Automated deploy and alerting notifications.,10
1074,supergroup,,jonas_p,Amelia,,Automated deploy and alerting notifications.,8
1075,supergroup,Orbit Eng Standup,,,,,6
1076,private,Orbit Eng Standup,,,,Daily standup and incident coordination for the platform team.,6
1077,group,,jonas_p,Amelia,,Off-topic chatter and memes.,11
1078,group,,,Amelia,,,8
1079,group,,amelia_o,,,Daily standup and incident coordination for the platform team.,5
1080,group,,amelia_o,,Ortega,,3
1081,group,,,,,Daily standup and incident coordination for the platform team.,5
1082,group,,amelia_o,,Pereira,Automated deploy and alerting notifications.,2
1083,supergroup,Orbit Deploys,amelia_o,,,,2
1084,private,,amelia_o,Amelia,,Daily standup and incident coordination for the platform team.,9
1085,group,,amelia_o,Jonas,Ortega,Automated deploy and alerting notifications.,8
1086,supergroup,Orbit Deploys,amelia_o,Amelia,,,10
1087,group,Orbit Deploys,amelia_o,Amelia,Ortega,Automated deploy and alerting notifications.,6
1088,private,Orbit Random,,Jonas,,Daily standup and incident coordination for the platform team.,8
1089,group,,,,,Automated deploy and alerting notifications.,6
1090,supergroup,,jonas_p,Jonas,,Off-topic chatter and memes.,11
1091,private,Orbit Deploys,,,Pereira,Daily standup and incident coordination for the platform team.,4
1092,private,Orbit Eng Standup,jonas_p,,Pereira,Automated deploy and alerting notifications.,5
1093,supergroup,Orbit Deploys,,Amelia,,Off-topic chatter and memes.,6
1094,supergroup,Orbit Deploys,,,,Off-topic chatter and memes.,9
1095,private,Orbit Deploys,,,,Automated deploy and alerting notifications.,10
1096,group,Orbit Deploys,amelia_o,Amelia,Ortega,Daily standup and incident coordination for the platform team.,10
1097,private,,,,,Off-topic chatter and memes.,10
1098,supergroup,,,,,Off-topic chatter and memes.,6
1099,supergroup,,amelia_o,Jonas,,Automated deploy and alerting notifications.,5
1100,group,,amelia_o,,Pereira,Automated deploy and alerting notifications.,9
1101,group,Orbit Random,,Amelia,,,2
1102,group,,,Jonas,Pereira,Daily standup and incident coordination for the platform team.,11
1103,group,Orbit Deploys,,Jonas,,,10
1104,private,Orbit Random,amelia_o,,Pereira,Daily standup and incident coordination for the platform team.,6
1105,group,Orbit Eng Standup,amelia_o,Amelia,Pereira,Off-topic chatter and memes.,11
1106,private,,,,Ortega,Daily standup and incident coordination for the platform team.,8
1107,supergroup,Orbit Deploys,,Jonas,,,4
1108,private,,,Jonas,,,11
1109,group,Orbit Random,jonas_p,,Ortega,Daily standup and incident coordination for the platform team.,12
1110,supergroup,,,Jonas,,Daily standup and incident coordination for the platform team.,12
1111,group,,,,,Off-topic chatter and memes.,8
1112,group,,,,Pereira,Daily standup and incident coordination for the platform team.,5
1113,group,Orbit Eng Standup,,Amelia,Ortega,Off-topic chatter and memes.,5
1114,group,Orbit Random,,Amelia,,,6
1115,group,Orbit Deploys,,Amelia,,Off-topic chatter and memes.,6
1116,supergroup,,jonas_p,,,Daily standup and incident coordination for the platform team.,6
1117,private,,jonas_p,,,Off-topic chatter and memes.,7
1118,private,Orbit Random,,,Pereira,,3
1119,group,Orbit Random,jonas_p,Amelia,,Off-topic chatter and memes.,12
1120,group,Orbit Eng Standup,,,Ortega,Automated deploy and alerting notifications.,11
1121,private,,jonas_p,,Ortega,Off-topic chatter and memes.,9
1122,group,,amelia_o,,Ortega,Daily standup and incident coordination for the platform team.,9
1123,private,Orbit Eng Standup,amelia_o,,,Daily standup and incident coordination for the platform team.,5
1124,supergroup,Orbit Random,,,Ortega,Daily standup and incident coordination for the platform team.,5
1125,group,Orbit Random,amelia_o,Jonas,Ortega,Daily standup and incident coordination for the platform team.,9
1126,private,,,,,Daily standup and incident coordination for the platform team.,6
1127,private,Orbit Deploys,,,,Daily standup and incident coordination for the platform team.,4
1128,group,Orbit Eng Standup,,,,Automated deploy and alerting notifications.,5
1129,private,Orbit Deploys,,Jonas,Ortega,Off-topic chatter and memes.,12
1130,group,,amelia_o,,,Automated deploy and alerting notifications.,8
1131,private,Orbit Deploys,jonas_p,,,,4
1132,group,Orbit Eng Standup,,,,,3
1133,group,Orbit Random,amelia_o,Amelia,Ortega,,11
1134,group,,jonas_p,Amelia,Ortega,Off-topic chatter and memes.,8
1135,group,Orbit Eng Standup,,Jonas,Ortega,Automated deploy and alerting notifications.,3
1136,group,,amelia_o,Jonas,Pereira,Off-topic chatter and memes.,8
1137,group,Orbit Eng Standup,,Amelia,,,6
1138,private,Orbit Random,jonas_p,,Ortega,Off-topic chatter and memes.,9
1139,private,,,,Ortega,,3
1140,group,Orbit Random,jonas_p,Jonas,Pereira,Daily standup and incident coordination for the platform team.,5
1141,group,,,,Pereira,Daily standup and incident coordination for the platform team.,11
1142,private,,,,,Automated deploy and alerting notifications.,3
1143,private,Orbit Deploys,,,Pereira,Daily standup and incident coordination for the platform team.,5
1144,supergroup,Orbit Random,,,,Daily standup and incident coordination for the platform team.,4
1145,group,Orbit Eng Standup,jonas_p,,Ortega,,12
1146,group,Orbit Random,jonas_p,Amelia,,,10
1147,group,Orbit Eng Standup,amelia_o,Jonas,Pereira,Off-topic chatter and memes.,7
1148,group,Orbit Eng Standup,amelia_o,,Ortega,Daily standup and incident coordination for the platform team.,3
1149,private,Orbit Deploys,,,,Daily standup and incident coordination for the platform team.,12
1150,group,Orbit Random,,,,Off-topic chatter and memes.,7
1151,group,Orbit Random,jonas_p,,Pereira,Off-topic chatter and memes.,6
1152,supergroup,Orbit Random,,Amelia,,,4
1153,group,Orbit Eng Standup,,Jonas,,Automated deploy and alerting notifications.,9
1154,private,Orbit Random,,,,,6
1155,group,Orbit Random,,,,Automated deploy and alerting notifications.,9
1156,private,,amelia_o,,,,4
1157,group,,,Jonas,,Automated deploy and alerting notifications.,5
1158,private,Orbit Deploys,,Amelia,Ortega,,6
1159,supergroup,Orbit Eng Standup,jonas_p,,,,7
1160,supergroup,,,Jonas,,,8
1161,group,Orbit Eng Standup,amelia_o,Amelia,,Automated deploy and alerting notifications.,10
1162,supergroup,,,,,Off-topic chatter and memes.,7
1163,supergroup,Orbit Random,,Amelia,,Daily standup and incident coordination for the platform team.,9
1164,supergroup,,amelia_o,,,Daily standup and incident coordination for the platform team.,10
1165,private,Orbit Deploys,jonas_p,,Ortega,,9
1166,private,Orbit Eng Standup,amelia_o,Jonas,Ortega,Off-topic chatter and memes.,9
1167,group,Orbit Eng Standup,jonas_p,,,,7
1168,supergroup,Orbit Random,,,,Off-topic chatter and memes.,7
1169,group,,,Jonas,,,6
1170,private,Orbit Eng Standup,,,,,6
1171,supergroup,,amelia_o,,,,8
1172,private,Orbit Random,amelia_o,,Pereira,Off-topic chatter and memes.,6
1173,private,Orbit Random,,Jonas,,,7
1174,private,Orbit Random,,Jonas,,Off-topic chatter and memes.,11
1175,group,Orbit Deploys,,,,Off-topic chatter and memes.,11
1176,private,Orbit Deploys,,Amelia,Pereira,Off-topic chatter and memes.,2
1177,private,,amelia_o,Amelia,Ortega,,5
1178,group,Orbit Deploys,jonas_p,,,Automated deploy and alerting notifications.,4
1179,private,,,Jonas,,,4
1180,group,,,Jonas,,,10
1181,group,Orbit Eng Standup,jonas_p,,Pereira,Daily standup and incident coordination for the platform team.,12
1182,private,Orbit Eng Standup,,,,,7
1183,group,,jonas_p,,,,10
1184,private,,amelia_o,Amelia,Ortega,,5
1185,group,,,,Ortega,,5
1186,group,Orbit Eng Standup,amelia_o,,Ortega,Off-topic chatter and memes.,8
1187,group,Orbit Random,,,Ortega,,2
1188,group,,,,Pereira,,10
1189,private,,,,,,11
1190,private,,,,,Off-topic chatter and memes.,10
1191,private,Orbit Random,amelia_o,Jonas,,,7
1192,group,Orbit Random,,,Pereira,Off-topic chatter and memes.,11
1193,private,Orbit Random,,Jonas,,,4
1194,group,,jonas_p,Jonas,,,4
1195,group,Orbit Random,,,Pereira,Daily standup and incident coordination for the platform team.,8
1196,private,Orbit Eng Standup,,,,Off-topic chatter and memes.,8
1197,group,Orbit Random,amelia_o,,,Automated deploy and alerting notifications.,10
1198,private,Orbit Deploys,amelia_o,Jonas,Ortega,,5
