id,is_bot,first_name,last_name,username,language_code
9001,false,Amelia,Ortega,amelia_o,en
9002,false,Jonas,Pereira,jonas_p,pt
9003,false,Helena,Park,helena_park,en
9004,false,Rohit,Bansal,rohit_b,en
9005,false,Noor,Aziz,noor_codes,ar
7654321098,true,Orbit Ops Bot,,orbit_ops_bot,en
7654321099,false,John,Greco,Paul Andrade,en
7654321100,false,Rocco,Donovan,William Gagnon,ar
7654321101,false,John,Aziz,rohit_b,ar
7654321102,true,Orbit Ops Bot,Donovan,helena_park,en
7654321103,false,Amelia,,noor_codes,ar
7654321104,false,Helena,Aziz,William Gagnon,ar
7654321105,false,Jonas,,rohit_b,pt
7654321106,false,Rocco,,amelia_o,en
7654321107,false,Amelia,Park,orbit_ops_bot,en
7654321108,false,Noor,Donovan,helena_park,ar
7654321109,false,Amelia,,amelia_o,en
7654321110,false,John,,orbit_ops_bot,en
7654321111,false,Noor,Ortega,rohit_b,pt
7654321112,false,Noor,Donovan,William Gagnon,ar
7654321113,false,Jonas,Aziz,noor_codes,en
7654321114,false,Rocco,Bansal,orbit_ops_bot,en
7654321115,true,Jonas,Ortega,jonas_p,en
7654321116,false,Amelia,Park,jonas_p,en
7654321117,true,Amelia,Aziz,noor_codes,en
7654321118,true,Orbit Ops Bot,Pereira,helena_park,pt
7654321119,false,Noor,Pereira,helena_park,en
7654321120,false,Rohit,Donovan,William Gagnon,en
7654321121,false,Orbit Ops Bot,Bansal,jonas_p,ar
7654321122,false,John,Donovan,Paul Andrade,en
7654321123,true,John,Park,noor_codes,en
7654321124,false,Amelia,Park,William Gagnon,en
7654321125,false,Rocco,Greco,rohit_b,en
7654321126,false,Jonas,Pereira,rohit_b,ar
7654321127,false,Jonas,Park,Paul Andrade,pt
7654321128,false,Noor,Pereira,helena_park,ar
7654321129,false,John,Pereira,noor_codes,en
7654321130,false,Orbit Ops Bot,,jonas_p,ar
7654321131,false,Noor,Donovan,William Gagnon,en
7654321132,false,Helena,Bansal,orbit_ops_bot,en
7654321133,false,Jonas,Park,William Gagnon,pt
7654321134,false,Helena,Bansal,William Gagnon,en
7654321135,true,Orbit Ops Bot,Donovan,orbit_ops_bot,ar
7654321136,false,Amelia,Bansal,amelia_o,en
7654321137,false,Helena,Donovan,jonas_p,en
7654321138,false,Rohit,,noor_codes,ar
7654321139,true,Rocco,Pereira,rohit_b,en
7654321140,true,Helena,Pereira,noor_codes,en
7654321141,false,Jonas,Pereira,orbit_ops_bot,en
7654321142,false,Jonas,Greco,jonas_p,ar
7654321143,false,John,Park,jonas_p,ar
7654321144,true,Jonas,Ortega,jonas_p,en
7654321145,false,John,Donovan,Paul Andrade,en
7654321146,false,John,Bansal,jonas_p,en
7654321147,false,Jonas,,amelia_o,en
7654321148,false,Amelia,Park,amelia_o,pt
7654321149,false,Rocco,Pereira,orbit_ops_bot,ar
7654321150,false,Rohit,Bansal,helena_park,en
7654321151,false,Rocco,Donovan,jonas_p,en
7654321152,false,Orbit Ops Bot,Park,jonas_p,pt
7654321153,false,Rocco,Greco,jonas_p,pt
7654321154,false,Helena,Bansal,rohit_b,ar
7654321155,false,Amelia,Aziz,amelia_o,en
7654321156,false,Orbit Ops Bot,Greco,rohit_b,en
7654321157,false,John,Pereira,jonas_p,pt
7654321158,false,Helena,Donovan,jonas_p,en
7654321159,false,John,,William Gagnon,ar
7654321160,false,Amelia,Ortega,helena_park,en
