id,meeting_id,email,first_name,last_name,status,join_time,create_time
reg-0,80000000,priya.diaz@example.com,Priya,Diaz,approved,2026-01-01T15:01:00Z,2026-01-01T00:00:00Z
reg-1,80000001,marcus.diaz@example.com,Marcus,Diaz,approved,2026-02-02T15:01:00Z,2026-02-02T00:00:00Z
reg-2,80000002,dana.diaz@example.com,Dana,Diaz,approved,2026-03-03T15:01:00Z,2026-03-03T00:00:00Z
reg-3,80000003,evan.diaz@example.com,Evan,Diaz,approved,2026-04-04T15:01:00Z,2026-04-04T00:00:00Z
reg-4,80000004,grace.diaz@example.com,Grace,Diaz,approved,2026-05-05T15:01:00Z,2026-05-05T00:00:00Z
reg-5,80000005,nadia.diaz@example.com,Nadia,Diaz,approved,2026-06-06T15:01:00Z,2026-06-06T00:00:00Z
reg-6,80000006,sam.diaz@example.com,Sam,Diaz,approved,2026-07-07T15:01:00Z,2026-07-07T00:00:00Z
reg-7,80000007,tomas.diaz@example.com,Tomas,Diaz,approved,2026-08-08T15:01:00Z,2026-08-08T00:00:00Z
reg-8,80000008,wendy.diaz@example.com,Wendy,Diaz,approved,2026-09-09T15:01:00Z,2026-09-09T00:00:00Z
reg-9,80000009,leo.diaz@example.com,Leo,Diaz,approved,2026-10-10T15:01:00Z,2026-10-10T00:00:00Z
reg-10,80000010,aisha.diaz@example.com,Aisha,Diaz,approved,2026-11-11T15:01:00Z,2026-11-11T00:00:00Z
reg-11,80000011,ravi.diaz@example.com,Ravi,Diaz,approved,2026-12-12T15:01:00Z,2026-12-12T00:00:00Z
