id,firstname,lastname,email,phone,jobtitle,company,lifecyclestage,createdate,lastmodifieddate
cl01,Maya,Fernandez,client1@example.com,(352) 555-0700,Owner,Aurora Bistro LLC,customer,2025-11-02T10:00:00Z,2026-05-20T12:00:00Z
cl02,Daniel,Cho,client2@example.com,(352) 555-0701,VP Engineering,Helix Robotics Inc,customer,2025-09-15T09:30:00Z,2026-05-18T08:00:00Z
cl03,Priya,Nair,client3@example.com,(352) 555-0702,Creative Director,Lumen Design Studio,opportunity,2026-01-10T14:00:00Z,2026-05-22T11:00:00Z
cl04,Tomas,Reyes,client4@example.com,(352) 555-0703,CFO,Pelagic Freight Co,lead,2026-02-20T16:00:00Z,2026-05-10T09:00:00Z
cl05,Sara,Lindqvist,client5@example.com,(352) 555-0704,Operations Lead,Verdant Farms,marketingqualifiedlead,2026-03-05T11:30:00Z,2026-05-12T15:00:00Z
cl06,Kenji,Watanabe,client6@example.com,(352) 555-0705,Head of Data,Quanta Analytics,customer,2025-12-01T08:00:00Z,2026-05-25T10:00:00Z
cl07,Olivia,Brandt,client7@example.com,(352) 555-0706,Founder,Nimbus Coffee,lead,2026-04-12T13:00:00Z,2026-05-26T09:00:00Z
cl08,Marcus,Webb,client8@example.com,(352) 555-0707,Procurement Manager,Driftwood Co,salesqualifiedlead,2026-04-25T10:15:00Z,2026-05-24T14:00:00Z
cl09_9,Maya,Fernandez,client9@example.com,(352) 555-0708,Owner,Aurora Bistro LLC,customer,2025-11-02T10:00:00Z,2026-05-20T12:00:00Z
cl10_10,Daniel,Cho,client10@example.com,(352) 555-0709,VP Engineering,Helix Robotics Inc,customer,2025-09-15T09:30:00Z,2026-05-18T08:00:00Z
