Id,DisplayName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr_Line1,BillAddr_City,BillAddr_CountrySubDivisionCode,BillAddr_PostalCode,Balance,Active,AcctNum,Vendor1099
QUIC_9d4e7648,Carlos Whitfield,Acme Corp,carlos.whitfield0@gmail.com,(555) 100-1000,"100 Main St, Beaverton, Oregon (Cedar Hills neighborhood) 67154",Beaverton,Oregon (Cedar Hills neighborhood),"100 Main St, Beaverton, Oregon (Cedar Hills neighborhood) 67154",111.00,true,REF-010000,true
QUIC_a00c3aa4,June (68),Pinnacle Solutions,june.68)@yahoo.com,(555) 117-1007,"117 Oak Ave, New York, Oregon (Cedar Hills neighborhood) 67157",New York,Oregon (Cedar Hills neighborhood),"117 Oak Ave, New York, Oregon (Cedar Hills neighborhood) 67157",128.31,false,REF-010007,false
QUIC_aee8787e,Karen (1983),Vertex Industries,karen1983)@outlook.com,(555) 134-1014,"134 Elm St, Los Angeles, Oregon (Cedar Hills neighborhood) 67160",Los Angeles,Oregon (Cedar Hills neighborhood),"134 Elm St, Los Angeles, Oregon (Cedar Hills neighborhood) 67160",145.62,false,REF-010014,false
QUIC_c092806e,David (1981),Summit Group,david.1981)@hotmail.com,(555) 151-1021,"151 Maple Dr, Chicago, Oregon (Cedar Hills neighborhood) 67163",Chicago,Oregon (Cedar Hills neighborhood),"151 Maple Dr, Chicago, Oregon (Cedar Hills neighborhood) 67163",162.93,true,REF-010021,true
QUIC_cdb7c762,Ethan (2014),Horizon Partners,ethan.2014)4@aol.com,(555) 168-1028,"168 Cedar Ln, Houston, Oregon (Cedar Hills neighborhood) 67166",Houston,Oregon (Cedar Hills neighborhood),"168 Cedar Ln, Houston, Oregon (Cedar Hills neighborhood) 67166",179.24,false,REF-010028,false
QUIC_5958b164,Maya (2016),Cascade Systems,maya2016)@icloud.com,(555) 185-1035,"185 Pine St, Phoenix, Oregon (Cedar Hills neighborhood) 67169",Phoenix,Oregon (Cedar Hills neighborhood),"185 Pine St, Phoenix, Oregon (Cedar Hills neighborhood) 67169",196.55,false,REF-010035,false
QUIC_01179088,Kevin (1986),Stellar Tech,kevin.1986)@mail.com,(555) 202-1042,"202 Washington Blvd, Philadelphia, Oregon (Cedar Hills neighborhood) 67172",Philadelphia,Oregon (Cedar Hills neighborhood),"202 Washington Blvd, Philadelphia, Oregon (Cedar Hills neighborhood) 67172",213.86,true,REF-010042,true
QUIC_65648b81,Robert (1998),Meridian Labs,robert.1998)@protonmail.com,(555) 219-1049,"219 Park Ave, San Antonio, Oregon (Cedar Hills neighborhood) 67175",San Antonio,Oregon (Cedar Hills neighborhood),"219 Park Ave, San Antonio, Oregon (Cedar Hills neighborhood) 67175",230.17,false,REF-010049,false
QUIC_0fbeabe2,Helen (2007),Atlas Ventures,helen2007)8@comcast.net,(555) 236-1056,"236 Lake Dr, San Diego, Oregon (Cedar Hills neighborhood) 67178",San Diego,Oregon (Cedar Hills neighborhood),"236 Lake Dr, San Diego, Oregon (Cedar Hills neighborhood) 67178",247.48,true,REF-010056,true
QUIC_efd53fb9,Linda (1957),Apex Digital,linda.1957)@att.net,(555) 253-1063,"253 Hill Rd, Dallas, Oregon (Cedar Hills neighborhood) 67181",Dallas,Oregon (Cedar Hills neighborhood),"253 Hill Rd, Dallas, Oregon (Cedar Hills neighborhood) 67181",264.79,true,REF-010063,true
