PRRI Weekly Status Report Log - Angela Marie Peterson
Role: Research Scientist, Marine Ecology Division
Employee ID: PRRI-2021-047
Supervisor: Dr. Keanu Palani

Week Ending	Report Status	Hours Logged	Field Days	Desk Days	Key Activities	Deliverables Submitted	Notes
2025-09-05	Submitted	40	2	3	Phase III kickoff; Hanauma Bay A and B transects; data entry and QC	Phase III data entry batch 1	First field week of Phase III; both dives clean
2025-09-12	Submitted	42	2	3	Waikiki Reef A and B transects; elevated temp noted Station A; began Q1 report draft	n/a	Flagged Waikiki thermal readings for Palani
2025-09-19	Submitted	38	0	5	Lab data validation; grant expenditure reconciliation; literature review for PRRI seminar	Expenditure reconciliation memo	No field this week; swell advisory
2025-09-26	Submitted	40	0	5	Q1 interim report draft; CCF expenditure tracking; outreach planning for Ocean Discovery Day	CCF quarterly expenditure draft	Sent draft to Palani for review
2025-10-03	Submitted	41	4	1	Hanauma Bay A, B, C transects; Waikiki Reef A and B; all data entered	Phase III data entry batch 2	Four-dive week; excellent conditions
2025-10-10	Submitted	38	0	5	CCF progress report revisions; outreach materials prep; staff meeting	Outreach flyer draft for Waikiki event	Palani approved Q1 expenditure report
2025-10-17	Submitted	40	2	3	Hanauma Bay C transect; Waikiki B makeup dive; data QC	Phase III data entry batch 3	C transect baseline confirmed
2025-10-24	Submitted	36	0	4	Annual review prep; literature search for in-press Coral Reefs paper revisions	n/a	Took Monday as comp day (extra Oct field hours)
2025-10-31	Submitted	38	0	5	Annual performance review with Palani; manuscript revisions for Coral Reefs submission	Coral Reefs manuscript revision draft	Strong review; merit raise confirmed Jan 2026
2025-11-07	Submitted	41	2	3	Waikiki Reef B and C transects; Station C bleaching flagged at 5.1%; Palani notified	Station C preliminary alert memo	Palani agrees; increase Station C frequency Q2
2025-11-14	Submitted	38	0	5	Ocean Discovery Day prep; Waikiki Aquarium coordination; data QC	Outreach event run-of-show	Event confirmed for Nov 8; 182 attendees
2025-11-21	Submitted	40	0	5	Post-event survey compilation; outreach impact report draft; Thanksgiving prep (half day Fri)	Outreach impact summary draft	Survey results 94% positive
2025-11-28	Submitted	24	0	3	Thanksgiving week; data entry; literature review	n/a	Short week; Monday holiday
2025-12-05	Submitted	42	4	1	Hanauma Bay A, B, C transects; Lanai Lookout A baseline dive; data entry	Phase III data entry batch 4; Lanai baseline	Lanai A established; cover 37.5%
2025-12-12	Submitted	40	2	3	Kaimana Elementary curriculum workshop; data QC; CCF report prep	Kaimana workshop materials	14 educators attended; all rated excellent
2025-12-19	Submitted	36	0	4	End-of-year reporting; instrument calibration check; holiday half day Fri	Annual instrument calibration memo	Instruments within spec
2025-12-26	Submitted	16	0	2	Holiday week; email monitoring; no field activity	n/a	Office closed Wed through Fri
2026-01-02	Submitted	38	0	5	New year planning; Waikiki Station C monitoring protocol revisions; Q2 schedule draft	Q2 monitoring schedule draft	Sent to Palani Jan 3
2026-01-09	Submitted	42	4	1	Waikiki Reef A, B, and C transects; Hanauma Bay A; Station C at 6.2% bleaching	Phase III data entry batch 5	Station C trend worsening; Palani briefed
2026-01-16	Submitted	40	0	5	CCF progress report draft section 2 and 3; manuscript literature search	n/a	Progress report 40% complete
2026-01-23	Submitted	38	2	3	Hanauma Bay A and B; data entry; cancelled dives; reschedule pending coordination	n/a	Jan 29 sea conditions; Rodriguez substituted HB
2026-01-30	Submitted	36	0	4	CCF progress report revisions; Palani feedback incorporated; data QC	CCF progress report near-final draft	Submitted to admin for review
2026-02-06	Submitted	40	2	3	Hanauma Bay A and B; data entry; in-press Coral Reefs galley review	n/a	Galley received Feb 4; corrections due Feb 14
2026-02-13	Submitted	39	0	5	Galley corrections submitted; CCF report finalized; Palani sign-off	Coral Reefs galley corrections; CCF final report	Report ready to submit; cover letter drafted
2026-02-20	Submitted	42	2	3	Waikiki Reef C alert dive; bleaching at 7.2%; formal bleaching alert issued	Phase III bleaching alert - Station C	Alert memo sent to Palani and CCF contact
2026-02-27	Submitted	38	0	5	Alert protocol review; monitoring plan update; outreach event planning	Monitoring plan revision	Earth Day outreach event in planning; date not yet confirmed
