Fidelity Workplace Retirement	Iron City Sports Medicine 401(k) Plan
Participant	Shannon Darnell Perry
Account number	xxxxxx2017
Statement as of	2025-12-31
Vested balance	$22,000.00

Holding	Ticker	Shares	Value	Allocation
Fidelity Freedom 2055 Fund	FDEEX	712.4180	$13,640.00	62%
Fidelity 500 Index Fund	FXAIX	38.9210	$6,820.00	31%
Fidelity US Bond Index Fund	FXNAX	141.2900	$1,540.00	7%

Contribution summary 2025	Amount
Employee pre-tax (6%)	$4,680.00
Employer match (3%)	$2,340.00
Total contributed 2025	$7,020.00

Note	Employee deferral is $180.00 per biweekly paycheck. Reviewed on the 1st of each month.
