id,name,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,start_date,kudos_count,segment_id
9001,Morning shakeout,Run,6200,1980,2040,42,3.13,2025-05-01T13:10:00Z,12,3301
9002,Tempo Tuesday,Run,11800,3120,3200,88,3.78,2025-05-03T13:05:00Z,21,3302
9003,Riverside long ride,Ride,48200,6240,6800,560,7.72,2025-05-04T15:00:00Z,18,3303
9004,Recovery spin,Ride,22100,3600,3700,210,6.14,2025-05-06T23:30:00Z,7,3303
9005,Pool intervals,Swim,2400,2700,2900,0,0.89,2025-05-07T12:00:00Z,5,
9006,Hill repeats,Run,9400,2880,3100,320,3.26,2025-05-08T13:20:00Z,16,3301
9007,Sunday century start,Ride,96500,12600,13800,1240,7.66,2025-05-11T14:00:00Z,34,3303
9008,Easy jog with the dog,Run,4800,1860,2100,28,2.58,2025-05-12T13:40:00Z,9,3301
9009,Open water swim,Swim,3000,3300,3500,0,0.91,2025-05-13T15:10:00Z,11,
9010,Threshold run,Run,13200,3540,3640,150,3.73,2025-05-15T13:00:00Z,24,3302
9011,Gravel explorer,Ride,61300,9000,10200,890,6.81,2025-05-17T14:30:00Z,28,3303
9012,Track 400s,Run,8000,1740,2400,12,4.6,2025-05-19T01:30:00Z,19,3302
1012,Iris delta 13,active,742,1012,1012,536,674,2026-01-23T16:50:00Z,879,1012
1013,Bravo violet 14,standard,172,1013,1013,691,598,2026-12-23T16:27:00Z,43,1013
1014,Umber meadow 15,general,252,1014,1014,835,278,2026-03-21T10:40:00Z,439,1014
1015,Meadow bravo 16,active,400,1015,1015,679,894,2026-08-23T21:25:00Z,842,1015
1016,Cedar harbor 17,pending,61,1016,1016,682,706,2026-12-26T01:02:00Z,152,1016
1017,Tidal meadow 18,active,625,1017,1017,744,388,2026-02-11T15:41:00Z,741,1017
1018,Orbit summit 19,general,323,1018,1018,137,362,2026-03-26T06:30:00Z,455,1018
1019,Violet coral 20,general,317,1019,1019,366,465,2026-08-21T16:28:00Z,604,1019
1020,Meadow ember 21,general,633,1020,1020,707,161,2026-09-22T12:23:00Z,224,1020
1021,Pine zephyr 22,active,822,1021,1021,1,809,2026-06-11T07:52:00Z,339,1021
1022,Meadow violet 23,standard,541,1022,1022,577,596,2026-08-07T07:00:00Z,660,1022
1023,Alpha meadow 24,open,321,1023,1023,265,353,2026-01-09T13:19:00Z,64,1023
1024,Orbit cedar 25,active,816,1024,1024,237,844,2026-06-10T20:15:00Z,95,1024
1025,Cedar river 26,open,294,1025,1025,196,398,2026-08-20T20:53:00Z,620,1025
1026,Tidal summit 27,general,175,1026,1026,483,165,2026-09-25T21:02:00Z,161,1026
