id,createdTime,Name,Email,Company,Role
rec_natasha,2025-09-01T10:00:00Z,Natasha Okonkwo,natasha.oko@gmail.com,Lakeview Medical,RN
rec_natasha_phone,2025-09-01T10:00:00Z,Natasha Okonkwo (phone: 937-555-0268),natasha.oko@gmail.com,Lakeview Medical,RN
rec_adam,2026-07-20T10:00:00Z,Adam Coretti,adam.coretti.oh@gmail.com,Self-employed,Contractor
rec_denise,2023-01-15T10:00:00Z,Denise Holt,denise.holt@lakeviewmedical.org,Lakeview Medical,Nurse Manager
rec_greg,2020-01-01T10:00:00Z,Greg Harper,,Self-employed,
rec_linda,2020-01-01T10:00:00Z,Linda Brennan,linda.brennan.oh@gmail.com,Retired,
rec_jess,2020-01-01T10:00:00Z,Jess Brennan,jess.brennan.cbus@gmail.com,Marketing firm,Account Manager
rec_drpatel,2023-03-10T10:00:00Z,Dr. Anita Patel,dr.patel@ketteringhealth.org,Kettering Health,PCP
rec_0000,2026-06-25T20:00:00Z,Contact 0,user252@outlook.com,Company 0,Colleague
rec_0001,2025-11-21T20:00:00Z,Contact 1,user198@gmail.com,Company 1,Friend
rec_0002,2025-12-27T20:00:00Z,Contact 2,user848@outlook.com,Company 2,Friend
rec_0003,2026-05-23T20:00:00Z,Contact 3,user511@gmail.com,Company 3,Service
rec_0004,2026-07-09T20:00:00Z,Contact 4,user914@outlook.com,Company 4,Other
rec_0005,2026-04-03T20:00:00Z,Contact 5,user985@outlook.com,Company 5,Service
rec_0006,2026-06-25T20:00:00Z,Contact 6,user931@outlook.com,Company 6,Other
rec_0007,2026-08-28T20:00:00Z,Contact 7,user742@outlook.com,Company 7,Other
rec_0008,2025-10-13T20:00:00Z,Contact 8,user997@outlook.com,Company 8,Service
rec_0009,2026-07-25T20:00:00Z,Contact 9,user912@outlook.com,Company 9,Other
rec_0010,2026-08-25T20:00:00Z,Contact 10,user240@outlook.com,Company 10,Service
rec_0011,2025-10-13T20:00:00Z,Contact 11,user365@outlook.com,Company 11,Service
rec_0012,2026-04-05T20:00:00Z,Contact 12,user773@gmail.com,Company 12,Colleague
