event_id,email,display_name,response_status,optional,organizer
evt_20261112_01,kmoore@crestviewacademy.org,Kristen Moore,accepted,false,false
evt_20261112_01,cvance@crestviewacademy.org,Principal Cheryl Vance,accepted,false,true
evt_20261112_01,tanya.brooks@crestviewacademy.org,Tanya Brooks,accepted,false,false
evt_20261126_01,kristen.moore@voissync.co,Kristen Moore,accepted,false,true
evt_20261126_01,loretta.hayes55@gmail.com,Loretta Hayes,accepted,false,false
evt_20261126_01,tanya.brooks78@gmail.com,Tanya Brooks,accepted,false,false
evt_20261220_01,kristen.moore@voissync.co,Kristen Moore,accepted,false,false
evt_20261220_01,gracetabernacle.office@gmail.com,Pastor Reginald Owens,accepted,false,true
evt_20270117_01,kristen.moore@voissync.co,Kristen Moore,accepted,false,true
evt_20270117_01,will.hayes.atl@gmail.com,Will Hayes,accepted,false,false
evt_20270117_02,kristen.moore@voissync.co,Kristen Moore,accepted,false,false
evt_20270117_02,deaconess.board@gracetabernacle.org,Deaconess Board,needsAction,false,true
evt_20270118_01,kristen.moore@voissync.co,Kristen Moore,accepted,false,true
evt_20270118_01,will.hayes.atl@gmail.com,Will Hayes,accepted,false,false
evt_20270214_01,kristen.moore@voissync.co,Kristen Moore,accepted,false,true
